Date,Open,High,Low,Close,Volume,Adj Close
20200401,61.645,62.18,59.785,60.23,1278462,60.23
20200402,60.06,61.29,59.225,61.235,1282499,61.235
20200403,60.725,61.425,59.745,60.355,971363,60.355
20200406,62.72,65.78,62.345,65.62,1406209,65.62
20200407,67.7,67.925,64.75,64.86,1559626,64.86
20200408,65.685,66.845,65.31,66.52,1172547,66.52
20200409,67.3,67.52,66.175,67.0,1226056,67.0
20200413,67.08,68.425,66.46,68.315,980789,68.315
20200414,70.005,72.065,69.515,71.765,1414000,71.765
20200415,70.6,71.585,70.16,71.11,910008,71.11
20200416,71.825,72.05,70.59,71.675,1143939,71.675
20200417,71.19,71.74,69.215,70.7,1534054,70.7
20200420,69.44,70.42,69.215,69.235,925115,69.235
20200421,69.07,69.315,66.36,67.095,1253637,67.095
20200422,68.39,69.475,68.05,69.025,841654,69.025
20200423,68.98,70.44,68.72,68.76,898688,68.76
20200424,69.315,70.755,69.25,70.745,941968,70.745
20200427,70.46,71.135,69.99,70.795,866126,70.795
20200428,71.25,71.46,69.55,69.645,802960,69.645
20200429,71.185,72.42,70.975,71.935,925609,71.935
20200430,72.49,73.635,72.09,73.45,1110527,73.45
20200501,71.575,74.75,71.465,72.27,1880909,72.27
20200504,72.295,73.425,71.58,73.29,1026596,73.29
20200505,73.765,75.25,73.615,74.39,1141588,74.39
20200506,75.115,75.81,74.72,75.16,1110879,75.16
20200507,75.8,76.295,75.495,75.935,872656,75.935
20200508,76.41,77.59,76.075,77.535,999601,77.535
20200511,77.03,79.265,76.81,78.755,1121369,78.755
20200512,79.48,79.925,77.73,77.855,1195171,77.855
20200513,78.025,78.99,75.8,76.915,1569216,76.915
20200514,76.165,77.45,75.385,77.385,1232449,77.385
20200515,75.09,76.975,75.05,76.925,1258666,76.925
20200518,78.29,79.125,77.58,78.74,985640,78.74
20200519,78.76,79.63,78.255,78.285,782281,78.285
20200520,79.17,79.88,79.05,79.81,840570,79.81
20200521,79.665,80.225,78.97,79.215,768375,79.215
20200522,78.94,79.81,78.84,79.725,630764,79.725
20200526,80.87,81.06,79.125,79.185,922519,79.185
20200527,78.985,79.675,78.27,79.53,766762,79.53
20200528,79.175,80.86,78.91,79.565,965882,79.565
20200529,79.85,80.29,79.12,79.485,968541,79.485
20200601,79.45,80.59,79.3,80.465,601113,80.465
20200602,80.185,80.86,79.735,80.835,627992,80.835
20200603,81.165,81.55,80.575,81.28,748958,81.28
20200604,81.155,81.405,80.195,80.58,620042,80.58
20200605,80.85,82.94,80.81,82.875,965658,82.875
20200608,82.565,83.4,81.83,83.365,661572,83.365
20200609,83.025,86.405,83.005,86.0,1069206,86.0
20200610,86.975,88.695,86.52,88.21,1278007,88.21
20200611,87.32,87.765,83.87,83.975,1430139,83.975
20200612,86.175,86.95,83.555,84.7,1501870,84.7
20200615,83.29,86.42,83.145,85.75,1021081,85.75
20200616,87.87,88.3,86.18,88.02,1200134,88.02
20200617,88.79,88.85,87.77,87.895,825987,87.895
20200618,87.875,88.365,87.305,87.935,678435,87.935
20200619,88.635,89.14,86.29,87.43,1499815,87.43
20200622,87.85,89.865,87.79,89.72,1008969,89.72
20200623,90.985,93.095,90.57,91.635,1643173,91.635
20200624,91.265,92.2,89.63,90.015,1467595,90.015
20200625,90.185,91.25,89.395,91.21,1042392,91.21
20200626,91.115,91.33,88.255,88.41,1320195,88.41
20200629,88.365,90.545,87.82,90.445,943119,90.445
20200630,90.02,91.495,90.0,91.2,921792,91.2
20200701,91.255,91.84,90.98,91.03,811126,91.03
20200702,91.95,92.62,90.91,91.03,808372,91.03
20200706,92.5,93.945,92.47,93.465,831423,93.465
20200707,93.87,94.655,93.06,93.175,777916,93.175
20200708,94.19,95.375,94.09,95.345,825485,95.345
20200709,96.265,96.32,94.675,95.685,909515,95.685
20200710,95.235,95.98,94.705,95.92,628181,95.92
20200713,97.28,99.955,95.26,95.48,1385954,95.48
20200714,94.825,97.255,93.88,97.06,1171127,97.06
20200715,99.0,99.25,96.49,97.725,1131077,97.725
20200716,96.565,97.405,95.905,96.52,786511,96.52
20200717,96.99,97.145,95.84,96.33,632949,96.33
20200720,96.42,98.5,96.065,98.36,621780,98.36
20200721,99.175,99.25,96.745,97.0,725799,97.0
20200722,96.67,97.975,96.605,97.27,591475,97.27
20200723,97.0,97.08,92.01,92.845,1349070,92.845
20200724,90.95,92.97,89.165,92.615,1351185,92.615
20200727,93.72,94.905,93.48,94.81,855986,94.81
20200728,94.37,94.55,93.25,93.255,647813,93.255
20200729,93.75,95.23,93.715,95.04,641087,95.04
20200730,94.185,96.3,93.77,96.19,903952,96.19
20200731,102.875,106.415,100.825,106.26,2693960,106.26
20200803,108.31,111.64,107.895,108.94,2292101,108.94
20200804,109.135,110.79,108.39,109.665,1295868,109.665
20200805,109.405,110.395,108.895,110.065,859912,110.065
20200806,110.405,114.415,109.8,113.905,1520430,113.905
20200807,113.195,113.675,110.295,111.115,1384527,111.115
20200810,112.565,113.775,110.0,112.73,1604839,112.73
20200811,111.925,112.485,109.105,109.375,1182397,109.375
20200812,110.44,113.275,110.3,113.01,1217434,113.01
20200813,114.445,116.045,113.925,115.01,1550069,115.01
20200814,114.745,115.0,113.045,114.91,1213152,114.91
20200817,116.04,116.09,113.965,114.61,792451,114.61
