Date,Open,High,Low,Close,Volume,Adj Close
20190214,259.4,261.71,258.01,260.14,9775,260.14
20190215,260.31,260.97,258.07,259.45,19915,259.45
20190219,258.98,260.06,256.45,257.81,13390,257.81
20190220,258.13,260.99,255.91,258.1,14423,258.1
20190221,257.3,259.35,255.12,257.76,10138,257.76
20190222,257.61,260.24,257.61,258.9,10748,258.9
20190225,261.47,262.98,258.18,258.62,10340,258.62
20190226,258.0,262.58,256.37,261.22,12186,261.22
20190227,259.77,263.08,256.52,262.9,15308,262.9
20190228,262.4,266.24,261.76,262.5,15401,262.5
20190301,265.49,266.24,261.5,264.01,11612,264.01
20190304,266.21,267.0,254.08,258.16,19514,258.16
20190305,259.0,259.87,256.36,257.38,13207,257.38
20190306,257.4,259.49,253.84,256.4,12474,256.4
20190307,255.77,257.49,253.28,255.46,16158,255.46
20190308,251.27,255.02,249.09,254.74,12212,254.74
20190311,256.05,261.46,255.77,260.96,17051,260.96
20190312,261.86,264.75,259.01,263.51,16538,263.51
20190313,264.91,269.8,264.13,264.38,23835,264.38
20190314,265.26,268.0,263.52,267.69,26254,267.69
20190315,258.06,260.0,252.03,257.09,79695,257.09
20190318,257.11,259.96,253.89,257.76,27406,257.76
20190319,259.43,260.64,256.34,260.42,25526,260.42
20190320,260.54,262.3,256.17,259.74,22022,259.74
20190321,259.0,264.34,258.4,264.18,14832,264.18
20190322,263.47,264.64,259.52,259.69,21949,259.69
20190325,259.59,263.12,257.1,262.27,15577,262.27
20190326,264.74,267.74,263.84,265.59,20171,265.59
20190327,265.53,265.98,259.04,262.34,16418,262.34
20190328,263.5,265.17,260.88,263.53,11506,263.53
20190329,265.63,266.75,264.2,266.49,10913,266.49
20190401,269.79,272.39,268.19,272.17,18563,272.17
20190402,272.89,273.0,267.63,271.35,11832,271.35
20190403,273.11,274.18,270.97,271.5,14196,271.5
20190404,270.98,271.47,263.72,267.89,20504,267.89
20190405,269.44,269.94,266.59,267.45,12937,267.45
20190408,266.96,269.09,264.7,268.81,10264,268.81
20190409,267.12,269.99,266.8,268.99,9686,268.99
20190410,269.47,272.16,269.01,271.58,9655,271.58
20190411,272.14,272.92,270.77,271.9,10357,271.9
20190412,273.01,273.51,270.82,271.86,10041,271.86
20190415,271.99,273.71,270.62,272.22,7504,272.22
20190416,273.07,273.39,269.64,271.43,9304,271.43
20190417,272.2,272.67,268.44,269.45,13728,269.45
20190418,270.09,270.82,266.64,270.57,12403,270.57
20190422,269.82,272.32,269.2,272.21,7870,272.21
20190423,272.54,278.89,271.59,278.49,17072,278.49
20190424,279.29,280.17,275.25,275.45,9673,275.45
20190425,278.4,279.52,274.37,277.66,9695,277.66
20190426,277.47,282.0,275.79,281.96,11518,281.96
20190429,286.46,291.71,285.38,286.14,40663,286.14
20190430,286.18,289.77,285.25,289.25,17085,289.25
20190501,291.0,291.0,283.19,283.35,12400,283.35
20190502,282.66,284.59,278.15,279.64,14866,279.64
20190503,282.26,286.35,282.26,285.58,10434,285.58
20190506,277.6,284.22,275.81,283.66,8247,283.66
20190507,278.94,280.65,273.67,277.07,14615,277.07
20190508,275.83,278.37,274.16,276.77,9156,276.77
20190509,273.66,277.12,270.79,275.79,10012,275.79
20190510,273.58,279.5,270.32,278.48,10085,278.48
20190513,269.94,274.19,267.22,267.7,13982,267.7
20190514,269.43,274.23,269.29,271.86,10077,271.86
20190515,269.82,276.95,269.5,276.82,12752,276.82
20190516,278.63,285.87,278.4,283.55,16235,283.55
20190517,281.68,284.42,279.06,279.85,10713,279.85
20190520,276.1,277.89,273.4,275.45,11280,275.45
20190521,278.21,280.0,277.04,278.07,7098,278.07
20190522,277.39,282.74,277.25,281.82,8076,281.82
20190523,278.29,278.43,271.69,274.25,13643,274.25
20190524,273.54,277.48,273.54,274.77,10703,274.77
20190528,276.49,281.45,275.37,278.25,11750,278.25
20190529,275.2,276.81,272.28,273.38,9916,273.38
20190530,274.43,275.09,272.43,274.51,8532,274.51
20190531,271.28,272.91,268.75,270.9,14261,270.9
20190603,270.75,272.81,257.53,259.03,22929,259.03
20190604,263.27,268.93,257.46,268.71,18775,268.71
20190605,273.0,273.21,268.39,272.86,11450,272.86
20190606,273.72,275.76,271.04,274.8,10251,274.8
20190607,275.87,282.37,275.51,278.16,17119,278.16
20190610,280.98,284.98,280.2,280.34,16171,280.34
20190611,283.91,284.89,272.03,275.99,18026,275.99
20190612,276.12,277.56,274.57,276.84,7453,276.84
20190613,278.59,278.96,275.91,276.3,8363,276.3
20190614,275.91,277.1,274.0,274.28,10979,274.28
20190617,275.7,277.47,274.63,275.6,13649,275.6
20190618,280.37,280.5,276.62,276.78,20960,276.78
20190619,287.0,292.0,284.34,291.21,60798,291.21
20190620,293.25,302.66,293.25,302.11,33108,302.11
20190621,300.91,304.0,299.09,299.33,20214,299.33
20190624,300.0,302.58,298.68,299.87,18453,299.87
20190625,299.21,300.65,287.0,287.97,28811,287.97
20190626,291.26,292.76,288.7,288.72,15251,288.72
20190627,290.04,294.67,290.04,293.23,11705,293.23
20190628,294.5,295.1,291.95,294.65,10493,294.65
20190701,299.35,301.9,297.66,300.97,14900,300.97
20190702,300.9,301.58,299.35,301.39,10396,301.39
20190703,302.0,305.86,301.29,305.7,9262,305.7
20190705,304.01,305.24,298.93,303.98,13663,303.98
20190708,302.76,303.11,300.13,302.92,10891,302.92
20190709,300.56,305.13,300.22,304.2,9198,304.2
20190710,305.1,309.32,305.1,306.98,10077,306.98
20190711,307.39,310.18,305.9,307.6,11866,307.6
20190712,308.01,309.7,304.96,309.42,8472,309.42
20190715,310.0,310.46,307.72,308.76,5459,308.76
20190716,308.0,308.46,305.07,305.7,11209,305.7
20190717,307.13,310.96,306.75,309.39,13569,309.39
20190718,307.21,310.92,306.85,310.08,9775,310.08
20190719,311.56,313.11,305.26,306.87,13066,306.87
20190722,308.27,309.92,307.14,308.55,7978,308.55
20190723,309.91,309.98,305.22,307.88,9407,307.88
20190724,305.81,310.74,305.81,310.27,8071,310.27
20190725,308.66,309.66,306.1,308.73,7641,308.73
20190726,309.97,312.5,309.26,311.27,8150,311.27
20190729,311.99,311.99,301.48,307.22,15221,307.22
20190730,305.1,307.09,302.55,303.64,14273,303.64
20190731,303.61,304.95,295.11,298.86,18621,298.86
20190801,299.15,304.99,296.77,298.44,19105,298.44
20190802,295.57,297.35,289.42,293.71,22092,293.71
20190805,285.04,286.87,276.78,280.36,25753,280.36
20190806,283.63,286.99,282.5,286.21,13724,286.21
20190807,282.24,290.26,282.0,289.02,12727,289.02
20190808,292.75,297.87,290.2,297.78,14237,297.78
20190809,296.14,298.27,292.15,294.83,7441,294.83
20190812,293.14,294.42,287.41,288.65,8819,288.65
