Date,Open,High,Low,Close,Volume,Adj Close
20200401,1929.61,1944.96,1892.99,1907.7,18232,1907.7
20200402,1901.64,1927.53,1890.0,1918.83,21029,1918.83
20200403,1912.12,1926.33,1889.14,1906.59,15782,1906.59
20200406,1937.21,1998.52,1930.02,1997.59,28842,1997.59
20200407,2017.15,2035.72,1997.62,2011.6,25064,2011.6
20200408,2021.0,2044.0,2011.14,2043.0,19008,2043.0
20200409,2046.0,2053.0,2017.66,2042.76,21611,2042.76
20200413,2040.0,2180.0,2038.0,2168.87,32706,2168.87
20200414,2201.01,2292.0,2186.21,2283.32,40128,2283.32
20200415,2256.0,2333.37,2245.0,2307.68,33384,2307.68
20200416,2346.01,2461.0,2335.0,2408.19,56981,2408.19
20200417,2372.94,2400.0,2316.02,2375.0,35238,2375.0
20200420,2389.95,2444.98,2386.05,2393.61,25828,2393.61
20200421,2417.01,2428.31,2279.66,2328.12,35829,2328.12
20200422,2369.8,2394.0,2351.0,2363.49,19026,2363.49
20200423,2399.98,2424.22,2382.08,2399.45,22375,2399.45
20200424,2418.0,2420.44,2382.0,2410.22,16105,2410.22
20200427,2443.2,2444.88,2363.0,2376.0,23909,2376.0
20200428,2372.39,2373.5,2305.99,2314.08,23659,2314.08
20200429,2330.0,2391.89,2310.0,2372.71,19194,2372.71
20200430,2420.06,2474.0,2396.01,2474.0,32235,2474.0
20200501,2336.46,2362.44,2258.19,2286.04,43743,2286.04
20200504,2256.39,2326.98,2256.37,2315.99,21821,2315.99
20200505,2340.0,2351.0,2307.12,2317.8,14164,2317.8
20200506,2329.44,2357.45,2320.0,2351.26,13617,2351.26
20200507,2374.78,2376.0,2343.1,2367.61,13672,2367.61
20200508,2372.14,2387.25,2357.0,2379.61,12851,2379.61
20200511,2375.0,2419.67,2372.11,2409.0,13781,2409.0
20200512,2411.87,2419.0,2355.0,2356.95,12360,2356.95
20200513,2367.96,2407.7,2337.8,2367.92,22428,2367.92
20200514,2361.01,2391.37,2353.21,2388.85,16173,2388.85
20200515,2368.79,2411.0,2356.36,2409.78,18802,2409.78
20200518,2403.99,2433.0,2384.01,2426.26,20234,2426.26
20200519,2429.28,2485.0,2428.97,2449.33,19385,2449.33
20200520,2477.87,2500.01,2467.26,2497.94,18684,2497.94
20200521,2501.11,2525.45,2442.54,2446.74,23403,2446.74
20200522,2457.0,2469.86,2430.12,2436.88,11651,2436.88
20200526,2456.77,2462.01,2414.06,2421.86,15033,2421.86
20200527,2400.95,2413.59,2329.99,2410.39,23279,2410.39
20200528,2387.49,2436.97,2378.23,2401.1,13256,2401.1
20200529,2415.94,2442.37,2398.19,2442.37,13209,2442.37
20200601,2446.06,2476.93,2444.16,2471.04,12820,2471.04
20200602,2464.4,2473.53,2445.31,2472.41,10767,2472.41
20200603,2468.68,2488.0,2461.17,2478.4,11740,2478.4
