Date,Open,High,Low,Close,Volume,Adj Close
20200401,227.97,234.41,219.68,223.63,25712,223.63
20200402,222.71,237.95,221.44,237.06,29009,237.06
20200403,236.64,242.55,230.55,234.26,18958,234.26
20200406,244.48,253.42,243.56,252.44,22064,252.44
20200407,260.75,265.5,252.53,253.27,23372,253.27
20200408,256.02,262.2,253.64,261.1,16137,261.1
20200409,265.92,267.5,251.31,254.3,20359,254.3
20200413,253.5,261.52,252.8,259.92,16629,259.92
20200414,266.12,268.38,262.32,267.63,13072,267.63
20200415,261.17,262.33,256.16,257.44,15263,257.44
20200416,261.76,261.76,254.11,258.29,16481,258.29
20200417,263.31,267.43,258.94,265.88,22347,265.88
20200420,260.01,265.26,257.91,258.28,13292,258.28
20200421,253.84,254.79,246.8,247.65,15491,247.65
20200422,254.02,262.22,250.74,259.97,23659,259.97
20200423,260.25,265.2,258.52,258.93,11831,258.93
20200424,259.65,265.07,258.88,264.81,14771,264.81
20200427,265.18,271.22,264.35,268.45,9452,268.45
20200428,273.82,276.41,264.12,264.73,11104,264.73
20200429,271.08,276.99,269.23,276.02,13781,276.02
20200430,273.89,274.05,268.8,271.62,12401,271.62
20200501,265.94,267.86,258.2,259.7,14753,259.7
20200504,259.35,262.43,255.32,262.26,9715,262.26
20200505,266.55,268.94,263.71,264.87,15093,264.87
20200506,267.76,270.48,263.62,264.18,11178,264.18
20200507,269.45,270.47,266.0,267.75,10442,267.75
20200508,272.27,275.55,270.03,275.03,9697,275.03
20200511,273.37,276.74,271.75,275.4,8510,275.4
20200512,276.77,277.72,268.22,268.45,9898,268.45
20200513,270.07,270.33,259.36,263.15,12569,263.15
20200514,261.25,266.95,254.75,266.6,12175,266.6
20200515,259.42,264.06,256.77,260.41,13497,260.41
20200518,268.62,276.73,268.0,273.53,15732,273.53
20200519,273.53,276.03,271.61,271.95,11987,271.95
20200520,276.99,281.31,276.08,278.68,10474,278.68
20200521,278.92,279.5,274.65,274.8,7443,274.8
20200522,273.74,277.25,270.5,276.65,10038,276.65
