Date,Open,High,Low,Close,Volume,Adj Close
20191122,185.97,186.78,183.93,186.78,74786,186.78
20191125,188.32,190.72,187.88,190.45,149821,190.45
20191126,190.39,195.0,189.04,194.7,201601,194.7
20191127,197.32,200.98,197.0,200.82,258376,200.82
20191129,199.81,200.43,198.35,200.0,134037,200.0
20191202,198.58,198.67,193.51,196.31,148274,196.31
20191203,190.82,194.9,189.85,194.9,129671,194.9
20191204,195.53,196.66,193.23,193.74,85333,193.74
20191205,196.93,200.94,196.43,200.0,171548,200.0
20191206,201.11,202.0,199.51,201.89,99138,201.89
20191209,200.32,203.43,198.55,198.74,95973,198.74
20191210,200.71,202.48,199.23,200.45,89571,200.45
20191211,201.1,204.8,200.72,204.64,87342,204.64
20191212,203.71,206.0,202.0,204.5,143676,204.5
20191213,205.76,207.1,203.77,204.91,127322,204.91
20191216,206.33,209.15,206.19,206.97,116319,206.97
20191217,208.69,208.87,206.82,208.18,80502,208.18
20191218,208.53,210.01,208.04,210.0,89980,210.0
20191219,209.61,211.37,209.23,210.13,75834,210.13
20191220,211.35,213.98,210.42,212.25,109765,212.25
20191223,213.25,215.05,212.91,214.83,73354,214.83
20191224,215.01,215.43,213.35,214.26,40030,214.26
20191226,214.65,216.99,214.33,216.38,55029,216.38
20191227,218.05,218.11,215.17,215.47,78655,215.47
20191230,215.78,215.78,211.76,212.91,67093,212.91
20191231,212.0,213.64,210.73,212.1,46369,212.1
20200102,216.6,219.98,216.54,219.77,105397,219.77
20200103,216.35,218.21,216.01,217.0,61956,217.0
20200106,214.89,217.16,214.09,216.64,76642,216.64
20200107,217.64,218.94,216.69,217.63,67113,217.63
20200108,216.6,220.65,216.32,218.0,75654,218.0
20200109,221.5,223.08,220.82,221.78,96512,221.78
20200110,223.99,225.96,222.06,223.83,88857,223.83
20200113,228.81,231.14,227.04,230.48,130723,230.48
20200114,230.05,230.18,224.88,226.49,128953,226.49
20200115,226.65,227.82,224.39,225.06,67741,225.06
20200116,226.3,226.33,222.73,223.94,96171,223.94
20200117,225.9,228.0,225.35,227.43,81584,227.43
20200121,222.45,222.6,220.72,222.26,112078,222.26
20200122,224.51,225.58,222.0,222.37,68812,222.37
20200123,217.93,220.13,216.77,219.13,123999,219.13
20200124,218.49,219.83,211.32,213.75,116334,213.75
20200127,201.17,208.02,199.5,205.47,178479,205.47
20200128,209.74,210.91,207.17,210.23,109541,210.23
20200129,212.56,213.98,209.52,212.02,93249,212.02
20200130,207.88,209.86,205.03,208.58,102997,208.58
20200131,206.5,207.93,204.72,206.59,126274,206.59
20200203,208.67,215.02,208.67,213.1,103880,213.1
20200204,221.35,224.38,220.49,222.88,116583,222.88
20200205,226.52,226.7,217.54,220.22,111011,220.22
20200206,223.13,223.65,219.78,220.9,79713,220.9
20200207,217.46,217.84,214.88,216.53,101547,216.53
20200210,213.5,215.77,212.2,215.77,119635,215.77
20200211,219.91,220.01,215.29,217.21,121368,217.21
20200212,220.91,225.52,220.21,224.31,133167,224.31
20200213,220.0,225.0,218.99,220.36,191046,220.36
20200214,221.1,221.64,218.23,219.63,77282,219.63
20200218,218.6,220.85,217.51,220.52,88773,220.52
20200219,221.52,223.56,220.75,222.14,79306,222.14
20200220,222.5,222.5,214.22,218.04,108260,218.04
20200221,217.54,217.6,211.56,212.59,118727,212.59
20200224,203.55,207.28,202.52,206.16,129997,206.16
20200225,208.51,209.95,204.1,205.61,136197,205.61
20200226,206.8,213.08,206.79,208.74,126112,208.74
20200227,205.01,209.97,201.86,205.03,158679,205.03
20200228,198.98,208.92,198.56,208.0,206597,208.0
20200302,208.59,211.11,203.75,210.98,150666,210.98
20200303,211.08,211.39,202.23,207.41,150112,207.41
20200304,209.49,212.7,208.85,211.96,87451,211.96
20200305,210.0,215.15,209.14,211.46,97130,211.46
20200306,206.7,207.0,201.1,204.64,155516,204.64
20200309,195.62,199.89,193.93,197.66,187245,197.66
20200310,205.53,207.45,200.8,206.39,141225,206.39
20200311,201.65,203.1,196.11,198.91,146482,198.91
20200312,186.5,190.49,183.93,185.1,228928,185.1
20200313,194.9,195.99,187.81,194.0,172825,194.0
20200316,176.15,188.0,174.5,178.85,190324,178.85
20200317,181.26,189.39,179.69,184.81,144788,184.81
20200318,176.0,182.41,170.0,180.0,173235,180.0
20200319,179.26,187.25,177.39,180.88,161809,180.88
20200320,187.74,188.3,180.0,181.3,146616,181.3
20200323,175.27,178.5,169.95,176.34,169812,176.34
20200324,183.09,188.8,181.18,185.75,153879,185.75
20200325,185.82,195.19,185.53,188.56,155893,188.56
20200326,188.64,195.84,187.6,195.32,98005,195.32
20200327,189.97,192.74,188.0,188.59,88183,188.59
20200330,187.48,191.48,187.01,191.27,88175,191.27
20200331,192.0,196.79,190.6,194.48,133589,194.48
20200401,189.5,192.87,185.04,187.56,120920,187.56
20200402,186.08,191.3,185.69,188.9,95218,188.9
20200403,190.12,190.55,185.41,187.11,65451,187.11
20200406,194.74,196.88,192.7,196.45,104691,196.45
20200407,200.05,201.45,197.05,198.0,108769,198.0
20200408,198.34,198.86,193.88,195.98,99120,195.98
20200409,198.75,200.35,193.4,196.37,137585,196.37
20200413,197.4,200.33,195.53,199.44,90314,199.44
20200414,204.95,207.97,204.25,204.78,117382,204.78
20200415,204.77,209.15,201.31,208.17,80238,208.17
20200416,210.72,213.25,209.12,212.66,116905,212.66
20200417,214.83,214.98,208.85,209.5,96135,209.5
20200420,209.87,216.1,209.36,212.13,157019,212.13
20200421,209.9,212.13,205.03,207.34,103611,207.34
20200422,212.0,212.0,209.21,209.96,98039,209.96
20200423,210.24,210.56,203.46,205.24,163976,205.24
20200424,205.89,206.5,202.82,204.36,114044,204.36
20200427,207.55,207.78,202.03,203.69,129321,203.69
20200428,204.81,205.19,199.4,201.15,132465,201.15
20200429,202.93,207.08,202.51,206.7,145323,206.7
20200430,206.25,206.7,199.29,202.67,151856,202.67
20200501,195.75,197.38,192.86,194.48,179601,194.48
20200504,194.62,195.0,189.53,191.15,186104,191.15
20200505,196.38,198.27,194.2,195.02,163603,195.02
20200506,197.67,198.91,194.93,195.17,135660,195.17
20200507,198.0,198.09,194.78,196.49,130097,196.49
20200508,199.56,203.02,198.68,201.19,160865,201.19
20200511,202.78,206.64,202.38,205.4,129195,205.4
20200512,206.95,208.05,200.02,200.31,137624,200.31
20200513,203.62,204.68,197.98,199.46,153845,199.46
20200514,195.5,201.77,194.03,201.3,153751,201.3
20200515,200.7,204.49,200.1,203.68,122104,203.68
20200518,212.5,215.47,210.37,215.28,162416,215.28
20200519,216.73,220.59,215.19,217.2,148006,217.2
20200520,220.0,221.16,210.58,216.79,294218,216.79
20200521,211.29,214.58,209.53,212.16,218743,212.16
20200522,203.23,204.88,198.99,199.7,395421,199.7
20200526,205.94,206.8,201.0,201.72,204272,201.72
20200527,202.99,202.99,196.75,201.18,158707,201.18
20200528,199.02,202.37,197.62,199.49,137657,199.49
20200529,200.0,207.88,196.7,207.39,242264,207.39
20200601,205.9,207.2,203.94,206.57,113799,206.57
20200602,207.21,214.57,207.17,214.33,157760,214.33
20200603,215.6,218.97,213.75,218.61,152142,218.61
20200604,217.28,220.0,216.32,218.04,99007,218.04
20200605,220.0,220.59,218.7,219.55,86148,219.55
20200608,219.6,220.4,215.33,219.0,89563,219.0
20200609,216.31,220.72,216.2,220.72,100550,220.72
20200610,222.0,225.0,220.6,223.68,100703,223.68
20200611,218.0,219.95,213.56,215.24,105599,215.24
20200612,218.5,219.5,213.88,217.64,77774,217.64
20200615,214.11,217.72,212.75,217.03,91936,217.03
20200616,221.0,224.84,220.1,222.62,99420,222.62
20200617,224.4,225.0,222.5,224.25,75139,224.25
20200618,223.74,226.03,222.92,223.54,63379,223.54
20200619,226.38,226.5,220.09,220.64,104545,220.64
20200622,220.86,222.08,219.44,221.41,83268,221.41
20200623,225.12,230.23,224.53,228.75,127207,228.75
20200624,228.3,231.03,224.25,226.22,92166,226.22
20200625,224.59,224.69,220.87,222.16,114993,222.16
20200626,222.21,222.26,213.5,215.71,148467,215.71
20200629,215.03,216.5,211.82,215.02,82976,215.02
20200630,215.74,216.43,212.89,215.7,86680,215.7
20200701,215.82,216.55,214.74,215.95,85499,215.95
20200702,221.67,225.03,220.06,223.6,135257,223.6
20200706,233.31,240.48,232.82,240.0,225219,240.0
20200707,241.01,241.3,236.13,236.51,119628,236.51
