Date,Open,High,Low,Close,Volume,Adj Close
20200401,138.91,144.38,130.0,130.7,345905,130.7
20200402,128.51,136.68,120.02,123.27,345723,123.27
20200403,125.0,131.29,122.5,124.52,308403,124.52
20200406,133.62,149.69,129.21,148.77,411135,148.77
20200407,162.0,164.8,140.26,141.58,465781,141.58
20200408,147.51,154.0,144.55,146.87,347076,146.87
20200409,154.71,157.98,150.09,151.84,308231,151.84
20200413,155.5,156.0,146.26,147.33,206637,147.33
20200414,150.51,152.4,140.0,141.0,271689,141.0
20200415,139.0,148.69,132.9,145.98,317499,145.98
20200416,141.46,143.24,134.0,134.24,306983,134.24
20200417,149.41,154.0,145.0,154.0,422173,154.0
20200420,147.08,151.63,142.5,143.61,287334,143.61
20200421,139.01,141.9,135.45,136.33,216257,136.33
20200422,140.62,140.82,134.52,134.97,185270,134.97
20200423,136.5,142.38,136.05,137.74,218087,137.74
20200424,137.0,137.57,128.33,128.98,289565,128.98
20200427,129.97,131.2,123.83,128.68,275188,128.68
20200428,133.98,137.2,127.74,131.3,312363,131.3
20200429,138.21,147.18,135.25,139.0,498405,139.0
20200430,137.67,144.65,132.31,141.02,314255,141.02
20200501,143.24,143.71,132.84,133.37,302944,133.37
20200504,127.12,131.5,124.35,131.46,251478,131.46
20200505,132.72,133.8,125.0,125.4,255162,125.4
20200506,125.8,126.86,121.37,121.86,244662,121.86
20200507,122.81,130.71,122.36,128.65,253355,128.65
20200508,132.59,135.55,131.56,133.44,186974,133.44
20200511,130.92,131.0,127.95,128.91,158515,128.91
20200512,129.72,133.12,125.19,125.22,186291,125.22
20200513,125.0,125.07,119.33,121.5,208168,121.5
20200514,118.98,122.61,113.89,122.52,308715,122.52
20200515,118.33,121.89,117.78,120.0,226833,120.0
20200518,126.18,136.2,125.79,135.44,365916,135.44
20200519,137.0,137.04,130.28,130.44,268545,130.44
20200520,133.34,135.45,131.31,133.32,186528,133.32
20200521,137.02,144.24,136.15,139.0,414173,139.0
20200522,141.01,141.08,135.77,137.53,176047,137.53
20200526,145.21,145.91,142.61,144.73,243392,144.73
20200527,149.14,149.65,141.24,149.52,259638,149.52
20200528,156.1,156.7,149.05,149.82,282927,149.82
20200529,145.3,152.0,142.94,145.85,290188,145.85
20200601,145.45,153.55,144.55,151.39,236646,151.39
20200602,154.0,155.85,151.81,153.31,209313,153.31
20200603,157.1,173.78,155.49,173.16,564222,173.16
20200604,181.43,188.6,177.4,184.3,554684,184.3
20200605,205.0,218.79,197.36,205.43,835089,205.43
20200608,222.9,234.2,218.93,230.5,641833,230.5
20200609,222.03,227.0,213.08,216.74,553971,216.74
20200610,211.17,213.03,197.4,203.41,770310,203.41
20200611,179.5,192.18,166.01,170.0,845853,170.0
20200612,187.14,191.3,176.26,189.51,756073,189.51
