Date,Open,High,Low,Close,Volume,Adj Close
20200401,98.61,101.52,97.33,97.68,19882,97.68
20200402,97.68,100.88,97.0,99.59,15914,99.59
20200403,98.92,100.24,96.1,97.2,14431,97.2
20200406,100.88,103.2,100.27,102.94,25128,102.94
20200407,105.02,107.39,101.05,101.79,52926,101.79
20200408,97.99,98.59,94.9,97.33,78172,97.33
20200409,97.57,100.37,96.4,99.0,40634,99.0
20200413,98.71,99.93,97.98,98.37,23698,98.37
20200414,99.58,103.11,99.56,100.92,24257,100.92
20200415,98.64,100.92,97.37,100.87,18998,100.87
20200416,101.6,103.03,99.67,102.82,29018,102.82
20200417,104.21,105.19,103.15,105.0,27808,105.0
20200420,103.6,107.67,103.42,104.68,19514,104.68
20200421,102.1,102.42,98.83,101.41,27279,101.41
20200422,101.95,104.36,101.2,101.75,24168,101.75
20200423,101.2,102.38,99.21,99.85,24944,99.85
20200424,101.1,101.92,99.89,100.95,18684,100.95
20200427,101.57,101.57,99.72,100.56,21083,100.56
20200428,101.0,101.0,96.81,97.13,32762,97.13
20200429,98.47,99.88,97.01,99.67,41245,99.67
20200430,99.74,102.98,98.66,100.93,31593,100.93
20200501,98.02,98.2,94.31,96.02,35062,96.02
20200504,95.43,96.02,93.53,94.76,22893,94.76
20200505,96.27,97.6,95.46,95.77,20162,95.77
20200506,96.61,98.04,95.29,97.08,22888,97.08
20200507,98.08,98.46,97.45,98.18,15891,98.18
20200508,99.54,100.67,98.15,99.77,24632,99.77
20200511,99.74,100.17,98.72,99.55,19523,99.55
20200512,100.1,100.1,97.46,97.47,25566,97.47
20200513,98.21,98.98,94.15,95.49,33543,95.49
20200514,93.19,96.17,90.94,96.02,29404,96.02
20200515,95.09,100.06,94.89,99.86,23982,99.86
20200518,101.83,108.17,101.51,107.59,65712,107.59
20200519,117.87,120.85,109.16,109.75,161905,109.75
20200520,110.5,114.2,105.7,108.52,119807,108.52
20200521,106.93,111.53,106.72,110.03,76543,110.03
20200522,106.21,107.81,102.74,103.32,63059,103.32
20200526,106.0,109.23,105.33,108.36,41807,108.36
20200527,107.8,108.88,106.01,108.22,29500,108.22
20200528,106.46,107.67,104.85,106.32,24191,106.32
20200529,105.98,106.69,102.6,106.55,46179,106.55
20200601,106.02,108.48,105.31,107.1,26862,107.1
20200602,107.77,108.72,106.92,107.23,27246,107.23
20200603,108.62,112.72,108.2,112.45,29415,112.45
20200604,112.1,113.63,108.52,109.06,28268,109.06
20200605,111.86,115.2,111.49,114.4,31524,114.4
20200608,115.88,118.38,115.63,117.03,28145,117.03
20200609,115.39,116.76,114.35,115.83,16278,115.83
