Date,Open,High,Low,Close,Volume,Adj Close
20191122,485.0,487.77,484.1,485.0,2783,485.0
20191125,486.24,492.56,484.36,491.86,1798,491.86
20191126,490.76,491.46,487.5,490.89,1536,490.89
20191127,490.43,494.64,488.86,494.21,1253,494.21
20191129,496.55,496.9,493.46,494.91,1048,494.91
20191202,495.28,495.69,488.91,489.7,1520,489.7
20191203,484.64,486.21,478.68,485.76,2226,485.76
20191204,485.66,493.0,485.66,486.69,4692,486.69
20191205,485.11,490.54,482.52,490.3,2034,490.3
20191206,495.47,499.7,491.85,495.76,2821,495.76
20191209,494.3,498.09,492.1,497.07,1760,497.07
20191210,497.79,497.92,492.85,494.03,1680,494.03
20191211,494.28,497.34,492.62,493.91,2468,493.91
20191212,494.04,503.69,493.52,502.12,2780,502.12
20191213,501.59,503.86,495.48,498.61,2092,498.61
20191216,503.61,506.81,501.22,502.05,1627,502.05
20191217,503.53,505.22,500.1,502.29,1925,502.29
20191218,503.17,503.17,498.17,499.49,2094,499.49
20191219,499.34,503.86,499.02,502.34,1860,502.34
20191220,506.36,506.36,499.42,499.59,2908,499.59
20191223,501.62,502.82,497.61,499.66,1304,499.66
20191224,500.3,500.76,497.44,499.64,522,499.64
20191226,499.84,503.26,499.72,503.24,556,503.24
20191227,503.25,504.55,501.62,503.01,813,503.01
20191230,504.0,504.0,499.59,500.84,1017,500.84
20191231,500.76,502.89,498.28,502.7,1152,502.7
20200102,510.0,510.0,504.92,508.98,2547,508.98
20200103,501.72,506.71,501.52,503.57,1560,503.57
20200106,500.17,504.77,498.51,504.0,1939,504.0
20200107,502.88,509.82,502.88,507.22,1499,507.22
20200108,507.77,510.14,502.24,507.1,3326,507.1
20200109,513.88,514.82,510.6,513.1,2315,513.1
20200110,514.51,515.24,510.41,512.18,2419,512.18
20200113,513.27,523.45,513.27,523.11,3108,523.11
20200114,520.15,525.0,516.52,518.32,4293,518.32
20200115,518.5,531.62,518.5,530.26,5647,530.26
20200116,536.91,536.91,530.25,535.0,4352,535.0
20200117,537.06,539.2,533.23,535.24,3414,535.24
20200121,532.01,534.15,527.76,529.14,4151,529.14
20200122,532.53,539.63,531.33,536.86,4723,536.86
20200123,533.6,544.0,532.88,541.94,4419,541.94
20200124,544.42,547.35,532.76,536.84,4363,536.84
20200127,522.0,530.33,519.61,523.81,2524,523.81
20200128,527.96,533.77,525.15,529.97,2346,529.97
20200129,534.45,542.17,532.37,536.49,2162,536.49
20200130,531.04,540.26,528.91,539.69,2906,539.69
20200131,537.94,539.09,525.18,527.35,2722,527.35
20200203,530.23,537.15,529.8,530.08,2202,530.08
20200204,538.17,540.32,531.45,535.24,4798,535.24
20200205,543.84,546.69,537.47,543.48,6029,543.48
20200206,548.07,555.24,541.33,554.67,4914,554.67
20200207,550.0,556.01,549.49,555.74,3708,555.74
20200210,553.44,561.25,553.3,561.1,4425,561.1
20200211,564.05,571.31,563.87,570.44,3016,570.44
20200212,574.84,576.81,570.01,572.48,1976,572.48
20200213,568.69,572.75,567.37,568.55,2411,568.55
20200214,565.74,568.92,562.71,565.94,2052,565.94
20200218,565.0,565.22,562.31,564.81,2027,564.81
20200219,567.98,573.0,566.19,572.07,2099,572.07
20200220,570.0,572.95,560.9,566.92,2526,566.92
20200221,563.41,564.85,555.0,557.0,2577,557.0
20200224,536.05,541.32,527.65,528.0,6392,528.0
20200225,530.26,531.13,502.47,506.0,5856,506.0
20200226,508.17,517.96,505.5,508.47,5048,508.47
20200227,495.64,500.86,475.78,475.82,6628,475.82
