Date,Open,High,Low,Close,Volume,Adj Close
20200401,138.32,139.06,133.1,134.06,61315,134.06
20200402,134.01,135.39,130.03,134.32,54719,134.32
20200403,134.45,136.19,131.66,134.31,35547,134.31
20200406,139.0,149.85,138.3,147.55,80529,147.55
20200407,150.33,150.8,144.51,145.07,58261,145.07
20200408,146.3,152.16,145.0,151.12,57930,151.12
20200409,152.39,156.1,151.68,154.55,50162,154.55
20200413,154.12,155.32,149.99,152.5,37433,152.5
20200414,155.71,158.79,155.0,157.71,43963,157.71
20200415,155.08,157.28,154.0,155.63,27483,155.63
20200416,157.0,158.0,154.25,157.06,29919,157.06
20200417,160.0,163.26,157.63,162.62,51689,162.62
20200420,160.75,164.31,160.56,162.76,27729,162.76
20200421,159.6,160.09,148.0,150.56,106639,150.56
20200422,154.0,155.69,150.67,154.14,44985,154.14
20200423,153.5,156.47,151.5,151.72,46866,151.72
20200424,153.59,154.5,151.3,153.98,48610,153.98
20200427,155.54,158.44,154.2,157.63,35999,157.63
20200428,159.5,160.81,154.18,154.46,29171,154.46
20200429,157.88,161.89,156.52,160.43,35692,160.43
20200430,161.58,165.3,160.01,161.95,37712,161.95
20200501,158.49,160.17,155.26,156.37,27874,156.37
20200504,155.58,162.02,155.08,161.47,39780,161.47
20200505,162.53,164.14,160.25,163.25,39158,163.25
20200506,164.44,165.71,162.92,163.67,29964,163.67
20200507,166.5,171.27,166.02,169.9,44833,169.9
20200508,172.95,176.08,171.15,175.9,41083,175.9
20200511,175.56,183.3,174.16,182.67,61639,182.67
20200512,183.0,183.02,177.01,177.54,44820,177.54
20200513,175.17,175.21,166.26,169.64,99737,169.64
20200514,168.44,168.57,164.57,167.0,53893,167.0
20200515,167.27,171.72,166.18,171.33,41514,171.33
20200518,174.0,177.0,172.13,172.5,46616,172.5
20200519,172.75,178.2,172.75,176.04,33873,176.04
20200520,178.57,179.14,174.9,176.93,34390,176.93
20200521,176.93,178.3,174.93,175.26,27519,175.26
20200522,176.6,178.64,175.45,177.85,35681,177.85
20200526,182.0,182.0,176.22,176.52,54704,176.52
20200527,176.29,176.61,171.37,176.6,43398,176.6
20200528,180.0,184.8,177.1,181.1,69872,181.1
20200529,174.3,175.0,170.69,174.79,134104,174.79
20200601,173.1,177.52,172.68,176.36,41532,176.36
20200602,174.85,174.9,171.22,174.23,58408,174.23
20200603,174.83,175.93,172.84,174.99,43892,174.99
20200604,175.0,175.43,170.0,171.44,51679,171.44
20200605,170.16,174.19,167.0,173.88,61465,173.88
20200608,173.63,176.57,172.66,176.55,30510,176.55
20200609,176.0,176.0,173.53,174.56,24429,174.56
20200610,176.25,182.5,176.09,182.1,60086,182.1
20200611,176.64,178.43,172.0,172.05,43139,172.05
20200612,175.9,177.69,171.86,175.11,33604,175.11
20200615,172.0,178.9,171.27,178.61,42583,178.61
20200616,180.14,182.5,178.01,180.48,35753,180.48
20200617,180.97,182.75,180.68,181.4,31354,181.4
20200618,181.91,189.0,181.61,187.66,62711,187.66
20200619,189.16,191.25,185.49,186.95,57096,186.95
20200622,187.03,192.5,187.0,191.65,42696,191.65
20200623,192.0,194.09,188.59,189.06,50553,189.06
20200624,187.51,189.3,184.04,185.55,31420,185.55
20200625,186.14,188.77,184.44,188.34,24767,188.34
20200626,188.0,188.22,183.02,183.17,38147,183.17
