Date,Open,High,Low,Close,Volume,Adj Close
20191122,147.21,149.44,146.68,148.29,74693,148.29
20191125,148.8,150.21,147.7,149.69,71909,149.69
20191126,151.75,153.41,150.61,151.64,125359,151.64
20191127,152.3,152.57,151.15,151.48,45355,151.48
20191129,151.41,152.47,151.01,151.58,27874,151.58
20191202,152.94,152.97,149.1,150.62,70113,150.62
20191203,147.74,149.11,146.87,148.58,55036,148.58
20191204,149.3,149.33,148.18,148.28,42834,148.28
20191205,148.69,148.83,147.1,147.44,38120,147.44
20191206,148.4,148.61,147.18,147.66,38146,147.66
20191209,147.96,148.52,145.4,146.21,62891,146.21
20191210,145.26,146.85,145.05,146.1,43961,146.1
20191211,147.39,147.89,146.76,147.59,46158,147.59
20191212,147.92,148.93,147.25,147.76,48288,147.76
20191213,147.43,147.8,146.31,146.38,54424,146.38
20191216,147.59,148.65,146.55,148.46,51756,148.46
20191217,148.1,148.46,147.62,147.73,37124,147.73
20191218,147.77,147.95,146.19,146.26,50201,146.26
20191219,146.18,146.8,145.32,146.15,50147,146.15
20191220,147.15,147.88,145.77,146.88,65615,146.88
20191223,145.91,146.33,144.33,144.68,58865,144.68
20191224,144.58,145.43,144.45,145.29,18548,145.29
20191226,145.4,145.86,145.17,145.7,26615,145.7
20191227,146.05,146.51,145.45,145.75,31841,145.75
20191230,145.75,145.87,143.4,143.77,42795,143.77
20191231,143.67,144.77,143.26,144.63,34325,144.63
20200102,145.29,148.2,145.1,148.2,65282,148.2
20200103,146.4,147.9,146.05,146.5,43541,146.5
20200106,145.49,146.03,144.31,145.65,57527,145.65
20200107,145.99,146.87,145.42,145.7,44329,145.7
20200108,145.49,146.13,144.82,145.4,46769,145.4
20200109,146.47,146.63,144.61,144.83,42658,144.83
20200110,145.3,145.5,144.26,144.62,32367,144.62
20200113,144.75,144.75,143.36,143.88,56902,143.88
20200114,143.41,146.72,142.29,145.2,113982,145.2
20200115,145.55,145.71,143.93,144.32,44202,144.32
20200116,145.09,145.43,144.44,145.12,39946,145.12
20200117,145.54,145.64,144.01,144.33,50972,144.33
20200121,144.24,144.59,143.01,143.56,49824,143.56
20200122,144.45,144.79,143.54,144.01,43978,144.01
20200123,143.53,143.61,140.65,142.2,69642,142.2
20200124,141.4,142.25,139.2,140.08,88913,140.08
20200127,135.86,137.73,135.0,135.9,86997,135.9
20200128,136.5,138.93,135.86,138.37,63903,138.37
20200129,138.6,138.68,135.79,136.06,68139,136.06
20200130,135.09,137.85,134.83,137.81,79298,137.81
20200131,138.4,138.67,137.06,138.31,82900,138.31
20200203,139.79,141.82,139.75,141.32,86366,141.32
20200204,145.49,145.59,143.25,144.73,149460,144.73
20200205,146.6,147.3,138.57,141.37,216622,141.37
20200206,141.92,143.95,141.22,142.7,67896,142.7
20200207,141.89,141.99,140.12,141.02,69666,141.02
20200210,141.03,142.59,140.46,142.59,49215,142.59
20200211,142.85,142.99,140.46,141.01,65425,141.01
20200212,141.34,142.22,140.87,141.85,60975,141.85
20200213,141.17,141.9,140.82,140.9,37870,140.9
20200214,141.1,141.28,139.13,139.54,63560,139.54
20200218,139.02,139.66,138.1,139.14,51966,139.14
20200219,139.63,141.87,139.23,141.3,47972,141.3
20200220,141.42,141.63,138.85,140.37,43607,140.37
20200221,139.86,139.88,138.58,138.97,45410,138.97
20200224,132.9,134.44,131.21,133.01,145905,133.01
20200225,133.75,133.94,127.98,128.19,138960,128.19
20200226,126.14,128.37,122.13,123.36,235990,123.36
20200227,119.81,122.9,117.92,118.04,227456,118.04
20200228,114.51,118.31,113.21,117.65,259565,117.65
20200302,119.13,119.98,116.03,119.98,157119,119.98
20200303,121.13,121.78,115.15,116.45,134457,116.45
20200304,118.96,119.24,115.48,119.18,102272,119.18
20200305,116.86,116.96,112.11,113.98,165025,113.98
20200306,110.76,115.87,110.32,115.27,167459,115.27
20200309,108.69,110.43,104.28,104.35,197043,104.35
20200310,108.1,111.58,102.43,111.46,171899,111.46
20200311,108.42,108.9,102.86,105.51,179072,105.51
20200312,97.66,100.0,91.64,91.81,304654,91.81
20200313,100.78,102.87,92.25,102.52,319067,102.52
20200316,91.8,98.28,90.0,95.01,277466,95.01
20200317,95.6,97.47,91.15,93.53,210758,93.53
20200318,87.61,89.34,79.07,88.8,339891,88.8
20200319,88.0,97.4,85.11,94.93,248582,94.93
20200320,95.81,96.99,85.84,85.98,236270,85.98
20200323,84.2,87.28,81.09,85.76,241121,85.76
20200324,92.33,99.17,91.8,98.12,250889,98.12
20200325,100.66,105.92,95.51,100.73,212457,100.73
20200326,100.83,107.74,100.8,105.36,173037,105.36
20200327,100.45,101.49,95.54,96.4,232239,96.4
20200330,96.0,100.46,92.1,99.8,169608,99.8
20200331,100.99,103.16,96.16,96.6,151354,96.6
20200401,93.5,97.4,92.56,94.92,134119,94.92
20200402,94.2,97.26,94.2,96.97,95535,96.97
20200403,96.31,96.92,92.71,93.88,105845,93.88
