Date,Open,High,Low,Close,Volume,Adj Close
20190214,163.19,164.87,162.24,163.95,91752,163.95
20190215,164.45,164.7,160.86,162.5,122669,162.5
20190219,160.63,164.15,160.33,162.29,104781,162.29
20190220,162.25,163.72,161.25,162.56,85674,162.56
20190221,161.97,162.24,159.59,160.04,116539,160.04
20190222,160.58,162.41,160.31,161.89,102044,161.89
20190225,163.12,166.07,162.9,164.62,137274,164.62
20190226,164.34,166.24,163.8,164.13,108119,164.13
20190227,162.91,163.93,160.41,162.81,97614,162.81
20190228,162.37,163.5,160.86,161.45,77720,161.45
20190301,162.6,163.14,161.69,162.28,80010,162.28
20190304,163.89,167.5,163.83,167.37,152543,167.37
20190305,167.36,171.88,166.55,171.26,218177,171.26
20190306,172.9,173.57,171.27,172.51,165999,172.51
20190307,171.54,171.74,167.61,169.13,134553,169.13
20190308,166.19,169.62,165.97,169.6,98630,169.6
20190311,171.66,174.3,171.58,172.07,135251,172.07
20190312,172.1,173.8,171.21,171.92,85343,171.92
20190313,172.52,174.03,172.12,173.37,82424,173.37
20190314,169.47,171.15,168.16,170.17,130076,170.17
20190315,167.33,167.58,162.51,165.98,276786,165.98
20190318,163.57,163.9,159.28,160.47,295620,160.47
20190319,161.48,163.82,160.82,161.57,194688,161.57
20190320,161.58,166.12,161.24,165.44,156217,165.44
20190321,164.89,166.39,163.75,166.08,121183,166.08
20190322,165.71,167.42,164.09,164.34,127785,164.34
20190325,163.08,166.54,162.0,166.29,93719,166.29
20190326,167.35,169.45,166.34,167.68,123981,167.68
20190327,167.87,168.94,164.79,165.87,80082,165.87
20190328,164.45,166.72,163.33,165.55,83337,165.55
20190329,166.43,167.19,164.81,166.69,77064,166.69
20190401,167.92,168.9,167.27,168.7,75576,168.7
20190402,170.14,174.9,169.55,174.2,192008,174.2
20190403,174.53,177.96,172.95,173.54,225817,173.54
20190404,176.02,178.0,175.53,176.02,143641,176.02
20190405,176.95,177.0,175.1,175.72,74278,175.72
20190408,175.21,175.5,174.23,174.93,56283,174.93
20190409,175.62,179.19,175.55,177.58,152520,177.58
20190410,178.1,178.79,176.54,177.82,85644,177.82
20190411,178.17,178.4,177.0,177.51,59175,177.51
20190412,178.0,179.63,177.95,179.1,90980,179.1
20190415,178.5,180.5,176.87,179.65,81418,179.65
20190416,179.24,180.17,178.3,178.87,77914,178.87
20190417,179.6,180.74,178.36,178.78,64480,178.78
20190418,178.56,178.88,177.34,178.28,78492,178.28
20190422,178.25,181.67,178.25,181.44,99152,181.44
20190423,182.74,184.22,181.48,183.78,146962,183.78
20190424,184.49,185.14,181.65,182.58,203511,182.58
20190425,196.95,198.48,192.12,193.26,422246,193.26
20190426,192.32,192.9,189.09,191.49,172895,191.49
20190429,191.01,195.41,190.65,194.78,153384,194.78
20190430,194.19,197.39,192.28,193.4,186721,193.4
20190501,194.51,196.18,193.01,193.03,128447,193.03
20190502,192.99,194.0,189.75,192.53,102456,192.53
20190503,194.41,196.16,193.71,195.47,112891,195.47
20190506,191.4,194.28,190.55,193.88,106558,193.88
20190507,192.58,192.9,187.85,189.77,116270,189.77
20190508,189.36,190.72,188.55,189.54,95199,189.54
20190509,187.49,189.77,186.26,188.65,96315,188.65
20190510,188.22,190.0,184.59,188.34,100714,188.34
20190513,183.51,185.43,180.84,181.54,120164,181.54
20190514,182.6,183.49,178.1,180.73,144941,180.73
20190515,180.46,187.28,180.02,186.27,126876,186.27
20190516,185.04,188.58,185.03,186.99,94024,186.99
20190517,185.11,187.58,184.28,185.3,77980,185.3
20190520,182.23,184.23,181.37,182.72,75034,182.72
20190521,184.57,185.7,183.88,184.82,54100,184.82
20190522,184.81,186.74,183.61,185.32,58866,185.32
20190523,182.42,183.9,179.67,180.87,93609,180.87
20190524,182.33,183.63,180.83,181.06,60123,181.06
20190528,181.54,184.72,181.45,184.31,89393,184.31
20190529,183.5,184.56,181.35,182.19,101932,182.19
20190530,183.08,183.48,180.89,183.01,68740,183.01
20190531,180.42,180.54,177.16,177.47,112840,177.47
20190603,175.0,175.05,161.01,164.15,455013,164.15
20190604,163.71,168.28,160.84,167.5,385951,167.5
20190605,167.49,168.72,164.63,168.17,151647,168.17
20190606,168.36,169.7,167.23,168.33,95226,168.33
20190607,170.14,173.87,168.84,173.35,124695,173.35
20190610,174.57,177.86,173.8,174.82,111375,174.82
