Date,Open,High,Low,Close,Volume,Adj Close
20191122,1304.3,1306.9,1289.36,1293.67,4685,1293.67
20191125,1296.57,1310.41,1295.61,1305.64,4304,1305.64
20191126,1309.18,1314.01,1304.03,1313.0,3375,1313.0
20191127,1315.42,1317.64,1309.47,1312.13,4064,1312.13
20191129,1306.6,1309.95,1303.23,1304.09,2434,1304.09
20191202,1303.83,1305.44,1280.38,1288.86,4934,1288.86
20191203,1278.66,1297.23,1277.04,1294.74,4691,1294.74
20191204,1306.1,1324.27,1303.05,1318.94,8623,1318.94
20191205,1327.0,1327.98,1314.31,1326.96,6153,1326.96
20191206,1331.87,1342.47,1331.23,1339.39,7418,1339.39
20191209,1336.71,1357.56,1336.07,1342.99,6493,1342.99
20191210,1339.94,1348.0,1334.0,1342.89,3691,1342.89
20191211,1347.35,1349.89,1341.1,1344.25,3035,1344.25
20191212,1343.21,1354.58,1338.2,1348.49,6135,1348.49
20191213,1347.41,1351.35,1341.66,1346.87,5352,1346.87
20191216,1355.0,1363.53,1350.61,1360.7,5447,1360.7
20191217,1362.07,1364.33,1350.77,1354.89,5536,1354.89
20191218,1357.0,1359.44,1350.46,1351.91,3657,1351.91
20191219,1351.91,1357.53,1348.75,1356.44,3935,1356.44
20191220,1364.8,1364.95,1350.73,1351.22,9300,1351.22
20191223,1358.73,1361.86,1348.0,1350.63,3170,1350.63
20191224,1350.21,1352.01,1344.16,1344.43,1476,1344.43
20191226,1346.55,1363.2,1345.51,1362.47,3034,1362.47
20191227,1364.0,1367.07,1352.99,1354.64,3999,1354.64
20191230,1356.81,1357.0,1337.83,1339.71,3968,1339.71
20191231,1335.8,1340.66,1332.13,1339.39,3600,1339.39
20200102,1348.41,1368.68,1346.49,1368.68,6100,1368.68
20200103,1348.46,1373.75,1347.32,1361.52,4997,1361.52
20200106,1351.63,1398.32,1351.0,1397.81,8614,1397.81
20200107,1400.46,1403.5,1391.55,1395.11,7708,1395.11
20200108,1394.82,1411.85,1392.63,1405.04,8411,1405.04
20200109,1421.93,1428.68,1410.21,1419.79,7049,1419.79
20200110,1429.47,1434.94,1419.59,1428.96,6479,1428.96
20200113,1435.25,1441.48,1425.37,1440.03,7270,1440.03
20200114,1440.0,1442.63,1427.77,1430.59,5061,1430.59
20200115,1433.02,1440.78,1431.66,1439.2,4553,1439.2
20200116,1445.45,1450.71,1440.0,1450.16,5537,1450.16
20200117,1462.54,1480.55,1456.55,1479.52,10192,1479.52
20200121,1479.0,1489.89,1470.21,1482.25,8325,1482.25
20200122,1489.73,1500.59,1482.66,1484.17,6449,1484.17
20200123,1487.55,1493.5,1480.31,1484.69,5592,1484.69
20200124,1492.82,1494.21,1463.17,1466.17,7209,1466.17
20200127,1429.91,1436.58,1419.5,1431.73,7420,1431.73
20200128,1441.17,1454.8,1430.36,1450.5,5412,1450.5
20200129,1458.46,1464.14,1445.38,1456.7,4669,1456.7
20200130,1438.1,1455.25,1435.0,1454.25,6364,1454.25
20200131,1467.86,1469.67,1427.05,1432.78,9712,1432.78
20200203,1461.65,1486.3,1456.61,1482.6,14113,1482.6
20200204,1453.76,1467.34,1422.02,1445.41,22738,1445.41
20200205,1462.64,1464.58,1429.67,1446.05,8907,1446.05
20200206,1451.98,1481.57,1450.48,1475.97,9148,1475.97
20200207,1467.38,1485.25,1465.41,1479.11,7152,1479.11
20200210,1477.23,1508.88,1475.2,1508.66,8129,1508.66
20200211,1513.27,1529.88,1505.45,1510.06,8285,1510.06
20200212,1515.86,1520.3,1508.66,1518.63,4990,1518.63
20200213,1510.0,1525.95,1504.0,1513.39,3788,1513.39
20200214,1514.53,1520.05,1505.54,1518.73,3961,1518.73
20200218,1514.34,1530.56,1511.01,1519.44,4636,1519.44
20200219,1527.2,1530.74,1520.97,1524.87,4300,1524.87
20200220,1519.01,1527.07,1504.25,1516.99,5591,1516.99
20200221,1504.58,1510.95,1478.49,1483.46,9626,1483.46
20200224,1424.43,1436.38,1406.79,1419.86,10255,1419.86
