Date,Open,High,Low,Close,Volume,Adj Close
20200401,146.1,149.57,145.0,145.29,29298,145.29
20200402,143.02,150.46,141.67,149.93,31072,149.93
20200403,149.2,150.92,145.23,146.93,18626,146.93
20200406,155.47,158.93,153.77,158.23,29062,158.23
20200407,166.0,169.14,162.45,166.02,34770,166.02
20200408,168.55,178.1,168.55,176.96,37943,176.96
20200409,180.58,187.33,179.77,184.26,47039,184.26
20200413,183.85,184.97,179.13,179.18,31614,179.18
20200414,182.35,183.38,174.54,178.23,29046,178.23
20200415,170.63,181.68,169.15,178.52,43792,178.52
20200416,177.22,178.44,172.39,177.04,31733,177.04
20200417,183.49,185.28,178.29,183.49,40430,183.49
20200420,179.7,186.32,178.02,180.4,34336,180.4
20200421,175.44,179.2,173.66,173.81,23210,173.81
20200422,177.5,178.18,174.47,175.98,14365,175.98
20200423,177.0,179.07,174.45,175.05,13639,175.05
20200424,177.0,177.95,173.49,177.0,12873,177.0
20200427,179.1,184.25,178.72,183.54,19016,183.54
20200428,189.16,190.42,184.87,187.01,21056,187.01
20200429,192.61,193.72,189.57,190.03,19625,190.03
20200430,186.0,187.55,182.89,183.42,17782,183.42
20200501,179.0,179.6,176.65,177.1,17063,177.1
20200504,174.59,176.31,171.72,176.03,20732,176.03
20200505,179.1,182.6,178.14,178.3,24483,178.3
20200506,179.75,181.2,175.21,176.92,17185,176.92
20200507,179.18,183.38,179.18,182.32,17819,182.32
20200508,185.03,185.91,182.74,185.39,15803,185.39
20200511,182.5,184.85,181.26,183.16,14546,183.16
20200512,183.89,184.3,176.75,177.21,24662,177.21
20200513,175.66,176.88,170.76,171.8,23099,171.8
20200514,169.04,174.78,165.36,174.45,29711,174.45
20200515,173.48,174.09,170.58,171.87,19484,171.87
20200518,177.71,183.1,175.24,181.88,31476,181.88
20200519,180.56,182.19,177.72,177.83,14809,177.83
20200520,180.95,183.83,180.3,181.44,17719,181.44
20200521,180.46,181.17,177.68,180.1,13979,180.1
20200522,180.03,180.64,178.06,179.93,16173,179.93
20200526,185.63,197.1,185.22,196.06,43240,196.06
20200527,203.0,210.71,200.01,209.66,60458,209.66
20200528,210.96,211.31,201.21,201.22,31496,201.22
20200529,197.34,200.92,194.65,196.49,23809,196.49
20200601,197.28,201.77,195.12,199.93,13418,199.93
20200602,203.77,206.5,201.32,204.14,28382,204.14
20200603,208.33,211.93,206.43,210.57,23581,210.57
20200604,208.79,214.99,207.96,214.82,24149,214.82
20200605,222.0,222.98,217.66,217.92,30168,217.92
20200608,220.02,222.27,218.24,220.81,18311,220.81
20200609,215.74,220.02,215.16,218.1,15880,218.1
20200610,217.39,219.85,212.8,213.52,19497,213.52
20200611,204.7,206.9,194.02,194.13,30796,194.13
20200612,200.62,202.94,196.21,201.78,22026,201.78
20200615,195.73,207.0,195.15,206.31,24573,206.31
20200616,214.98,214.98,203.73,209.59,19109,209.59
20200617,210.0,210.79,205.44,206.19,11182,206.19
20200618,203.99,207.26,202.67,203.84,13581,203.84
20200619,207.05,207.43,200.97,201.63,28824,201.63
20200622,200.99,204.58,200.0,203.42,11523,203.42
20200623,206.5,207.51,203.64,204.78,14048,204.78
20200624,202.35,202.61,197.38,198.02,17296,198.02
20200625,197.86,207.39,197.61,207.1,22349,207.1
20200626,199.0,200.25,188.5,189.19,69673,189.19
20200629,191.38,193.9,188.66,193.47,26518,193.47
20200630,193.84,198.41,193.62,197.62,19778,197.62
20200701,198.88,199.74,195.52,197.57,19379,197.57
20200702,202.5,203.0,197.13,197.4,17624,197.4
20200706,201.44,207.79,201.13,207.36,23386,207.36
20200707,205.5,205.71,199.19,199.36,19080,199.36
20200708,199.6,203.25,199.02,202.25,19696,202.25
20200709,202.11,202.5,195.0,196.83,21403,196.83
20200710,196.87,206.32,196.83,205.56,29554,205.56
20200713,209.0,212.98,207.0,208.88,29788,208.88
20200714,211.43,214.3,207.01,214.01,34624,214.01
20200715,224.37,225.24,214.69,216.9,93728,216.9
20200716,213.51,220.46,213.5,214.67,44516,214.67
20200717,214.9,215.17,211.25,211.41,24980,211.41
20200720,210.73,213.17,210.32,211.71,15157,211.71
