Date,Open,High,Low,Close,Volume,Adj Close
20191122,218.5,219.13,217.81,218.03,42496,218.03
20191125,218.0,218.53,216.88,218.4,64924,218.4
20191126,218.77,220.96,218.39,220.76,73847,220.76
20191127,221.68,223.45,220.66,223.0,50096,223.0
20191129,223.3,223.33,220.29,220.51,18601,220.51
20191202,220.9,221.19,217.46,217.62,28562,217.62
20191203,216.45,216.45,212.93,214.0,46238,214.0
20191204,213.5,214.96,213.19,214.1,30226,214.1
20191205,214.36,214.5,211.77,213.0,29598,213.0
20191206,214.21,215.36,213.9,214.28,26815,214.28
20191209,214.16,217.88,214.16,216.53,34198,216.53
20191210,216.52,216.69,215.1,215.9,26771,215.9
20191211,211.03,213.65,210.61,212.0,59605,212.0
20191212,212.5,214.13,210.73,212.04,72565,212.04
20191213,212.12,214.23,210.67,214.08,48660,214.08
20191216,214.43,216.72,214.3,215.53,32958,215.53
20191217,215.78,219.45,215.78,217.72,47084,217.72
20191218,218.21,219.59,217.64,218.0,35641,218.0
20191219,218.48,220.77,218.28,220.22,31511,220.22
20191220,220.59,221.57,219.8,221.19,36577,221.19
20191223,222.0,222.0,219.14,219.21,21745,219.21
20191224,219.5,221.04,219.22,220.67,14122,220.67
20191226,220.74,221.16,219.59,220.82,16896,220.82
20191227,221.2,221.79,219.78,219.97,19027,219.97
20191230,220.37,220.49,216.54,217.31,23805,217.31
20191231,217.1,218.51,216.44,218.38,22904,218.38
20200102,219.08,219.76,217.84,219.66,23281,219.66
20200103,217.14,219.68,216.75,218.93,18813,218.93
20200106,216.49,220.0,216.4,219.96,27540,219.96
20200107,219.5,220.56,216.9,218.52,31493,218.52
20200108,218.8,222.97,218.66,221.79,30475,221.79
20200109,222.64,225.55,221.85,225.19,29288,225.19
20200110,224.75,225.49,223.03,224.22,26350,224.22
20200113,224.5,224.51,222.68,223.34,36637,223.34
20200114,222.48,224.95,222.31,222.81,19633,222.81
20200115,222.28,224.98,222.13,224.59,20068,224.59
20200116,225.93,228.86,225.4,228.82,37408,228.82
20200117,229.61,232.6,228.91,231.91,51330,231.91
20200121,231.53,233.66,231.06,232.95,24848,232.95
20200122,233.79,236.53,232.87,232.9,24398,232.9
20200123,232.13,234.82,230.64,233.65,24197,233.65
20200124,234.57,235.43,230.56,232.0,26491,232.0
20200127,228.2,232.47,228.2,231.19,22343,231.19
20200128,231.82,235.25,231.35,233.86,19590,233.86
20200129,234.9,235.88,233.4,234.02,14369,234.02
20200130,232.0,233.3,231.57,232.79,32606,232.79
20200131,232.96,233.24,227.89,228.1,28455,228.1
20200203,230.3,233.53,229.35,231.54,25195,231.54
20200204,234.03,236.36,234.03,235.0,19544,235.0
20200205,237.1,238.32,235.86,238.11,21893,238.11
20200206,238.0,239.41,237.48,238.84,16411,238.84
20200207,238.84,239.53,236.52,237.3,12709,237.3
20200210,236.6,240.61,236.18,240.61,15550,240.61
20200211,240.61,242.45,240.2,241.64,16562,241.64
20200212,242.13,242.31,238.84,241.59,22611,241.59
20200213,240.97,243.6,240.4,242.36,14606,242.36
20200214,243.44,245.2,242.63,245.03,16682,245.03
