Date,Open,High,Low,Close,Volume,Adj Close
20191122,58.34,58.65,57.49,57.61,112446,57.61
20191125,58.04,58.84,58.0,58.81,104725,58.81
20191126,58.95,59.13,58.45,58.9,124969,58.9
20191127,58.48,58.59,57.9,58.51,106276,58.51
20191129,58.11,58.3,57.79,58.05,52658,58.05
20191202,58.49,58.69,57.47,57.66,132426,57.66
20191203,56.86,56.86,55.75,56.07,205857,56.07
20191204,56.66,56.66,55.86,56.02,147422,56.02
20191205,56.41,56.41,55.76,56.08,140749,56.08
20191206,56.66,56.99,56.42,56.81,121769,56.81
20191209,56.54,56.96,56.5,56.53,87316,56.53
20191210,56.71,56.83,56.44,56.59,125057,56.59
20191211,56.9,57.17,56.58,57.07,149318,57.07
20191212,56.75,58.05,56.61,57.55,228815,57.55
20191213,57.55,58.34,57.38,57.79,164408,57.79
20191216,58.21,58.57,57.65,57.7,123335,57.7
20191217,57.96,58.1,57.13,57.3,161803,57.3
20191218,57.39,57.46,56.94,57.17,155097,57.17
20191219,57.17,57.99,56.96,57.96,122095,57.96
20191220,58.32,59.05,57.89,58.95,222518,58.95
20191223,59.1,59.78,59.04,59.23,118480,59.23
20191224,59.24,59.48,59.16,59.41,41540,59.41
20191226,59.41,59.85,59.35,59.82,69514,59.82
20191227,59.92,60.48,59.9,60.08,98225,60.08
20191230,59.99,60.05,59.38,59.62,89814,59.62
20191231,59.62,59.93,59.36,59.85,93626,59.85
20200102,60.24,60.97,60.22,60.84,120835,60.84
20200103,59.85,60.7,59.81,60.1,105165,60.1
20200106,59.59,60.2,59.33,59.93,117265,59.93
20200107,59.78,59.87,58.89,58.93,157741,58.93
20200108,58.86,59.32,58.52,58.97,169621,58.97
20200109,59.1,59.51,58.83,59.3,125087,59.3
20200110,59.57,60.08,58.87,58.94,119550,58.94
20200113,59.17,59.78,59.08,59.59,123294,59.59
20200114,59.48,59.74,59.18,59.43,116983,59.43
20200115,59.3,59.65,58.75,58.94,130457,58.94
20200116,59.25,59.84,59.07,59.66,146956,59.66
20200117,59.92,60.0,59.24,59.6,152859,59.6
20200121,59.81,61.25,59.79,60.55,208947,60.55
20200122,61.0,62.85,60.97,62.73,226383,62.73
20200123,62.85,63.71,62.81,63.32,279371,63.32
20200124,66.55,69.29,66.46,68.47,716862,68.47
20200127,66.72,67.42,65.6,65.69,231591,65.69
20200128,66.48,67.58,65.94,67.31,223163,67.31
20200129,67.55,68.06,66.17,66.33,136015,66.33
20200130,65.67,66.5,64.93,66.47,138339,66.47
20200131,65.78,65.98,63.67,63.93,191052,63.93
20200203,64.45,65.04,64.3,64.42,117826,64.42
20200204,65.76,66.06,64.92,65.46,160987,65.46
20200205,66.69,67.6,66.13,67.34,176538,67.34
20200206,67.3,67.4,66.77,67.09,126858,67.09
20200207,66.86,67.3,66.01,66.02,117739,66.02
20200210,65.56,66.4,65.44,66.39,113306,66.39
20200211,66.77,67.71,66.57,67.41,120152,67.41
20200212,67.65,68.09,67.31,67.46,105358,67.46
20200213,66.97,67.65,66.73,67.44,80675,67.44
20200214,67.48,67.87,66.82,67.27,96158,67.27
20200218,66.79,66.79,65.88,66.14,93339,66.14
20200219,66.31,67.2,66.18,67.11,97515,67.11
20200220,67.04,67.29,64.56,65.45,207381,65.45
20200221,65.13,65.25,64.04,64.34,127745,64.34
20200224,61.73,62.77,61.32,61.76,195535,61.76
20200225,61.99,62.28,59.46,59.73,271568,59.73
20200226,60.24,60.82,59.27,59.65,200827,59.65
20200227,57.98,58.51,55.8,55.83,314896,55.83
20200228,54.2,56.38,53.6,55.52,463545,55.52
20200302,55.81,58.22,54.52,58.18,326030,58.18
20200303,58.04,59.02,55.4,55.97,387656,55.97
20200304,56.98,58.71,56.16,58.68,205189,58.68
20200305,57.0,58.66,56.61,56.96,213785,56.96
20200306,55.18,56.01,54.54,55.77,290512,55.77
20200309,51.95,52.71,50.0,50.85,432028,50.85
20200310,52.81,54.0,50.43,53.98,279486,53.98
20200311,52.38,53.54,51.01,51.66,292623,51.66
20200312,48.0,50.1,45.37,45.54,388382,45.54
20200313,47.97,55.0,47.74,54.43,366066,54.43
20200316,47.51,52.25,43.63,44.61,404127,44.61
20200317,45.76,51.63,45.2,50.08,376255,50.08
20200318,46.66,50.05,45.2,47.61,392795,47.61
20200319,47.81,49.23,45.16,45.94,345302,45.94
20200320,46.51,49.42,45.47,45.83,395018,45.83
20200323,46.08,50.49,45.91,49.58,374242,49.58
20200324,53.03,54.64,51.35,52.4,357928,52.4
20200325,52.57,53.79,49.91,51.26,305524,51.26
20200326,51.74,55.95,51.66,55.54,278713,55.54
20200327,53.39,54.64,52.06,52.37,221951,52.37
20200330,52.99,56.1,52.83,55.49,237960,55.49
20200331,54.81,55.8,53.22,54.12,283019,54.12
20200401,52.38,54.69,51.43,51.88,207660,51.88
20200402,51.49,54.56,51.22,54.35,204914,54.35
20200403,53.89,55.13,52.73,54.13,162205,54.13
20200406,56.6,58.77,56.12,58.43,223964,58.43
20200407,59.52,61.49,58.21,58.4,292586,58.4
20200408,58.9,59.51,57.91,58.98,207048,58.98
20200409,59.52,59.72,56.06,57.14,320956,57.14
20200413,56.64,58.77,56.57,58.7,186165,58.7
20200414,60.04,60.9,59.51,60.66,181686,60.66
20200415,59.74,59.83,58.38,58.87,152863,58.87
20200416,59.68,60.96,58.81,60.79,171250,60.79
20200417,62.01,62.13,59.82,60.36,187034,60.36
20200420,59.43,60.04,58.89,59.18,148546,59.18
20200421,58.37,58.6,55.93,56.36,192056,56.36
20200422,58.27,60.5,57.81,60.1,169942,60.1
20200423,59.76,60.1,58.81,59.04,204245,59.04
20200424,56.2,59.4,56.1,59.26,417576,59.26
20200427,59.79,59.83,58.38,59.47,201491,59.47
20200428,59.95,60.22,58.26,58.75,198301,58.75
20200429,59.4,62.03,59.32,61.8,236857,61.8
20200430,61.42,61.54,59.75,59.98,151768,59.98
20200501,58.9,59.32,57.31,57.47,151362,57.47
20200504,57.12,58.07,56.31,57.99,140956,57.99
20200505,58.79,59.3,58.35,58.75,133023,58.75
20200506,59.04,59.95,58.94,59.18,123488,59.18
20200507,59.93,60.1,58.92,59.17,112805,59.17
20200508,59.63,59.78,59.05,59.67,112247,59.67
20200511,59.8,60.84,59.71,60.13,135911,60.13
20200512,60.22,60.64,58.35,58.39,120508,58.39
20200513,58.54,59.23,56.9,57.74,160411,57.74
20200514,57.32,59.15,56.1,59.08,169983,59.08
20200515,57.41,58.37,56.96,58.28,161902,58.28
20200518,59.78,60.28,59.36,59.92,126615,59.92
20200519,60.13,61.77,59.85,60.29,161172,60.29
20200520,61.16,63.49,61.02,63.1,240287,63.1
20200521,63.01,63.8,61.82,61.98,170468,61.98
20200522,61.99,62.32,61.42,62.255,113494,62.255
20200526,63.68,64.14,62.12,62.34,160873,62.34
20200527,62.32,63.59,61.07,63.56,156154,63.56
20200528,63.0,63.45,61.49,61.7,125223,61.7
20200529,61.68,63.66,61.62,62.93,171069,62.93
20200601,62.49,62.66,61.66,61.86,109379,61.86
20200602,61.7,62.17,60.82,62.12,128159,62.12
20200603,62.43,62.54,61.53,61.93,124679,61.93
20200604,61.73,63.47,61.34,62.97,161593,62.97
20200605,63.36,65.11,63.16,64.34,194724,64.34
20200608,64.24,64.24,62.94,63.67,150270,63.67
20200609,63.0,63.71,62.9,63.04,128521,63.04
20200610,62.89,64.29,62.75,63.87,145930,63.87
20200611,63.03,63.3,59.52,59.7,193689,59.7
20200612,60.07,60.96,58.12,59.33,233984,59.33
20200615,59.33,60.36,58.58,60.1,193976,60.1
20200616,61.5,61.69,59.49,60.4,171376,60.4
20200617,60.74,61.28,60.06,60.49,120662,60.49
20200618,60.35,60.51,59.32,60.08,153255,60.08
20200619,60.65,60.89,59.1,59.62,253355,59.62
20200622,59.55,60.55,58.83,60.09,168496,60.09
20200623,60.15,60.47,59.86,59.92,165244,59.92
20200624,59.64,59.81,58.67,59.09,179423,59.09
20200625,58.98,59.09,57.48,58.51,168572,58.51
20200626,58.49,58.73,57.07,57.5,182273,57.5
20200629,57.49,58.35,56.76,58.27,127442,58.27
20200630,58.71,59.98,58.54,59.83,165173,59.83
20200701,59.83,60.03,58.76,58.81,108532,58.81
20200702,59.29,59.81,58.97,59.13,105635,59.13
20200706,58.66,59.62,58.6,59.54,134039,59.54
20200707,59.1,59.57,58.14,58.31,114806,58.31
20200708,58.45,58.7,57.93,58.61,101374,58.61
20200709,58.22,58.75,57.7,58.42,158085,58.42
20200710,57.9,59.69,57.83,59.53,134018,59.53
20200713,59.79,60.62,58.39,58.58,149464,58.58
20200714,58.0,59.25,57.34,58.98,158587,58.98
20200715,59.03,59.34,58.42,59.03,134618,59.03
20200716,58.51,59.36,58.4,59.14,96411,59.14
20200717,59.42,60.46,59.28,60.0,121818,60.0
20200720,60.1,61.38,59.34,61.15,126943,61.15
20200721,61.49,61.93,60.44,60.7,138944,60.7
20200722,61.25,61.77,60.62,61.05,135972,61.05
20200723,61.26,61.74,59.98,60.4,211831,60.4
20200724,52.15,52.18,49.5,50.59,1551317,50.59
20200727,51.02,51.14,49.46,49.57,886595,49.57
20200728,49.48,50.23,49.14,49.24,466400,49.24
20200729,49.49,49.5,47.9,48.07,513128,48.07
20200730,47.85,48.5,47.59,47.99,338189,47.99
20200731,48.13,48.33,46.98,47.73,349325,47.73
20200803,48.31,48.63,47.74,48.3,245397,48.3
20200804,48.63,49.14,48.5,49.13,230397,49.13
20200805,49.72,49.72,48.66,48.92,212071,48.92
20200806,48.8,48.82,48.1,48.57,180403,48.57
20200807,48.54,48.65,47.7,48.03,232980,48.03
20200810,48.2,49.39,48.06,49.22,224078,49.22
20200811,49.62,49.73,48.06,48.19,286672,48.19
20200812,48.67,49.26,48.24,49.19,244101,49.19
20200813,49.25,49.33,48.38,48.56,190277,48.56
20200814,48.73,49.21,48.65,48.89,176803,48.89
20200817,49.11,49.31,48.73,48.93,158202,48.93
20200818,49.25,49.57,48.62,48.65,145945,48.65
20200819,48.79,48.98,48.25,48.33,186121,48.33
20200820,49.81,50.2,49.0,49.17,465278,49.17
20200821,49.01,49.31,48.65,49.28,207508,49.28
20200824,49.28,49.4,48.82,49.14,213253,49.14
20200825,49.3,49.88,49.21,49.43,208566,49.43
20200826,49.35,49.67,49.23,49.55,171916,49.55
20200827,49.77,49.93,49.17,49.4,193048,49.4
20200828,49.53,50.8,49.46,50.43,295872,50.43
20200831,51.0,51.5,50.32,50.95,310667,50.95
20200901,50.91,51.0,50.22,50.79,205738,50.79
20200902,51.15,52.68,51.09,52.25,439832,52.25
20200903,52.54,52.62,50.13,50.39,366601,50.39
20200904,50.51,51.23,49.49,50.08,341288,50.08
20200908,49.42,49.9,48.85,48.91,294263,48.91
20200909,49.52,49.97,49.04,49.62,206989,49.62
20200910,50.02,50.09,48.71,48.96,238791,48.96
20200911,49.33,50.05,48.95,49.28,232597,49.28
20200914,48.88,49.72,48.85,49.41,185160,49.41
20200915,49.75,50.6,49.73,50.0,227801,50.0
20200916,50.51,51.03,50.16,50.37,210121,50.37
20200917,49.4,50.49,49.3,50.32,203156,50.32
20200918,50.32,50.5,49.04,49.89,284175,49.89
20200921,49.33,49.75,48.83,49.72,199838,49.72
20200922,49.83,50.21,49.47,49.95,171514,49.95
20200923,49.84,50.15,48.66,48.82,220616,48.82
20200924,48.55,49.64,48.42,49.16,200302,49.16
20200925,48.97,50.28,48.75,49.94,185246,49.94
20200928,50.51,51.46,50.16,51.43,217445,51.43
20200929,51.3,51.74,50.95,51.19,159829,51.19
20200930,51.19,52.38,51.15,51.78,196302,51.78
