Date,Open,High,Low,Close,Volume,Adj Close
20200401,108.7,110.38,105.52,106.66,383699,106.66
20200402,105.72,110.39,104.56,107.67,349729,107.67
20200403,106.59,108.0,102.6,104.62,327005,104.62
20200406,109.03,113.34,109.02,112.63,353756,112.63
20200407,116.88,118.64,112.39,112.92,442730,112.92
20200408,114.88,119.24,113.55,118.07,379565,118.07
20200409,121.92,124.61,121.32,123.72,553082,123.72
20200413,122.85,123.51,119.11,120.37,326037,120.37
20200414,123.9,124.88,121.3,122.81,301425,122.81
20200415,117.86,119.11,116.66,117.8,280967,117.8
20200416,118.09,118.42,114.55,116.91,330780,116.91
20200417,121.9,122.72,120.06,122.06,320186,122.06
20200420,119.59,122.9,119.04,120.62,283799,120.62
20200421,117.42,119.24,116.48,117.74,255722,117.74
20200422,120.32,120.99,118.77,119.17,194636,119.17
20200423,120.11,122.9,119.68,120.34,293769,120.34
20200424,121.53,123.32,120.09,122.41,217780,122.41
20200427,123.95,128.44,123.86,127.26,308192,127.26
20200428,131.12,131.46,127.28,129.11,369272,129.11
20200429,133.49,136.85,131.87,135.46,378089,135.46
20200430,131.9,132.94,130.14,130.31,307182,130.31
20200501,127.15,127.46,123.29,125.14,305805,125.14
20200504,123.6,125.9,122.25,125.68,233662,125.68
20200505,128.07,129.92,126.1,126.65,250542,126.65
20200506,127.49,128.2,125.0,125.72,230110,125.72
20200507,127.39,128.5,126.55,127.44,219480,127.44
20200508,130.16,132.75,129.19,132.36,257445,132.36
20200511,130.41,132.95,129.33,131.7,283631,131.7
20200512,132.26,132.29,126.84,126.97,336893,126.97
20200513,125.65,126.08,120.41,122.72,463624,122.72
20200514,119.97,123.27,117.18,123.12,454737,123.12
20200515,122.01,125.53,121.46,125.08,315502,125.08
20200518,131.45,133.39,130.83,132.68,370105,132.68
20200519,132.22,133.45,130.05,130.06,239742,130.06
20200520,132.73,134.98,132.38,134.0,279878,134.0
20200521,134.05,135.06,132.57,134.24,244069,134.24
20200522,134.67,135.05,133.02,134.89,184952,134.89
20200526,140.09,140.38,138.46,138.78,282240,138.78
20200527,141.57,143.5,137.33,143.09,333856,143.09
20200528,144.74,144.74,137.58,139.7,335050,139.7
20200529,138.3,139.28,136.41,138.9,335544,138.9
20200601,139.26,141.67,138.61,140.23,195829,140.23
20200602,141.07,141.86,139.56,141.39,206635,141.39
20200603,143.67,146.07,143.11,144.8,284577,144.8
20200604,143.84,145.6,143.18,144.59,234446,144.59
20200605,150.96,152.32,149.55,150.18,405063,150.18
20200608,152.31,153.39,151.63,153.09,248237,153.09
20200609,150.86,151.77,149.06,150.26,300990,150.26
20200610,150.09,150.26,145.9,146.18,399171,146.18
20200611,140.15,141.04,134.77,135.03,546267,135.03
20200612,140.33,141.02,134.15,138.27,480174,138.27
20200615,133.28,142.06,133.28,140.99,407924,140.99
20200616,146.69,146.69,141.03,144.38,374015,144.38
20200617,144.59,144.99,141.32,141.77,254371,141.77
20200618,140.37,143.31,139.81,141.72,171998,141.72
20200619,144.42,144.51,139.84,140.99,314197,140.99
20200622,140.24,142.56,138.83,142.4,200803,142.4
20200623,144.32,144.66,142.65,143.0,157766,143.0
20200624,141.1,141.6,136.31,138.36,345487,138.36
20200625,137.67,140.58,136.29,140.45,303128,140.45
20200626,139.48,139.83,136.49,136.67,289173,136.67
20200629,138.71,141.99,137.1,141.14,254003,141.14
20200630,140.61,143.62,140.59,143.18,234955,143.18
20200701,143.65,144.51,141.24,141.82,176385,141.82
20200702,144.56,145.28,141.89,142.4,194851,142.4
20200706,145.32,145.7,142.93,143.43,163633,143.43
20200707,142.18,143.44,140.48,140.89,154034,140.89
20200708,140.76,142.5,139.1,141.94,197376,141.94
20200709,142.01,142.35,137.24,139.07,272498,139.07
20200710,139.13,141.5,138.45,141.31,193772,141.31
20200713,142.81,144.64,139.39,139.52,258769,139.52
20200714,139.43,141.98,138.64,141.83,220104,141.83
20200715,145.42,147.78,144.79,147.03,320459,147.03
20200716,146.11,146.67,144.88,146.16,195159,146.16
20200717,146.68,147.59,145.51,146.59,155471,146.59
20200720,146.12,146.85,145.15,145.96,158488,145.96
20200721,147.47,149.16,147.2,148.03,188894,148.03
20200722,147.09,148.67,147.03,148.11,119748,148.11
20200723,147.98,150.2,146.7,148.26,178472,148.26
20200724,147.28,147.67,145.56,146.08,154646,146.08
20200727,146.19,147.69,145.39,147.6,107035,147.6
20200728,147.07,148.04,146.06,146.13,106872,146.13
20200729,147.0,149.45,146.98,149.35,120552,149.35
20200730,147.14,149.12,146.33,148.76,167731,148.76
20200731,148.14,148.42,144.67,147.36,218095,147.36
20200803,148.29,149.97,147.22,149.76,143812,149.76
20200804,149.39,150.93,149.04,150.79,143733,150.79
20200805,152.33,153.89,151.78,153.79,139431,153.79
20200806,153.8,154.44,152.91,153.73,142248,153.73
20200807,153.45,156.25,153.15,156.17,150816,156.17
20200810,156.65,158.83,156.65,157.79,181777,157.79
20200811,159.27,159.82,156.16,156.88,198997,156.88
20200812,158.67,158.89,156.49,157.52,148983,157.52
20200813,156.96,158.53,156.65,157.19,121852,157.19
20200814,156.28,157.76,155.87,157.09,105138,157.09
20200817,157.5,158.03,156.74,157.9,75841,157.9
20200818,157.83,157.85,155.71,156.39,98827,156.39
20200819,156.93,158.04,156.19,156.4,111587,156.4
20200820,154.8,156.49,154.54,155.76,119653,155.76
20200821,155.15,155.66,153.6,154.61,121314,154.61
20200824,155.86,156.27,154.33,156.23,112140,156.23
20200825,156.81,156.82,154.79,156.4,114874,156.4
20200826,156.5,156.77,155.18,155.42,100690,155.42
20200827,156.12,157.0,154.63,155.8,137140,155.8
20200828,156.57,157.2,155.73,157.12,98342,157.12
20200831,157.19,157.37,155.31,155.43,127736,155.43
20200901,155.22,157.31,154.45,157.21,117942,157.21
20200902,157.96,158.98,156.17,158.46,123386,158.46
20200903,158.15,158.29,152.96,153.78,256192,153.78
20200904,155.72,155.89,149.29,152.8,250182,152.8
20200908,151.18,152.48,149.0,149.86,206944,149.86
20200909,151.42,152.78,150.57,152.13,145243,152.13
20200910,152.8,153.88,150.05,150.15,162446,150.15
20200911,150.92,151.05,147.67,149.15,160692,149.15
20200914,150.59,153.43,150.37,153.08,150368,153.08
20200915,154.38,154.7,152.86,153.37,132501,153.37
20200916,154.11,156.85,153.84,154.82,164412,154.82
20200917,152.62,154.4,151.75,153.69,150382,153.69
20200918,153.98,155.29,151.14,153.29,191973,153.29
