Date,Open,High,Low,Close,Volume,Adj Close
20200401,127.7,130.23,125.5,128.81,86385,128.81
20200402,129.12,134.0,127.22,133.15,77688,133.15
20200403,132.38,134.79,131.58,134.17,62018,134.17
20200406,137.01,140.97,135.54,139.76,95914,139.76
20200407,139.86,142.03,137.26,137.48,80540,137.48
20200408,137.75,144.13,137.3,143.26,73573,143.26
20200409,144.01,145.42,140.28,141.23,73543,141.23
20200413,140.0,141.49,137.84,139.77,53632,139.77
20200414,145.42,147.42,144.05,146.03,94943,146.03
20200415,145.55,147.91,143.54,147.66,82536,147.66
20200416,148.31,150.68,146.44,149.67,87358,149.67
20200417,151.99,152.2,149.6,152.02,79214,152.02
20200420,150.93,153.0,150.09,151.67,83824,151.67
20200421,150.12,151.64,148.57,149.68,70243,149.68
20200422,152.81,155.0,151.73,152.99,78452,152.99
20200423,154.25,157.0,153.69,155.51,77363,155.51
20200424,155.57,156.3,153.64,154.86,57105,154.86
20200427,154.81,156.05,154.0,154.29,55031,154.29
20200428,151.41,153.1,150.7,151.39,57396,151.39
20200429,151.38,151.63,149.16,150.24,58970,150.24
20200430,148.46,150.43,147.16,150.04,64802,150.04
20200501,149.93,149.93,146.79,148.29,45777,148.29
20200504,148.76,149.08,147.09,148.27,48244,148.27
20200505,149.0,150.78,148.64,149.5,44925,149.5
20200506,150.0,150.32,148.04,148.08,34524,148.08
20200507,149.37,149.53,147.13,147.59,33466,147.59
20200508,148.92,149.18,147.89,148.7,27216,148.7
20200511,148.45,150.1,148.12,149.11,32479,149.11
20200512,150.1,150.34,147.03,147.14,43165,147.14
20200513,146.08,148.95,146.01,147.13,45332,147.13
20200514,145.39,147.76,144.25,147.64,42475,147.64
20200515,147.87,150.48,145.66,150.44,58822,150.44
20200518,152.49,153.62,150.49,150.52,49287,150.52
20200519,150.18,151.1,148.4,149.02,41379,149.02
20200520,149.75,150.39,147.27,147.68,39117,147.68
20200521,148.5,148.5,145.82,146.71,44472,146.71
20200522,144.57,146.29,144.06,144.37,39363,144.37
20200526,146.19,146.44,144.3,144.56,45155,144.56
20200527,144.32,145.25,143.01,144.89,46409,144.89
20200528,145.99,148.11,145.81,146.97,38855,146.97
20200529,147.96,149.35,145.36,148.75,37911,148.75
20200601,147.29,148.34,146.01,147.19,36636,147.19
20200602,147.06,148.35,146.12,148.25,37045,148.25
20200603,148.52,149.14,146.44,148.65,37841,148.65
20200604,146.8,148.37,145.58,146.73,45378,146.73
20200605,147.69,149.64,146.6,147.3,57086,147.3
20200608,145.88,147.61,145.74,146.77,46247,146.77
20200609,148.79,149.33,145.65,145.96,54517,145.96
20200610,146.6,150.03,146.6,147.8,74421,147.8
20200611,148.58,149.17,140.75,140.87,78106,140.87
20200612,142.84,143.71,140.28,142.15,55188,142.15
20200615,141.0,142.4,139.39,141.25,50973,141.25
20200616,144.09,145.43,142.77,144.46,43693,144.46
20200617,144.9,145.42,143.47,144.02,30061,144.02
20200618,142.52,144.12,141.87,143.41,31035,143.41
20200619,145.79,145.88,143.25,143.83,59785,143.83
20200622,143.47,143.66,142.03,143.39,31083,143.39
20200623,143.74,144.08,142.68,142.86,38150,142.86
20200624,141.49,142.19,138.72,139.82,51683,139.82
20200625,140.57,140.57,137.54,139.67,47169,139.67
20200626,139.53,139.6,137.02,137.81,50407,137.81
20200629,138.74,139.7,137.98,139.04,27358,139.04
20200630,139.4,141.02,137.84,140.63,33775,140.63
20200701,140.69,141.39,140.06,140.38,34469,140.38
20200702,141.25,141.84,140.33,140.97,33690,140.97
20200706,142.17,143.77,141.88,142.98,36981,142.98
20200707,141.39,143.97,141.23,142.85,32329,142.85
20200708,142.87,143.39,141.7,143.27,41701,143.27
20200709,142.76,144.43,140.58,142.49,37712,142.49
20200710,142.75,142.87,141.42,142.37,27173,142.37
20200713,143.64,146.64,143.28,145.21,47338,145.21
20200714,145.32,148.39,145.26,147.92,42312,147.92
20200715,149.73,150.21,148.23,148.26,50691,148.26
20200716,148.68,149.34,146.68,149.25,65950,149.25
20200717,150.0,150.58,148.69,149.35,50067,149.35
20200720,150.23,150.32,148.43,149.6,41376,149.6
20200721,149.6,151.67,149.5,149.74,36746,149.74
20200722,149.93,150.41,147.85,150.01,40823,150.01
20200723,150.21,150.85,149.28,149.61,45034,149.61
20200724,150.5,150.6,147.03,148.12,36079,148.12
20200727,147.37,148.92,146.86,147.18,33576,147.18
20200728,147.4,147.99,146.75,146.83,30150,146.83
20200729,146.39,147.47,146.07,146.54,29511,146.54
20200730,147.44,147.5,146.14,146.84,38687,146.84
20200731,146.66,147.45,143.96,145.76,37414,145.76
20200803,146.39,147.79,146.15,147.35,24971,147.35
20200804,146.99,147.22,145.82,147.22,24165,147.22
20200805,149.1,149.31,147.8,148.4,33318,148.4
20200806,148.4,149.25,146.5,147.55,30300,147.55
20200807,147.51,148.65,147.15,148.6,22028,148.6
20200810,148.86,149.01,147.72,148.03,21811,148.03
20200811,149.14,149.23,146.37,146.97,33891,146.97
20200812,147.54,150.24,147.49,149.66,33122,149.66
20200813,148.54,149.19,147.53,148.0,32230,148.0
20200814,147.61,149.34,147.58,148.24,24420,148.24
