Date,Open,High,Low,Close,Volume,Adj Close
20191122,130.15,131.22,130.1,130.79,56495,130.79
20191125,131.25,132.07,130.86,131.49,68175,131.49
20191126,131.82,131.82,130.35,131.67,57007,131.67
20191127,132.29,132.43,131.65,132.06,47817,132.06
20191129,131.87,132.41,131.45,131.76,27855,131.76
20191202,132.31,132.74,131.35,131.47,60303,131.47
20191203,129.77,129.96,128.58,129.78,71731,129.78
20191204,130.38,132.47,129.99,132.34,72887,132.34
20191205,132.68,133.31,132.18,133.06,69582,133.06
20191206,134.69,135.78,134.65,135.04,73915,135.04
20191209,134.63,135.46,134.41,134.41,55132,134.41
20191210,133.25,134.77,132.88,134.5,48964,134.5
20191211,134.29,135.02,134.01,134.18,52695,134.18
20191212,134.49,138.47,134.21,138.02,103639,138.02
20191213,137.95,138.83,136.22,136.81,70050,136.81
20191216,138.38,138.84,137.32,137.34,66560,137.34
20191217,137.73,138.67,137.23,138.18,54345,138.18
20191218,138.15,139.02,137.71,138.04,66147,138.04
20191219,137.76,138.22,137.1,137.35,58567,137.35
20191220,138.02,138.88,136.9,137.24,120891,137.24
20191223,137.6,137.91,136.88,137.2,54266,137.2
20191224,137.33,137.63,137.06,137.58,23465,137.58
20191226,137.89,139.1,137.78,139.04,42280,139.04
20191227,139.3,139.77,138.66,139.14,41707,139.14
20191230,139.9,140.08,138.47,138.63,45904,138.63
20191231,138.51,139.48,138.29,139.4,42317,139.4
20200102,139.79,141.1,139.26,141.09,70016,141.09
20200103,137.5,139.23,137.08,138.34,69779,138.34
20200106,136.66,138.27,136.5,138.23,54347,138.23
20200107,137.28,137.86,135.82,135.88,75183,135.88
20200108,135.7,137.58,135.6,136.94,69898,136.94
20200109,138.05,138.23,137.04,137.44,63196,137.44
20200110,137.21,137.25,135.81,136.07,71891,136.07
20200113,136.19,137.2,135.75,137.2,76874,137.2
20200114,137.94,140.76,137.69,138.8,175711,138.8
20200115,137.85,138.6,136.15,136.72,106867,136.72
20200116,137.45,137.9,136.84,137.25,75284,137.25
20200117,137.54,138.29,137.32,138.2,84214,138.2
20200121,137.19,138.07,136.69,136.84,53079,136.84
20200122,137.24,137.4,136.38,136.68,49192,136.68
20200123,135.75,136.75,134.72,136.54,60746,136.54
20200124,136.37,136.43,132.32,133.15,104393,133.15
20200127,130.27,132.94,129.72,132.03,97459,132.03
20200128,132.84,134.97,132.47,134.43,85235,134.43
20200129,134.81,135.54,133.69,134.23,66424,134.23
20200130,132.69,136.13,132.69,135.89,55212,135.89
20200131,134.49,134.83,131.47,132.36,79187,132.36
20200203,132.66,134.24,132.66,133.37,69112,133.37
20200204,135.55,136.6,135.08,135.29,61599,135.29
20200205,136.57,137.73,136.01,137.59,73196,137.59
20200206,138.24,138.29,137.11,137.61,58751,137.61
20200207,136.73,137.67,136.3,137.17,41318,137.17
20200210,136.95,137.86,136.75,137.74,34631,137.74
20200211,138.26,138.82,137.78,138.0,43520,138.0
20200212,138.6,139.29,137.8,138.0,51674,138.0
20200213,137.75,138.34,136.4,137.88,50395,137.88
20200214,137.84,138.19,136.94,137.46,40049,137.46
20200218,137.34,137.71,135.05,135.64,65449,135.64
20200219,136.91,138.39,136.34,137.49,47778,137.49
20200220,137.17,138.36,136.53,137.49,53121,137.49
20200221,136.55,136.92,134.92,135.81,66024,135.81
20200224,131.44,133.2,130.79,132.16,96122,132.16
20200225,131.0,132.23,125.59,126.26,152156,126.26
20200226,126.93,128.95,126.34,126.64,143170,126.64
20200227,123.14,125.62,121.3,121.37,168908,121.37
20200228,118.0,118.49,112.66,116.11,317916,116.11
20200302,116.61,121.58,114.46,121.52,188777,121.52
20200303,121.1,122.95,116.24,116.96,237631,116.96
20200304,118.33,120.19,114.69,119.85,175013,119.85
20200305,116.17,116.43,112.58,113.97,171396,113.97
20200306,106.26,110.33,105.02,108.08,277468,108.08
20200309,96.57,99.24,93.0,93.44,293273,93.44
20200310,99.0,101.28,94.58,100.7,232074,100.7
20200311,97.7,100.05,94.55,95.96,274047,95.96
20200312,89.59,96.96,86.32,88.05,395171,88.05
20200313,95.99,103.99,92.0,103.91,264760,103.91
20200316,85.2,93.99,84.55,88.36,285115,88.36
20200317,90.89,97.44,87.5,93.76,265340,93.76
20200318,87.86,90.79,80.36,83.89,322054,83.89
20200319,81.56,88.11,76.91,85.3,250996,85.3
20200320,86.3,89.46,82.48,83.5,212263,83.5
20200323,82.59,83.75,78.09,79.03,247378,79.03
20200324,84.84,90.1,82.9,88.43,240216,88.43
20200325,89.24,95.15,84.54,91.73,271390,91.73
20200326,94.08,98.57,93.53,98.12,206127,98.12
20200327,93.19,94.84,90.55,91.13,220984,91.13
20200330,90.65,94.09,89.3,93.5,161790,93.5
20200331,92.05,94.17,89.34,90.03,170952,90.03
20200401,85.1,86.56,83.25,84.36,205506,84.36
20200402,83.51,87.91,82.96,87.51,173388,87.51
20200403,86.0,87.48,82.77,84.05,149658,84.05
20200406,88.87,90.99,87.7,89.46,181062,89.46
20200407,94.45,94.5,90.38,90.64,167671,90.64
20200408,92.16,94.86,90.55,94.3,148022,94.3
20200409,96.92,104.39,96.89,102.76,280951,102.76
20200413,103.11,103.11,97.3,98.19,198474,98.19
20200414,101.02,102.0,93.64,95.5,359778,95.5
20200415,91.15,92.03,90.13,90.79,226880,90.79
20200416,90.23,90.57,87.05,87.33,252234,87.33
20200417,92.0,95.68,90.96,95.18,230304,95.18
20200420,92.47,94.71,90.46,91.71,184176,91.71
20200421,88.62,91.39,88.33,89.05,163461,89.05
20200422,90.69,91.87,89.18,89.34,121875,89.34
20200423,89.74,91.28,89.26,89.39,120333,89.39
