Date,Open,High,Low,Close,Volume,Adj Close
20191122,165.5,167.75,165.0,167.6,15650,167.6
20191125,168.47,170.36,167.87,170.24,18107,170.24
20191126,169.8,170.25,168.71,169.23,12800,169.23
20191127,170.0,171.37,169.51,170.61,8212,170.61
20191129,170.43,170.58,169.26,169.77,4943,169.77
20191202,170.18,171.7,168.24,168.27,13390,168.27
20191203,166.5,166.6,164.4,165.17,13920,165.17
20191204,166.42,168.87,166.0,167.14,12139,167.14
20191205,167.22,167.87,162.72,164.37,21632,164.37
20191206,167.25,171.99,167.25,171.47,26254,171.47
20191209,169.4,171.26,168.79,169.83,12557,169.83
20191210,169.52,169.52,166.97,167.66,16838,167.66
20191211,168.38,168.84,167.33,168.74,11902,168.74
20191212,166.73,170.85,166.32,168.56,18312,168.56
20191213,169.62,171.13,168.08,168.79,12068,168.79
20191216,168.94,170.83,168.19,170.75,12868,170.75
20191217,170.35,171.79,169.21,169.93,13813,169.93
20191218,169.78,170.0,168.19,169.03,11168,169.03
20191219,169.62,172.58,169.15,172.15,14661,172.15
20191220,174.64,175.47,172.2,175.37,36258,175.37
20191223,176.71,179.18,176.56,178.47,30279,178.47
20191224,178.27,178.67,176.04,176.68,8628,176.68
20191226,176.45,176.66,175.5,176.59,7174,176.59
20191227,176.65,177.54,175.62,177.26,8545,177.26
20191230,177.26,178.97,175.59,175.83,9234,175.83
20191231,175.23,176.59,175.07,176.42,8335,176.42
20200102,177.68,180.01,177.13,180.0,21248,180.0
20200103,177.02,178.66,175.63,178.45,14233,178.45
20200106,177.15,178.71,176.35,178.62,11558,178.62
20200107,178.28,178.51,176.82,177.9,10942,177.9
20200108,178.0,181.5,177.65,180.63,19117,180.63
20200109,181.51,181.59,179.76,181.2,15226,181.2
20200110,181.61,182.18,180.14,180.47,13967,180.47
20200113,180.94,182.23,180.36,180.92,13288,180.92
20200114,181.19,182.55,180.21,181.37,15237,181.37
20200115,181.42,181.86,179.18,179.78,15809,179.78
20200116,180.68,181.2,179.69,181.01,12849,181.01
20200117,181.0,182.16,180.7,181.35,17146,181.35
20200121,181.85,181.91,178.63,179.39,20093,179.39
20200122,179.51,180.57,177.88,178.03,14491,178.03
20200123,177.07,178.44,176.39,177.74,14562,177.74
20200124,178.49,179.81,177.53,178.15,17627,178.15
