Date,Open,High,Low,Close,Volume,Adj Close
20200401,74.6,75.47,72.99,73.8,76778,73.8
20200402,75.98,77.12,74.03,76.87,87017,76.87
20200403,76.28,77.44,75.32,76.25,58832,76.25
20200406,78.33,80.85,77.9,80.31,88603,80.31
20200407,81.68,81.94,78.4,78.56,67412,78.56
20200408,79.18,83.0,78.34,81.62,70849,81.62
20200409,81.17,83.29,80.18,82.49,99532,82.49
20200413,81.82,82.47,79.83,80.54,46841,80.54
20200414,82.33,83.2,80.73,82.84,84951,82.84
20200415,81.23,82.96,80.56,82.07,60898,82.07
20200416,82.65,83.33,82.26,83.0,58771,83.0
20200417,83.95,84.16,82.44,83.46,92059,83.46
20200420,82.82,84.13,80.76,83.1,76973,83.1
20200421,81.62,82.3,78.21,78.56,126420,78.56
20200422,79.2,80.65,78.83,79.98,78448,79.98
20200423,80.22,81.88,80.17,80.88,58590,80.88
20200424,81.6,82.1,81.02,81.43,50693,81.43
20200427,81.23,84.67,80.83,83.98,83750,83.98
20200428,81.25,82.23,80.17,81.18,145557,81.18
20200429,82.19,82.19,79.03,80.77,98370,80.77
20200430,79.82,80.4,79.14,79.34,70323,79.34
20200501,78.73,78.86,76.93,77.67,66304,77.67
20200504,78.02,78.03,76.21,76.86,58752,76.86
20200505,77.25,78.81,76.77,78.01,52888,78.01
20200506,78.35,78.64,77.08,77.12,49948,77.12
20200507,77.03,77.12,75.43,75.6,84936,75.6
20200508,76.5,76.96,75.97,76.4,61904,76.4
20200511,76.03,78.08,75.92,77.91,60191,77.91
20200512,78.15,78.7,77.12,77.19,66962,77.19
20200513,76.66,78.8,76.58,77.89,73159,77.89
20200514,77.28,80.13,77.26,80.05,80689,80.05
20200515,80.11,80.55,78.83,79.78,60734,79.78
20200518,81.0,81.0,79.23,79.72,60210,79.72
20200519,79.47,79.73,77.35,77.55,77560,77.55
20200520,78.03,78.24,76.68,76.89,70543,76.89
20200521,76.76,77.03,76.27,76.55,59022,76.55
20200522,76.17,76.66,76.07,76.37,42456,76.37
20200526,78.4,78.6,76.91,77.26,112720,77.26
20200527,77.0,77.64,76.0,77.55,88514,77.55
20200528,78.6,80.29,78.51,79.04,81237,79.04
20200529,79.46,80.94,78.33,80.72,65930,80.72
20200601,80.18,80.46,79.13,79.56,44321,79.56
20200602,79.54,80.87,78.82,80.84,72056,80.84
20200603,81.0,82.35,80.86,82.06,105504,82.06
20200604,81.27,82.16,80.84,81.55,59668,81.55
20200605,82.11,83.13,81.49,82.26,65576,82.26
20200608,81.16,83.2,81.15,82.9,57606,82.9
20200609,83.19,83.51,82.12,82.26,44093,82.26
20200610,82.44,82.78,80.99,81.77,56191,81.77
20200611,80.81,81.66,77.35,77.35,96195,77.35
20200612,77.89,77.93,75.47,76.3,113459,76.3
20200615,74.95,75.37,73.57,74.02,128204,74.02
20200616,75.38,77.41,74.83,76.97,138296,76.97
20200617,77.36,77.45,75.62,76.29,81901,76.29
20200618,75.63,76.28,75.36,76.22,54100,76.22
20200619,77.13,77.98,75.8,77.9,94690,77.9
20200622,77.41,77.63,76.43,76.75,51112,76.75
20200623,77.5,78.62,76.89,77.12,81211,77.12
20200624,76.73,76.89,75.45,75.87,53036,75.87
20200625,75.65,76.96,75.31,76.57,48749,76.57
20200626,76.35,76.73,75.0,75.19,57553,75.19
20200629,75.9,76.51,75.52,76.12,45398,76.12
