Date,Open,High,Low,Close,Volume,Adj Close
20191122,150.07,150.3,148.82,149.59,104449,149.59
20191125,150.02,151.35,149.92,151.23,122038,151.23
20191126,151.37,152.42,151.32,152.03,113697,152.03
20191127,152.35,152.5,151.52,152.32,103140,152.32
20191129,152.1,152.3,151.28,151.38,70903,151.38
20191202,151.8,151.87,148.32,149.55,180120,149.55
20191203,147.48,149.43,146.65,149.31,163513,149.31
20191204,150.06,150.18,149.2,149.85,126572,149.85
20191205,150.05,150.32,149.5,149.93,103540,149.93
20191206,151.01,151.87,150.27,151.75,109886,151.75
20191209,151.13,152.21,150.91,151.36,96893,151.36
20191210,151.15,151.89,150.76,151.13,115180,151.13
20191211,151.61,151.87,150.33,151.7,125985,151.7
20191212,151.75,153.44,151.02,153.24,175230,153.24
20191213,153.12,154.89,152.83,154.53,170138,154.53
20191216,155.13,155.9,154.82,155.53,129711,155.53
20191217,155.45,155.72,154.45,154.69,140321,154.69
20191218,154.42,155.48,154.18,154.37,118617,154.37
20191219,154.22,155.77,153.75,155.71,146727,155.71
20191220,157.33,158.49,156.29,157.41,256148,157.41
20191223,158.0,158.12,157.27,157.41,104732,157.41
20191224,157.48,157.71,157.11,157.38,42297,157.38
20191226,157.55,158.73,157.4,158.67,72619,158.67
20191227,159.38,159.55,158.22,158.96,103204,158.96
20191230,158.83,159.02,156.73,157.59,112156,157.59
20191231,156.85,157.77,156.45,157.7,102478,157.7
20200102,158.65,160.73,158.33,160.62,152001,160.62
20200103,158.32,159.95,158.06,158.62,143052,158.62
20200106,157.08,159.1,156.51,159.03,125507,159.03
20200107,159.32,159.67,157.32,157.58,147730,157.58
20200108,158.93,160.8,157.94,160.09,186743,160.09
20200109,161.81,162.22,161.03,162.09,140619,162.09
20200110,162.74,163.22,161.18,161.34,142134,161.34
20200113,161.89,163.31,161.26,163.28,128235,163.28
20200114,163.22,163.6,161.72,162.13,150301,162.13
20200115,162.6,163.94,162.57,163.18,133263,163.18
20200116,164.35,166.24,164.03,166.17,145256,166.17
20200117,167.42,167.47,165.43,167.1,198528,167.1
20200121,166.74,168.19,166.43,166.5,155838,166.5
20200122,167.27,167.49,165.68,165.7,154270,165.7
20200123,166.19,166.8,165.27,166.72,108483,166.72
20200124,167.46,167.53,164.45,165.04,180764,165.04
20200127,161.17,163.38,160.2,162.28,186137,162.28
20200128,163.78,165.76,163.07,165.46,150416,165.46
20200129,167.84,168.75,165.69,168.04,220293,168.04
20200130,174.02,174.05,170.79,172.78,406799,172.78
20200131,172.19,172.4,169.58,170.23,264854,170.23
20200203,170.43,174.5,170.4,174.38,206443,174.38
20200204,177.13,180.64,176.31,180.12,251187,180.12
20200205,184.03,184.2,178.41,179.9,290960,179.9
20200206,180.97,183.82,180.05,183.63,201032,183.63
20200207,182.87,185.63,182.48,183.89,227090,183.89
20200210,183.51,188.84,183.25,188.7,244294,188.7
20200211,190.53,190.7,183.5,184.44,432725,184.44
20200212,185.6,185.84,181.85,184.71,355883,184.71
20200213,183.1,186.23,182.87,183.71,279991,183.71
20200214,183.21,185.41,182.65,185.35,169623,185.35
20200218,185.74,187.7,185.5,187.23,200812,187.23
20200219,188.06,188.18,186.47,187.28,159684,187.28
20200220,186.98,187.25,181.1,184.42,268963,184.42
20200221,183.17,183.5,177.25,178.59,366344,178.59
20200224,167.93,174.55,164.0,170.89,501803,170.89
20200225,174.19,174.84,167.64,168.07,494832,168.07
20200226,169.71,173.26,168.21,170.17,395444,170.17
20200227,163.37,167.03,157.98,158.18,684025,158.18
20200228,152.42,163.71,152.0,162.01,707479,162.01
20200302,164.85,172.92,162.31,172.79,492987,172.79
20200303,173.71,175.0,162.26,164.51,519978,164.51
20200304,168.48,170.7,165.62,170.55,346017,170.55
20200305,166.02,170.87,165.69,166.27,338636,166.27
20200306,162.61,163.11,156.0,161.57,529566,161.57
20200309,150.77,157.75,150.0,150.62,526275,150.62
20200310,158.12,161.03,152.58,160.92,473258,160.92
20200311,157.22,157.7,151.15,153.63,415466,153.63
20200312,145.85,153.47,138.58,139.06,676536,139.06
20200313,147.54,161.91,140.73,158.83,640613,158.83
20200316,140.07,149.35,135.0,135.42,637856,135.42
20200317,140.0,147.5,135.0,146.57,596728,146.57
20200318,137.32,146.0,135.02,140.4,609014,140.4
20200319,142.68,150.15,139.0,142.71,596680,142.71
20200320,146.0,147.1,135.94,137.35,617542,137.35
20200323,137.04,140.57,132.52,135.98,583412,135.98
20200324,143.9,149.6,141.27,148.34,595072,148.34
20200325,148.91,154.33,144.44,146.92,537121,146.92
20200326,148.42,156.66,148.1,156.11,447530,156.11
20200327,151.75,154.89,149.2,149.7,397644,149.7
20200330,152.42,160.6,150.01,160.23,470598,160.23
20200331,159.53,164.78,156.56,157.71,557198,157.71
20200401,152.99,157.75,150.82,152.11,422922,152.11
20200402,151.86,155.48,150.36,155.26,369318,155.26
20200403,155.2,157.38,152.19,153.83,295968,153.83
20200406,160.28,166.5,157.58,165.27,468190,165.27
20200407,169.59,170.0,163.26,163.49,466975,163.49
20200408,165.67,166.67,163.5,165.13,368263,165.13
20200409,166.36,167.37,163.33,165.14,388028,165.14
20200413,164.35,165.57,162.3,165.51,318944,165.51
20200414,169.0,173.75,168.0,173.7,385579,173.7
20200415,170.89,173.57,169.24,171.88,301181,171.88
20200416,174.3,177.28,172.9,177.04,364711,177.04
20200417,179.39,180.0,175.87,178.6,386856,178.6
20200420,176.63,178.75,174.99,175.06,275133,175.06
20200421,173.41,173.67,166.11,167.82,418379,167.82
20200422,171.4,174.0,170.82,173.52,247574,173.52
20200423,174.26,175.06,170.91,171.42,243753,171.42
20200424,172.06,174.56,170.71,174.55,252486,174.55
20200427,176.66,176.9,173.3,174.05,250718,174.05
20200428,175.5,175.67,169.39,169.81,247795,169.81
20200429,173.22,177.68,171.88,177.43,328169,177.43
20200430,180.0,180.4,176.23,179.21,393452,179.21
20200501,175.79,178.64,174.01,174.57,291358,174.57
20200504,174.49,179.0,173.8,178.84,232988,178.84
20200505,180.62,183.65,179.9,180.76,287995,180.76
20200506,182.19,184.2,181.63,182.54,258327,182.54
20200507,184.15,184.55,182.58,183.6,208625,183.6
20200508,184.86,185.0,183.36,184.68,217015,184.68
20200511,183.11,187.51,182.85,186.74,203542,186.74
20200512,186.89,187.04,182.3,182.51,225340,182.51
20200513,182.42,184.05,176.54,179.75,331361,179.75
20200514,177.56,180.69,175.68,180.53,296129,180.53
20200515,179.11,187.06,177.0,183.16,324117,183.16
20200518,185.8,186.2,183.96,184.91,263740,184.91
20200519,185.0,186.6,183.49,183.63,201524,183.63
20200520,184.81,185.85,183.94,185.66,222922,185.66
20200521,185.39,186.67,183.29,183.43,222985,183.43
20200522,183.24,184.46,182.54,183.51,158609,183.51
20200526,186.34,186.5,181.1,181.57,244861,181.57
20200527,180.04,181.99,176.6,181.81,270949,181.81
20200528,180.8,184.15,180.38,181.4,233366,181.4
20200529,182.74,184.27,180.41,183.25,258263,183.25
20200601,182.48,183.0,181.46,182.83,171080,182.83
20200602,184.21,185.0,181.35,184.91,209689,184.91
20200603,184.83,185.94,183.58,185.36,194458,185.36
20200604,184.38,185.84,182.3,182.92,206597,182.92
20200605,182.57,187.73,182.01,187.2,291518,187.2
20200608,185.79,188.55,184.44,188.36,231327,188.36
20200609,188.02,190.7,187.26,189.8,221727,189.8
20200610,191.1,198.52,191.01,196.84,339406,196.84
20200611,193.26,195.76,186.07,186.27,382898,186.27
20200612,190.5,191.72,185.18,187.74,304430,187.74
20200615,184.65,190.82,184.01,188.94,236975,188.94
20200616,192.9,195.58,191.46,193.57,311690,193.57
20200617,195.09,196.32,193.69,194.24,189169,194.24
20200618,194.18,196.49,194.0,196.32,165465,196.32
20200619,198.29,199.29,194.37,195.15,308615,195.15
20200622,195.6,200.76,195.23,200.57,226918,200.57
20200623,202.06,203.95,201.42,201.91,233884,201.91
20200624,201.79,203.25,196.56,197.84,251692,197.84
20200625,197.79,200.61,195.46,200.34,199714,200.34
20200626,199.76,199.89,194.88,196.33,305811,196.33
20200629,195.77,198.53,193.55,198.44,184209,198.44
20200630,197.88,204.4,197.74,203.51,221621,203.51
20200701,203.0,206.35,201.77,204.7,222004,204.7
20200702,205.69,208.02,205.0,206.26,211621,206.26
20200706,208.71,211.13,208.09,210.7,220735,210.7
20200707,210.45,214.67,208.0,208.25,238098,208.25
20200708,210.07,213.26,208.69,212.83,235661,212.83
20200709,216.33,216.39,211.47,214.32,239127,214.32
20200710,213.5,214.08,211.08,213.67,194751,213.67
20200713,214.47,215.8,206.5,207.07,265754,207.07
20200714,206.61,208.85,202.03,208.35,258932,208.35
20200715,209.77,211.33,205.03,208.04,224004,208.04
20200716,205.32,205.7,202.31,203.92,214417,203.92
20200717,204.46,205.04,201.39,202.88,224995,202.88
20200720,205.0,212.3,203.01,211.6,253746,211.6
20200721,213.85,213.94,208.03,208.75,268503,208.75
20200722,209.13,212.3,208.39,211.75,324217,211.75
20200723,207.11,210.92,202.19,202.54,489403,202.54
20200724,200.42,202.86,197.51,201.3,292118,201.3
20200727,201.47,203.97,200.86,203.85,202413,203.85
20200728,203.47,204.7,201.74,202.02,166987,202.02
20200729,202.49,204.65,202.01,204.06,144625,204.06
20200730,200.97,204.46,199.57,203.9,179935,203.9
20200731,204.4,205.1,199.01,205.01,345107,205.01
20200803,211.55,217.64,210.44,216.54,582180,216.54
20200804,214.24,214.77,210.31,213.29,331954,213.29
20200805,214.89,215.0,211.57,212.94,190834,212.94
20200806,212.39,216.38,211.55,216.35,234248,216.35
20200807,214.82,215.7,210.93,212.48,183450,212.48
20200810,211.67,211.88,206.35,208.25,237062,208.25
20200811,207.16,207.65,203.14,203.38,226302,203.38
20200812,205.28,210.28,204.75,209.19,195553,209.19
20200813,209.41,211.35,208.15,208.7,161814,208.7
20200814,208.71,209.59,207.51,208.9,115472,208.9
20200817,209.59,211.19,208.91,210.28,113532,210.28
20200818,210.49,212.36,209.21,211.49,129093,211.49
20200819,211.64,212.1,209.25,209.7,154290,209.7
20200820,209.55,215.0,208.91,214.58,177557,214.58
20200821,213.5,216.25,212.85,213.02,208040,213.02
20200824,214.81,215.52,212.43,213.69,172036,213.69
20200825,213.3,216.61,213.1,216.47,141913,216.47
20200826,217.91,222.09,217.36,221.15,251690,221.15
20200827,223.05,231.15,219.4,226.58,441404,226.58
20200828,228.07,230.65,226.58,228.91,182106,228.91
20200831,227.1,228.7,224.31,225.53,177694,225.53
20200901,225.51,227.45,224.43,227.27,165362,227.27
20200902,227.91,232.86,227.35,231.65,230761,231.65
20200903,229.27,229.31,214.98,217.3,369343,217.3
20200904,215.55,218.36,205.19,214.25,389719,214.25
20200908,206.5,210.03,202.2,202.66,341544,202.66
20200909,207.6,214.84,206.7,211.29,306289,211.29
20200910,213.4,214.74,204.11,205.37,237389,205.37
20200911,207.4,208.63,201.24,204.03,216384,204.03
20200914,204.27,209.2,204.03,205.41,195726,205.41
20200915,208.42,209.78,206.93,208.78,131119,208.78
20200916,210.61,210.65,204.64,205.05,175055,205.05
20200917,200.05,204.33,199.96,202.91,222111,202.91
20200918,202.8,203.65,196.25,200.39,346518,200.39
20200921,196.81,202.71,196.38,202.54,272806,202.54
20200922,205.06,208.1,202.07,207.42,228462,207.42
20200923,207.9,208.1,200.03,200.59,206345,200.59
