Date,Open,High,Low,Close,Volume,Adj Close
20200401,31.68,32.41,31.16,31.62,185065,31.62
20200402,31.34,34.0,31.25,33.9,174986,33.9
20200403,33.72,34.3,32.86,33.85,126741,33.85
20200406,35.9,37.5,35.75,37.01,152371,37.01
20200407,39.54,39.66,36.86,36.94,155043,36.94
20200408,37.71,39.79,37.45,39.37,122637,39.37
20200409,40.26,41.85,40.18,41.08,170323,41.08
20200413,40.88,41.0,39.25,39.58,86851,39.58
20200414,40.51,40.77,38.37,39.86,123821,39.86
20200415,38.21,39.41,37.59,38.4,126680,38.4
20200416,37.86,38.82,37.07,38.36,220439,38.36
20200417,39.55,40.1,38.19,39.09,192506,39.09
20200420,38.19,39.54,37.82,38.36,123134,38.36
20200421,37.32,38.14,36.56,36.95,116117,36.95
20200422,37.87,38.18,37.44,37.81,80347,37.81
20200423,38.1,38.39,37.28,37.47,67880,37.47
20200424,37.97,38.19,37.26,37.97,62921,37.97
20200427,38.64,39.55,38.33,39.31,95837,39.31
20200428,40.57,41.38,39.84,40.13,97478,40.13
20200429,41.1,41.36,40.55,40.79,111623,40.79
20200430,39.9,40.11,39.0,39.43,100856,39.43
20200501,38.35,38.72,37.91,38.4,106063,38.4
20200504,38.0,38.22,37.17,38.09,80749,38.09
20200505,38.95,39.31,37.9,37.98,72413,37.98
20200506,38.47,38.63,37.05,37.3,62177,37.3
20200507,37.76,39.14,37.76,38.81,73363,38.81
20200508,39.51,40.17,39.2,40.08,99865,40.08
20200511,39.38,40.06,39.3,39.83,83872,39.83
20200512,39.97,40.07,38.34,38.42,112182,38.42
20200513,38.15,38.28,36.6,36.99,90701,36.99
20200514,36.26,37.97,35.53,37.81,123163,37.81
20200515,37.26,37.81,37.02,37.29,73333,37.29
20200518,38.92,40.65,38.68,40.28,108908,40.28
20200519,40.1,40.55,39.29,39.33,71116,39.33
20200520,40.07,41.25,40.03,41.06,91105,41.06
20200521,40.77,40.93,39.84,40.3,74590,40.3
20200522,40.23,40.54,39.8,40.13,50184,40.13
20200526,41.87,43.79,41.55,43.69,157447,43.69
20200527,45.78,46.92,45.31,46.86,208915,46.86
20200528,47.25,47.32,44.27,44.4,140019,44.4
20200529,44.01,44.79,43.52,44.2,93085,44.2
20200601,44.52,45.07,43.95,44.7,62072,44.7
20200602,45.18,46.26,44.88,45.58,86919,45.58
20200603,46.98,47.49,46.44,46.91,88324,46.91
20200604,46.71,48.75,46.69,48.69,106538,48.69
20200605,51.3,51.85,49.23,49.53,145030,49.53
20200608,50.52,50.68,49.38,50.15,94166,50.15
20200609,48.72,50.69,48.57,50.4,110501,50.4
20200610,50.03,50.5,48.6,48.69,119662,48.69
20200611,46.13,47.2,44.44,44.57,138849,44.57
20200612,46.77,46.95,45.12,46.28,111304,46.28
20200615,44.66,47.85,44.6,47.4,123165,47.4
20200616,49.44,49.6,46.91,48.56,104875,48.56
20200617,48.7,48.78,47.65,47.76,64791,47.76
20200618,47.12,48.38,46.97,47.58,75241,47.58
20200619,48.46,48.68,46.71,46.93,107216,46.93
20200622,46.8,47.61,46.55,47.38,92587,47.38
20200623,48.27,48.48,47.61,47.89,76139,47.89
20200624,47.59,47.65,46.41,46.95,102394,46.95
