Date,Open,High,Low,Close,Volume,Adj Close
20200401,376.05,380.24,361.02,364.08,45003,364.08
20200402,364.13,370.99,360.06,370.08,30367,370.08
20200403,367.91,370.9,357.51,361.76,30681,361.76
20200406,364.0,380.29,361.71,379.96,47101,379.96
20200407,379.77,381.33,369.34,372.28,48112,372.28
20200408,374.01,378.39,368.31,371.12,45095,371.12
20200409,370.98,372.1,363.03,370.72,49411,370.72
20200413,371.5,400.51,367.72,396.72,78935,396.72
20200414,397.5,417.82,394.84,413.55,81404,413.55
20200415,413.0,434.98,412.25,426.75,96118,426.75
20200416,436.99,449.52,431.61,439.17,102888,439.17
20200417,430.86,432.0,414.69,422.96,81454,422.96
20200420,435.1,444.49,430.56,437.49,85110,437.49
20200421,444.77,447.0,425.6,433.83,125427,433.83
20200422,429.73,433.0,413.0,421.42,152564,421.42
20200423,419.48,438.42,419.26,426.7,99907,426.7
20200424,425.0,427.17,415.88,424.99,57637,424.99
20200427,425.0,429.0,420.84,421.38,42336,421.38
20200428,419.99,421.0,402.91,403.83,67618,403.83
20200429,399.25,415.86,393.6,411.89,64933,411.89
20200430,410.46,424.44,408.0,419.85,49505,419.85
20200501,415.51,427.97,411.73,415.27,55401,415.27
20200504,417.78,428.54,414.87,428.15,51019,428.15
20200505,427.56,431.0,421.56,424.68,41942,424.68
20200506,429.13,439.77,426.38,434.26,45240,434.26
20200507,436.83,438.88,430.66,436.53,36206,436.53
20200508,434.6,442.0,433.63,435.55,31061,435.55
20200511,436.33,444.89,435.56,440.52,37124,440.52
20200512,442.02,444.17,431.36,431.82,31173,431.82
20200513,435.69,447.0,427.27,438.27,50490,438.27
20200514,444.9,452.38,432.82,441.95,64742,441.95
20200515,440.76,455.0,437.51,454.19,50708,454.19
20200518,451.88,456.36,443.35,452.58,50990,452.58
20200519,450.6,458.97,450.46,451.04,33349,451.04
20200520,454.25,455.81,444.0,447.67,38873,447.67
20200521,448.56,448.96,430.25,436.25,61741,436.25
20200522,437.04,439.09,427.18,429.32,36855,429.32
20200526,428.72,428.72,413.14,414.77,49150,414.77
20200527,410.38,420.02,397.86,419.89,73932,419.89
20200528,417.37,422.38,411.5,413.44,37210,413.44
20200529,417.46,420.3,411.85,419.73,30054,419.73
20200601,418.83,426.72,415.98,425.92,24265,425.92
20200602,425.87,427.59,419.46,427.31,20735,427.31
20200603,426.94,427.1,418.05,421.97,29052,421.97
20200604,421.84,428.71,410.03,414.33,32518,414.33
20200605,407.56,420.24,404.25,419.6,31763,419.6
20200608,416.0,420.8,406.5,419.49,39055,419.49
20200609,421.65,434.73,420.31,434.05,41672,434.05
20200610,435.84,439.69,430.55,434.48,29498,434.48
20200611,428.2,445.57,424.16,425.56,47425,425.56
20200612,428.59,434.06,412.45,418.07,40164,418.07
20200615,421.51,426.49,415.42,425.5,25020,425.5
20200616,425.76,437.96,425.18,436.13,34044,436.13
20200617,441.82,450.46,439.22,447.77,40452,447.77
20200618,448.73,452.76,442.8,449.87,28006,449.87
20200619,449.63,453.97,445.6,453.72,31349,453.72
20200622,455.0,468.59,454.21,468.04,38802,468.04
20200623,466.6,474.01,464.5,466.26,37380,466.26
20200624,468.73,472.36,454.0,457.85,28893,457.85
20200625,458.86,467.01,454.0,465.91,24734,465.91
20200626,466.39,468.03,442.24,443.4,38574,443.4
20200629,445.22,447.67,432.14,447.24,27986,447.24
20200630,450.02,457.59,447.0,455.04,23555,455.04
20200701,453.63,488.23,453.63,485.64,65588,485.64
20200702,486.88,492.28,475.52,476.89,42620,476.89
20200706,481.22,499.5,479.8,493.81,55561,493.81
20200707,497.02,504.82,490.83,493.16,37865,493.16
20200708,498.58,505.1,493.81,502.78,38455,502.78
