Date,Open,High,Low,Close,Volume,Adj Close
20191122,59.675,62.355,59.675,62.08,41798,62.08
20191125,61.0,61.0,59.795,60.92,41822,60.92
20191126,60.72,63.195,60.39,62.9,32955,62.9
20191127,62.43,64.0,61.1,63.85,36797,63.85
20191129,62.61,63.815,62.36,63.065,27350,63.065
20191202,63.19,63.4,62.49,62.755,18655,62.755
20191203,61.68,63.58,61.15,63.465,14921,63.465
20191204,64.67,65.0,63.33,63.66,19155,63.66
20191205,63.04,64.185,62.585,62.84,17187,62.84
20191206,63.3,63.3,61.74,61.935,12197,61.935
20191209,61.8,62.25,61.455,61.61,15507,61.61
20191210,61.87,62.185,61.5,61.85,21919,61.85
20191211,62.58,63.105,62.04,62.1,17716,62.1
20191212,61.635,62.29,60.3,60.85,24787,60.85
20191213,61.2,61.27,60.42,60.8,29212,60.8
20191216,61.3,61.805,60.415,60.93,21752,60.93
20191217,60.95,61.15,59.69,60.915,23554,60.915
20191218,61.09,61.14,60.13,60.325,23177,60.325
20191219,60.62,62.12,60.39,61.44,28837,61.44
20191220,61.77,61.77,60.795,61.035,15967,61.035
20191223,60.955,61.2,60.47,60.675,12993,60.675
20191224,60.865,60.865,60.14,60.175,8576,60.175
20191226,60.495,61.68,60.41,61.255,32913,61.255
20191227,61.625,61.625,60.66,61.22,12114,61.22
20191230,61.45,61.465,60.59,60.72,10282,60.72
20191231,61.125,61.43,60.515,61.33,9318,61.33
20200102,62.755,67.575,62.72,65.74,45740,65.74
20200103,64.66,66.37,64.435,64.93,18599,64.93
20200106,64.735,64.91,63.865,64.81,17293,64.81
20200107,64.91,66.15,64.58,65.605,15308,65.605
20200108,65.36,66.81,65.36,66.2,11857,66.2
20200109,66.8,67.83,66.515,67.675,20290,67.675
20200110,67.87,68.46,67.645,67.78,16230,67.78
20200113,68.35,70.195,68.35,69.905,27681,69.905
20200114,69.905,70.265,69.21,69.78,21335,69.78
20200115,70.0,70.285,69.095,69.135,18752,69.135
20200116,69.06,70.1,68.29,70.025,21581,70.025
20200117,70.39,70.4,69.085,69.965,24708,69.965
20200121,69.68,69.68,67.835,68.16,32214,68.16
20200122,68.5,68.92,67.97,68.03,16964,68.03
20200123,67.085,67.8,66.43,66.99,26080,66.99
20200124,67.25,67.835,65.41,65.63,35994,65.63
20200127,63.57,64.9,63.495,64.42,39870,64.42
20200128,64.915,65.735,64.535,65.58,23501,65.58
20200129,66.29,66.72,65.815,66.67,13819,66.67
20200130,65.78,66.495,65.43,65.6,16251,65.6
20200131,65.345,65.345,63.945,64.15,16672,64.15
20200203,64.795,66.475,64.655,65.9,26550,65.9
20200204,67.775,69.245,67.205,68.545,34916,68.545
20200205,69.435,69.59,67.02,67.57,19282,67.57
20200206,68.02,69.535,67.22,69.375,19665,69.375
20200207,69.35,69.46,67.455,67.95,33102,67.95
20200210,68.215,71.095,68.065,70.5,30014,70.5
20200211,71.295,71.65,70.01,70.195,14788,70.195
20200212,70.545,70.705,69.43,69.66,19950,69.66
20200213,69.535,70.97,69.09,70.865,20531,70.865
20200214,71.74,71.74,70.31,70.93,14155,70.93
20200218,70.6,71.23,70.25,70.55,15424,70.55
20200219,70.96,72.2,70.835,71.355,18371,71.355
20200220,70.715,71.35,68.63,69.965,23909,69.965
20200221,70.0,70.09,68.76,69.0,10253,69.0
20200224,66.565,67.905,65.65,66.995,17463,66.995
20200225,68.21,69.78,67.005,67.58,22557,67.58
20200226,69.58,70.34,68.0,69.17,27205,69.17
20200227,66.44,67.25,63.08,64.385,39938,64.385
20200228,62.7,64.92,62.235,63.74,36360,63.74
20200302,63.865,64.285,61.35,62.01,41598,62.01
20200303,62.615,64.595,62.015,63.895,49591,63.895
20200304,64.4,67.78,64.4,67.34,23156,67.34
20200305,66.6,69.69,66.5,68.19,35977,68.19
20200306,65.855,67.595,65.58,67.24,25590,67.24
20200309,63.68,65.48,63.0,64.25,29402,64.25
20200310,65.7,65.92,63.825,64.94,24094,64.94
20200311,63.76,67.17,63.61,64.82,27261,64.82
20200312,61.205,62.725,58.11,59.525,45757,59.525
20200313,62.895,64.0,60.43,63.98,35530,63.98
20200316,59.635,61.33,56.61,56.67,54377,56.67
20200317,57.805,60.4,56.3,59.155,34382,59.155
20200318,56.425,57.835,53.17,54.085,44315,54.085
20200319,54.14,60.01,54.14,58.235,41280,58.235
20200320,60.2,62.685,56.59,57.01,37519,57.01
20200323,58.345,61.37,57.05,59.76,30138,59.76
20200324,61.86,65.6,60.605,64.765,31790,64.765
20200325,64.675,65.34,61.4,61.58,30102,61.58
20200326,62.75,64.73,62.41,63.59,23419,63.59
20200327,61.02,61.6,60.0,60.27,20078,60.27
20200330,60.27,62.2,60.185,61.38,25046,61.38
20200331,62.36,64.3,61.435,64.19,28548,64.19
20200401,62.355,66.63,62.0,64.675,27483,64.675
20200402,64.0,66.32,64.0,66.225,15641,66.225
20200403,65.24,67.535,64.81,65.0,19055,65.0
20200406,67.19,67.725,64.45,67.52,21488,67.52
20200407,68.02,68.28,65.21,65.395,29740,65.395
20200408,65.88,66.23,64.44,65.065,17314,65.065
20200409,65.515,66.275,64.2,65.47,16374,65.47
20200413,65.25,67.97,65.115,67.71,23899,67.71
20200414,69.495,70.105,68.085,68.37,20247,68.37
20200415,67.64,70.155,67.64,69.965,10118,69.965
20200416,70.22,72.695,70.025,72.44,27929,72.44
20200417,73.0,73.505,68.565,69.73,24371,69.73
20200420,69.21,70.76,69.08,69.765,13159,69.765
20200421,69.075,70.275,67.415,68.88,12963,68.88
20200422,70.235,70.325,69.035,69.735,14271,69.735
20200423,70.2,70.2,67.92,68.57,13391,68.57
20200424,69.505,69.865,67.985,69.79,11849,69.79
20200427,71.28,72.56,70.475,71.85,13156,71.85
20200428,72.16,72.79,70.16,70.675,20905,70.675
20200429,70.47,71.75,69.51,70.675,14106,70.675
20200430,69.92,70.78,67.98,68.99,16373,68.99
20200501,67.74,68.125,64.885,65.07,21020,65.07
20200504,66.15,66.865,65.405,65.915,15350,65.915
20200505,68.36,69.51,67.485,67.845,20832,67.845
20200506,68.205,69.875,68.04,68.4,10047,68.4
20200507,68.97,69.85,68.585,69.465,13164,69.465
20200508,70.785,72.3,70.77,71.955,12535,71.955
20200511,72.05,73.02,71.05,71.22,13508,71.22
20200512,71.875,73.43,71.645,72.13,14539,72.13
20200513,72.98,75.195,72.705,74.195,28988,74.195
20200514,71.77,74.51,71.77,74.405,19470,74.405
20200515,73.785,74.975,73.64,74.88,16723,74.88
20200518,77.0,77.2,74.74,76.375,20530,76.375
20200519,77.0,79.965,76.17,79.14,43632,79.14
20200520,77.8,79.9,76.375,78.06,55833,78.06
20200521,77.72,80.415,77.575,80.35,25426,80.35
