Date,Open,High,Low,Close,Volume,Adj Close
20200401,255.5,261.53,241.28,243.07,124278,243.07
20200402,244.05,256.0,242.31,255.47,126736,255.47
20200403,253.96,255.63,238.39,243.91,129132,243.91
20200406,255.24,269.88,252.93,268.4,134339,268.4
20200407,277.3,278.25,257.3,259.03,148758,259.03
20200408,263.18,267.95,260.6,266.95,96726,266.95
20200409,272.42,272.92,260.42,262.95,96592,262.95
20200413,260.8,270.2,257.0,269.85,73191,269.85
20200414,275.27,285.32,273.88,283.95,97365,283.95
20200415,277.26,284.17,275.38,280.84,65883,280.84
20200416,287.08,299.0,286.55,294.7,140343,294.7
20200417,297.8,298.86,286.94,292.32,96015,292.32
20200420,287.01,293.5,285.27,287.05,81502,287.05
20200421,282.37,284.77,267.11,269.51,132839,269.51
20200422,278.0,287.87,275.4,286.15,88089,286.15
20200423,287.84,293.14,283.0,284.01,77571,284.01
20200424,283.6,289.67,280.6,289.59,61775,289.59
20200427,295.0,303.5,294.0,297.08,86540,297.08
20200428,303.0,304.2,291.14,291.36,81880,291.36
20200429,296.76,300.58,293.75,298.46,64754,298.46
20200430,296.29,298.46,291.72,292.28,57242,292.28
20200501,284.25,288.9,280.84,282.78,58860,282.78
20200504,280.91,291.84,280.88,291.285,56577,291.285
20200505,295.59,300.27,291.29,293.74,69241,293.74
20200506,296.93,302.0,295.41,297.79,61165,297.79
20200507,303.5,307.41,301.32,304.87,70514,304.87
20200508,308.12,312.75,306.39,312.5,62436,312.5
20200511,312.27,324.5,311.15,322.62,88980,322.62
20200512,325.16,326.9,311.71,312.1,93789,312.1
20200513,316.7,323.14,303.79,311.2,120112,311.2
20200514,314.16,321.44,307.5,321.22,116831,321.22
20200515,315.3,340.02,314.96,339.63,194881,339.63
20200518,350.4,356.66,347.22,350.01,145673,350.01
20200519,351.6,363.5,350.51,352.22,139183,352.22
20200520,359.6,361.72,355.55,358.8,111353,358.8
20200521,362.0,362.1,349.58,351.01,127505,351.01
20200522,352.96,363.72,348.53,361.05,200586,361.05
20200526,366.0,367.27,346.88,348.71,141525,348.71
20200527,344.8,345.31,320.0,341.01,229672,341.01
20200528,336.29,350.42,335.17,339.48,147171,339.48
20200529,342.15,355.02,339.4,355.02,129433,355.02
20200601,353.25,353.63,347.58,352.25,74383,352.25
20200602,351.2,353.49,346.32,353.01,72601,353.01
20200603,352.89,354.65,348.0,350.78,65169,350.78
20200604,349.12,357.73,347.1,350.66,81792,350.66
20200605,351.78,359.88,348.31,356.8,86237,356.8
20200608,355.09,355.59,347.43,352.2,70815,352.2
20200609,351.41,364.39,350.05,361.84,86229,361.84
20200610,366.71,380.0,366.14,374.67,117774,374.67
20200611,366.32,370.45,351.44,351.85,99703,351.85
20200612,366.22,367.49,348.13,357.3,104544,357.3
20200615,352.8,367.29,349.75,366.95,69726,366.95
20200616,369.7,370.67,353.55,362.74,97030,362.74
20200617,364.57,371.96,362.81,369.44,72396,369.44
20200618,369.23,371.3,364.58,368.72,45339,368.72
20200619,369.76,377.8,369.01,370.45,85574,370.45
20200622,372.05,381.18,370.93,381.07,70855,381.07
20200623,382.0,385.7,376.3,378.0,68242,378.0
20200624,379.05,382.26,365.78,369.42,81455,369.42
20200625,374.31,380.2,367.29,379.6,66159,379.6
20200626,380.0,380.0,365.0,366.2,102147,366.2
20200629,366.79,368.18,356.0,368.0,60785,368.0
20200630,372.56,381.05,370.66,379.91,63149,379.91
20200701,380.42,383.03,376.52,381.2,57624,381.2
20200702,385.7,389.5,383.13,384.49,59247,384.49
20200706,389.66,396.35,388.5,393.57,51668,393.57
20200707,397.85,402.8,394.03,394.87,62590,394.87
20200708,399.98,409.0,398.62,408.64,63102,408.64
20200709,415.21,422.8,409.34,420.36,89958,420.36
20200710,423.5,426.21,415.15,419.17,87393,419.17
20200713,423.8,431.69,401.0,402.09,77415,402.09
20200714,403.0,416.11,391.42,415.08,90079,415.08
20200715,416.99,417.32,402.23,409.09,67852,409.09
20200716,400.6,408.27,395.82,405.39,62528,405.39
20200717,408.07,409.94,403.51,408.06,46124,408.06
20200720,410.97,421.25,406.27,420.43,50053,420.43
20200721,420.79,422.4,411.47,413.14,46273,413.14
20200722,414.66,424.1,411.66,417.55,69062,417.55
20200723,418.71,421.88,401.25,405.19,71871,405.19
20200724,395.37,414.59,391.08,407.78,86355,407.78
20200727,409.32,417.67,408.71,416.86,49966,416.86
20200728,414.97,415.28,408.37,408.62,45316,408.62
20200729,415.63,420.65,413.88,418.62,50221,418.62
20200730,414.0,424.93,411.81,424.56,54761,424.56
20200731,422.83,430.66,417.32,424.59,66733,424.59
20200803,430.01,443.95,428.61,440.41,73629,440.41
20200804,441.36,449.11,436.24,449.11,53968,449.11
20200805,449.77,454.87,446.65,451.47,43971,451.47
20200806,453.97,454.32,447.15,453.42,42434,453.42
