Date,Open,High,Low,Close,Volume,Adj Close
20191122,120.23,120.61,119.39,120.29,26307,120.29
20191125,120.44,120.92,120.02,120.51,27167,120.51
20191126,120.73,122.35,120.41,122.26,35440,122.26
20191127,122.42,122.44,120.96,121.76,23912,121.76
20191129,121.99,122.63,121.71,122.06,14114,122.06
20191202,121.94,122.78,120.96,122.72,35216,122.72
20191203,122.31,122.96,121.79,122.95,35738,122.95
20191204,122.75,124.58,122.69,124.53,42670,124.53
20191205,124.27,124.63,123.66,124.62,34370,124.62
20191206,124.73,125.45,123.89,124.19,43968,124.19
20191209,124.14,125.14,124.14,124.87,32365,124.87
20191210,124.78,124.87,124.12,124.27,26615,124.27
20191211,124.27,125.27,124.07,124.66,30172,124.66
20191212,124.78,125.76,123.88,124.57,35431,124.57
20191213,124.21,125.74,123.79,125.47,29962,125.47
20191216,125.47,126.35,125.35,125.56,31065,125.56
20191217,125.59,125.98,124.31,125.31,38314,125.31
20191218,125.31,125.87,123.69,124.01,41303,124.01
20191219,124.16,125.2,123.9,124.92,35237,124.92
20191220,126.15,126.6,125.03,125.36,72347,125.36
20191223,125.52,125.82,124.68,124.9,38817,124.9
20191224,124.79,125.31,124.58,125.22,13975,125.22
20191226,125.1,125.75,124.87,125.22,25346,125.22
20191227,125.56,126.3,125.39,126.09,24523,126.09
20191230,125.76,125.98,124.14,124.47,24016,124.47
20191231,124.43,124.99,123.95,124.9,24671,124.9
20200102,124.5,124.73,122.94,123.41,50363,123.41
20200103,122.16,123.53,121.86,122.58,46995,122.58
20200106,122.57,123.19,122.37,122.75,36371,122.75
20200107,122.88,123.21,121.87,121.99,36445,121.99
20200108,122.19,123.43,122.0,122.51,28964,122.51
20200109,122.51,123.88,122.51,123.85,28457,123.85
20200110,123.9,124.32,123.29,123.97,24992,123.97
20200113,124.0,124.9,123.81,124.88,28429,124.88
20200114,124.65,125.2,124.48,124.69,35681,124.69
20200115,125.06,126.12,125.01,125.96,31562,125.96
20200116,126.11,126.78,125.59,126.07,36469,126.07
20200117,126.35,127.0,125.88,126.41,62435,126.41
20200121,126.41,126.62,124.84,126.09,54408,126.09
20200122,126.33,126.68,125.83,126.31,45122,126.31
20200123,124.3,126.55,123.65,124.99,75078,124.99
20200124,125.22,126.79,124.77,125.14,56231,125.14
20200127,124.75,126.39,124.75,125.69,49704,125.69
20200128,125.93,126.98,125.72,126.03,35739,126.03
20200129,125.91,126.07,125.02,125.06,30215,125.06
20200130,124.76,126.06,124.42,125.95,39515,125.95
20200131,125.99,126.95,124.46,124.62,38398,124.62
20200203,124.66,125.95,124.49,125.11,34734,125.11
20200204,125.82,127.35,125.36,125.66,41462,125.66
20200205,125.65,127.06,125.4,126.81,37568,126.81
20200206,126.9,128.09,126.6,127.14,54781,127.14
20200207,127.19,127.27,126.05,126.08,32691,126.08
20200210,126.46,126.83,125.76,126.17,26502,126.17
20200211,126.27,126.27,124.03,124.16,40553,124.16
20200212,123.68,123.97,122.85,123.45,40069,123.45
20200213,123.73,125.28,123.52,124.96,35089,124.96
20200214,125.29,126.15,124.79,126.14,28107,126.14
20200218,125.83,126.18,124.83,124.87,31090,124.87
20200219,124.85,126.47,124.65,125.44,28278,125.44
20200220,125.47,126.76,125.13,126.58,41802,126.58
20200221,126.13,128.07,125.98,126.7,58787,126.7
20200224,125.26,126.59,123.14,123.3,48749,123.3
20200225,123.02,123.96,120.88,121.43,51893,121.43
20200226,121.42,122.39,119.85,120.16,43024,120.16
20200227,119.12,119.92,113.43,113.5,84137,113.5
20200228,109.46,113.23,106.67,113.23,158905,113.23
