Date,Open,High,Low,Close,Volume,Adj Close
20200401,184.78,187.66,180.86,182.31,436648,182.31
20200402,181.57,190.1,180.97,186.01,473414,186.01
20200403,185.47,187.08,181.29,183.37,369199,183.37
20200406,190.38,197.65,189.19,196.48,475448,196.48
20200407,202.22,202.66,196.0,196.4,570217,196.4
20200408,198.1,201.17,196.37,200.57,369851,200.57
20200409,202.23,203.22,199.02,200.86,500351,200.86
20200413,199.92,203.42,198.75,203.03,356060,203.03
20200414,207.17,212.5,206.42,211.86,499214,211.86
20200415,208.48,211.26,207.12,209.43,350813,209.43
20200416,211.74,214.37,209.69,213.25,484978,213.25
20200417,215.96,216.51,212.08,215.29,453406,215.29
20200420,213.27,215.88,212.57,212.74,315251,212.74
20200421,210.64,211.16,203.63,204.89,592170,204.89
20200422,209.14,212.26,208.33,210.97,307522,210.97
20200423,211.78,214.44,210.09,210.52,371682,210.52
20200424,210.94,214.3,209.5,213.84,283266,213.84
20200427,216.18,216.63,214.5,215.56,273161,215.56
20200428,217.27,217.32,211.21,211.5,370242,211.5
20200429,216.23,219.97,215.14,219.0,344347,219.0
20200430,220.01,220.04,217.35,218.91,337867,218.91
20200501,214.52,216.67,211.68,212.74,375003,212.74
20200504,211.58,215.45,211.12,215.22,271890,215.22
20200505,217.4,220.14,216.85,217.66,310820,217.66
20200506,219.37,221.04,218.11,219.0,298920,219.0
20200507,221.76,222.73,220.42,221.82,318168,221.82
20200508,223.55,225.0,222.48,224.86,250304,224.86
20200511,223.49,227.93,223.25,226.87,301135,226.87
20200512,227.46,228.1,222.09,222.12,356256,222.12
20200513,222.65,224.61,216.71,219.34,554562,219.34
20200514,218.09,221.87,215.99,221.83,431267,221.83
20200515,218.77,223.33,218.33,223.27,395682,223.27
20200518,226.28,228.68,225.47,227.43,338960,227.43
20200519,227.66,229.85,226.71,226.86,303084,226.86
20200520,229.48,231.76,229.48,231.39,291480,231.39
20200521,231.47,232.14,228.34,228.87,335525,228.87
20200522,228.44,229.87,227.5,229.66,228848,229.66
20200526,233.31,233.57,228.79,229.04,280013,229.04
20200527,228.51,230.41,223.94,230.29,459375,230.29
20200528,229.02,233.47,229.02,229.99,348334,229.99
20200529,230.43,233.6,228.76,233.36,438134,233.36
20200601,232.4,234.45,232.0,234.06,197742,234.06
20200602,234.42,235.69,232.01,235.63,269462,235.63
20200603,236.22,237.47,235.35,236.69,292729,236.69
20200604,236.31,237.79,233.68,235.03,313142,235.03
20200605,236.06,240.3,235.63,239.69,380425,239.69
20200608,239.45,241.68,237.91,241.55,256227,241.55
20200609,240.63,244.18,240.47,243.3,288196,243.3
20200610,245.02,247.82,244.51,246.22,446993,246.22
20200611,242.26,243.59,233.96,234.02,587344,234.02
20200612,239.11,240.4,231.74,235.88,603550,235.88
20200615,232.44,239.45,231.47,238.75,378357,238.75
20200616,243.78,244.39,239.1,242.85,413474,242.85
20200617,244.39,245.5,242.73,243.62,261000,243.62
20200618,243.29,244.53,242.49,244.28,221385,244.28
20200619,246.74,247.0,242.45,244.24,305302,244.24
20200622,243.77,246.87,243.38,246.74,193369,246.74
20200623,248.39,251.15,247.82,248.84,255285,248.84
20200624,247.99,249.33,242.16,243.71,391743,243.71
20200625,243.87,246.34,241.14,246.03,301263,246.03
20200626,245.75,245.96,239.68,240.22,441441,240.22
20200629,239.98,242.84,237.35,242.84,276478,242.84
20200630,242.73,248.16,242.58,247.6,293348,247.6
20200701,247.61,251.52,247.08,250.49,263763,250.49
20200702,252.97,254.27,251.71,252.19,246848,252.19
20200706,255.42,258.93,255.42,258.39,249201,258.39
20200707,258.1,260.88,256.3,256.61,285377,256.61
20200708,258.0,260.02,256.5,259.99,235005,259.99
20200709,261.89,262.87,257.63,262.18,342322,262.18
20200710,261.91,264.23,259.26,263.97,266536,263.97
20200713,266.86,269.79,257.69,258.54,506981,258.54
20200714,256.07,260.79,252.76,260.37,554185,260.37
20200715,261.68,262.69,257.49,260.9,407707,260.9
20200716,257.97,259.78,255.62,259.12,316415,259.12
20200717,259.71,260.31,257.17,259.42,218889,259.42
20200720,260.12,267.43,258.79,266.78,303821,266.78
20200721,268.41,268.41,263.12,264.0,362957,264.0
20200722,264.44,265.89,262.55,264.93,232645,264.93
20200723,264.55,265.24,256.55,258.01,407667,258.01
20200724,254.12,256.93,251.32,255.56,437834,255.56
