Date,Open,High,Low,Close,Volume,Adj Close
20191122,37.07,37.57,36.54,37.27,20811,37.27
20191125,37.36,38.05,37.12,37.35,43276,37.35
20191126,37.35,38.09,37.22,37.75,30544,37.75
20191127,37.95,37.98,37.3,37.78,19889,37.78
20191129,37.52,37.73,36.81,37.04,18381,37.04
20191202,37.08,37.08,35.87,36.57,24479,36.57
20191203,35.72,37.02,35.3,36.77,31384,36.77
20191204,37.18,37.43,36.81,37.09,9250,37.09
20191205,37.54,38.31,37.06,37.84,51268,37.84
20191206,38.2,38.97,37.56,37.81,28434,37.81
20191209,38.01,38.01,36.73,36.74,26665,36.74
20191210,36.82,37.1,36.41,36.63,21371,36.63
20191211,36.63,36.8,36.01,36.77,48395,36.77
20191212,36.63,37.48,36.26,37.3,39574,37.3
20191213,37.17,37.68,36.67,36.8,23208,36.8
20191216,37.0,38.13,36.85,38.0,28799,38.0
20191217,38.46,38.48,37.7,38.0,36210,38.0
20191218,37.93,38.02,36.8,37.61,51574,37.61
20191219,37.75,39.2,37.63,38.82,46384,38.82
20191220,39.0,39.14,38.05,39.01,27897,39.01
20191223,38.72,39.36,38.52,38.85,21804,38.85
20191224,38.99,39.45,38.75,39.12,5704,39.12
20191226,39.1,39.5,38.88,39.08,15825,39.08
20191227,39.37,39.59,38.77,39.3,13126,39.3
20191230,39.86,40.0,38.34,39.21,24699,39.21
20191231,38.98,40.63,38.81,40.22,28431,40.22
20200102,41.0,41.19,39.46,40.04,41148,40.04
20200103,39.44,40.65,39.4,40.49,16370,40.49
20200106,40.07,41.03,40.02,40.48,14247,40.48
20200107,40.5,41.8,40.35,41.01,29158,41.01
20200108,41.0,41.39,40.05,40.16,18044,40.16
20200109,40.79,40.9,40.04,40.53,22177,40.53
20200110,40.76,40.91,39.34,39.58,23098,39.58
20200113,39.71,40.37,39.6,40.02,13926,40.02
20200114,40.0,40.27,39.15,39.94,28429,39.94
20200115,40.4,40.95,39.91,40.42,18257,40.42
20200116,40.65,41.02,40.19,40.96,19885,40.96
20200117,40.75,41.34,40.7,41.28,23277,41.28
20200121,41.01,41.4,40.33,41.31,31093,41.31
20200122,43.55,45.15,42.9,44.36,62334,44.36
20200123,44.25,45.01,43.74,44.75,30410,44.75
20200124,46.06,46.5,44.35,45.33,50918,45.33
20200127,42.6,44.45,42.6,44.35,25842,44.35
20200128,45.0,45.31,44.51,45.03,12876,45.03
20200129,45.76,46.29,45.03,45.14,15151,45.14
20200130,44.72,45.63,44.52,45.59,12623,45.59
20200131,45.28,45.58,44.81,45.24,24496,45.24
20200203,45.36,46.5,45.25,46.37,27290,46.37
20200204,46.97,47.11,46.07,46.82,33764,46.82
20200205,47.5,47.51,45.73,45.81,33659,45.81
20200206,46.08,46.78,44.84,45.72,19574,45.72
20200207,46.58,46.71,45.53,46.2,25013,46.2
20200210,46.06,46.3,44.95,45.16,22634,45.16
20200211,45.71,46.67,45.38,46.34,22835,46.34
20200212,46.59,47.14,46.44,46.93,17563,46.93
20200213,47.1,48.4,47.04,47.95,36255,47.95
20200214,48.5,49.33,48.16,48.49,33044,48.49
20200218,49.27,49.88,48.8,49.84,35799,49.84
20200219,50.34,51.21,49.78,51.2,27773,51.2
20200220,51.16,52.51,50.87,52.5,57078,52.5
20200221,52.17,52.39,51.45,51.85,48578,51.85
20200224,48.68,49.49,46.95,48.2,80107,48.2
20200225,49.46,49.79,46.06,46.7,51514,46.7
20200226,46.77,47.91,46.28,46.42,23774,46.42
20200227,45.01,46.9,43.31,45.07,62339,45.07
20200228,43.64,45.54,43.5,45.06,40697,45.06
20200302,46.21,48.22,45.15,48.04,57250,48.04
20200303,49.5,51.59,48.24,48.95,80024,48.95
20200304,51.0,52.58,50.2,52.52,45364,52.52
20200305,51.01,52.77,50.38,52.56,35871,52.56
20200306,50.66,51.17,47.86,50.35,48302,50.35
20200309,45.99,47.18,44.99,45.91,66527,45.91
20200310,48.0,50.77,47.82,50.69,62511,50.69
20200311,49.04,50.5,47.27,48.02,30404,48.02
20200312,44.0,44.4,41.47,41.63,78567,41.63
20200313,44.93,45.11,42.37,44.51,58438,44.51
20200316,38.5,43.29,38.5,41.08,55820,41.08
20200317,41.87,45.0,40.5,44.26,44917,44.26
20200318,40.54,41.96,36.28,41.96,67918,41.96
20200319,41.08,41.31,38.02,39.7,55631,39.7
20200320,41.7,42.33,37.99,38.0,46510,38.0
20200323,38.1,38.76,35.61,38.45,44637,38.45
20200324,41.74,43.75,41.23,42.84,51202,42.84
