Date,Open,High,Low,Close,Volume,Adj Close
20190214,101.3,102.71,101.28,102.03,38994,102.03
20190215,102.76,102.96,101.85,102.55,43826,102.55
20190219,102.17,103.09,102.15,102.43,31520,102.43
20190220,102.95,104.03,102.93,103.36,40223,103.36
20190221,103.25,103.58,102.41,102.72,37838,102.72
20190222,103.61,104.31,103.41,104.18,36530,104.18
20190225,105.67,106.27,105.01,105.13,43775,105.13
20190226,104.74,105.14,104.13,104.45,32228,104.45
20190227,103.97,103.97,102.22,103.38,52845,103.38
20190228,102.81,103.61,102.56,103.33,39844,103.33
20190301,104.26,104.8,103.23,104.28,39976,104.28
20190304,104.98,105.3,102.99,104.33,41900,104.33
20190305,104.01,104.44,103.29,103.84,35924,103.84
20190306,103.7,103.7,102.03,102.09,42864,102.09
20190307,101.5,101.7,100.42,100.98,57527,100.98
20190308,99.43,101.04,99.04,100.95,46530,100.95
20190311,101.48,103.59,101.33,103.1,53888,103.1
20190312,103.42,104.11,102.69,103.61,39896,103.61
20190313,104.18,104.81,103.86,104.03,37809,104.03
20190314,103.9,104.49,103.4,103.45,40210,103.45
20190315,104.74,107.12,104.7,106.22,76669,106.22
20190318,106.31,106.89,105.3,105.93,42641,105.93
20190319,106.73,107.49,106.42,107.15,64088,107.15
20190320,107.27,107.68,105.61,106.23,54337,106.23
20190321,106.63,110.6,106.63,109.89,85214,109.89
20190322,109.26,109.51,106.66,106.75,81208,106.75
20190325,106.08,106.95,104.58,105.4,54302,105.4
20190326,106.57,107.22,105.63,106.38,45433,106.38
20190327,106.49,106.8,104.12,104.83,73446,104.83
20190328,105.0,105.81,103.99,104.63,57461,104.63
20190329,105.87,106.55,105.66,106.33,51515,106.33
20190401,107.94,109.05,107.48,108.95,55398,108.95
20190402,108.99,109.3,108.39,109.04,32171,109.04
20190403,110.8,112.5,110.56,111.58,79589,111.58
20190404,111.09,112.39,110.96,111.7,61807,111.7
20190405,112.35,112.67,111.7,112.54,41977,112.54
20190408,111.9,112.9,111.79,112.77,35373,112.77
20190409,112.15,112.15,111.07,111.54,43897,111.54
20190410,111.3,112.77,111.24,112.44,54826,112.44
20190411,112.47,113.03,112.0,112.33,39488,112.33
20190412,113.44,113.91,112.95,113.91,35404,113.91
20190415,113.88,113.96,112.42,113.09,37243,113.09
20190416,113.89,115.87,113.83,115.85,56443,115.85
20190417,118.14,118.83,116.88,117.56,73019,117.56
20190418,117.83,118.02,117.1,117.73,34258,117.73
20190422,117.07,117.89,116.8,117.64,31027,117.64
20190423,118.12,118.89,117.8,118.59,36925,118.59
20190424,118.35,120.71,118.35,119.6,58818,119.6
20190425,118.91,119.21,116.44,117.24,83272,117.24
20190426,114.7,115.84,113.49,115.81,98393,115.81
20190429,115.55,115.8,114.82,115.2,29576,115.2
20190430,115.36,116.51,115.21,116.25,47764,116.25
20190501,117.27,117.88,115.27,115.36,59575,115.36
20190502,115.43,117.54,115.16,116.45,59659,116.45
20190503,117.17,117.57,116.4,117.49,46832,117.49
20190506,113.64,115.71,113.19,115.61,60868,115.61
20190507,114.24,114.51,111.76,112.97,93580,112.97
20190508,112.23,113.87,112.0,112.16,75436,112.16
20190509,110.37,111.11,108.14,110.58,156096,110.58
20190510,109.91,111.23,107.98,110.46,114699,110.46
20190513,106.75,107.52,104.93,105.34,138610,105.34
20190514,106.88,108.54,106.36,108.04,85961,108.04
20190515,106.83,109.75,106.66,109.04,107968,109.04
20190516,107.45,108.63,106.83,107.5,96407,107.5
20190517,106.05,108.05,105.1,105.43,131110,105.43
20190520,102.1,102.82,100.58,101.24,147521,101.24
20190521,103.43,106.7,102.57,103.55,78584,103.55
20190522,102.0,102.73,101.49,101.73,78806,101.73
20190523,99.9,100.36,98.5,100.04,95730,100.04
20190524,100.86,101.33,99.43,99.43,61705,99.43
20190528,100.0,100.32,98.45,98.55,52420,98.55
20190529,97.8,99.29,97.61,98.88,118355,98.88
20190530,99.2,100.52,98.97,99.64,71152,99.64
20190531,98.49,99.92,98.23,98.23,97430,98.23
20190603,99.31,100.07,97.65,98.12,60293,98.12
20190604,99.86,102.19,99.06,102.14,63681,102.14
20190605,102.88,103.28,100.24,101.36,72943,101.36
20190606,101.45,103.11,101.16,102.76,39361,102.76
20190607,103.33,104.36,102.97,104.09,46422,104.09
20190610,105.23,107.85,105.2,106.69,73226,106.69
20190611,108.36,108.8,106.42,107.08,51503,107.08
20190612,106.18,106.24,104.66,104.76,33555,104.76
20190613,105.46,105.71,104.58,105.28,31555,105.28
20190614,102.59,103.05,101.98,102.66,51314,102.66
20190617,102.61,102.93,101.78,102.03,50968,102.03
20190618,103.12,106.91,102.93,106.18,114009,106.18
20190619,106.75,107.24,105.94,106.43,40465,106.43
20190620,108.77,109.2,107.1,107.66,47621,107.66
20190621,107.13,108.01,106.84,107.15,44410,107.15
20190624,107.4,107.79,106.95,107.35,30846,107.35
20190625,107.3,107.68,105.42,105.49,38910,105.49
20190626,107.86,109.34,107.79,108.61,63542,108.61
20190627,109.33,110.61,109.33,110.07,45066,110.07
20190628,111.5,111.59,110.11,110.18,52041,110.18
20190701,115.1,115.96,112.54,113.29,76272,113.29
20190702,112.97,112.99,111.46,111.96,35089,111.96
20190703,111.82,111.93,110.8,111.55,17590,111.55
20190705,110.25,110.97,109.6,110.73,32271,110.73
20190708,109.68,110.23,109.22,110.01,32907,110.01
20190709,109.27,110.94,109.09,110.78,30648,110.78
20190710,112.1,113.37,111.68,111.88,37229,111.88
