Date,Open,High,Low,Close,Volume,Adj Close
20191122,311.09,311.24,309.85,310.96,267848,310.96
20191125,311.98,313.37,311.98,313.37,293477,313.37
20191126,313.41,314.28,313.06,314.08,265202,314.08
20191127,314.61,315.48,314.37,315.48,232193,315.48
20191129,314.86,315.13,314.06,314.31,180830,314.31
20191202,314.59,314.66,311.17,311.64,510217,311.64
20191203,308.65,309.64,307.13,309.55,566444,309.55
20191204,310.69,312.12,310.32,311.46,324283,311.46
20191205,312.24,312.25,310.58,312.02,281266,312.02
20191206,314.1,315.31,314.1,314.87,298120,314.87
20191209,314.42,315.18,313.8,313.88,224964,313.88
20191210,313.83,314.55,312.81,313.53,308101,313.53
20191211,314.05,314.7,313.59,314.42,287348,314.42
20191212,314.43,317.99,314.17,317.13,701683,317.13
20191213,316.87,318.67,316.02,317.32,613902,317.32
20191216,319.18,320.15,319.17,319.5,423241,319.5
20191217,319.92,320.25,319.48,319.57,290316,319.57
20191218,320.01,320.25,319.53,319.59,276219,319.59
20191219,319.79,320.98,319.75,320.9,344693,320.9
20191220,320.46,321.45,320.37,320.73,521812,320.73
20191223,321.59,321.65,321.06,321.22,257147,321.22
20191224,321.47,321.52,320.9,321.23,122217,321.23
20191226,321.66,322.94,321.64,322.94,185553,322.94
20191227,323.74,323.8,322.28,322.86,268298,322.86
20191230,322.96,323.1,320.55,321.08,353546,321.08
20191231,320.52,322.13,320.15,321.86,310433,321.86
20200102,323.54,324.87,322.53,324.87,403133,324.87
20200103,321.14,323.64,321.1,322.41,473577,322.41
20200106,320.49,323.73,320.36,323.64,357309,323.64
20200107,323.02,323.54,322.24,322.73,278796,322.73
20200108,322.94,325.78,322.67,324.45,461770,324.45
20200109,326.15,326.73,325.52,326.65,323281,326.65
20200110,327.29,327.46,325.2,325.71,318698,325.71
20200113,326.4,327.96,325.92,327.95,277267,327.95
20200114,327.48,328.62,326.84,327.45,444272,327.45
20200115,327.34,329.02,327.26,328.19,422406,328.19
20200116,329.7,330.92,329.45,330.92,330054,330.92
20200117,331.69,332.18,331.07,331.95,394177,331.95
20200121,330.9,332.18,330.82,331.3,408717,331.3
20200122,332.24,332.95,331.17,331.34,300887,331.34
20200123,330.63,331.92,329.41,331.72,369352,331.72
20200124,332.44,332.53,327.36,328.77,611242,328.77
20200127,323.03,325.12,322.66,323.5,600265,323.5
20200128,325.06,327.85,324.55,326.89,457474,326.89
20200129,328.38,328.63,326.4,326.62,382273,326.62
20200130,324.36,327.91,323.54,327.68,570213,327.68
20200131,327.0,327.17,320.73,321.73,846100,321.73
20200203,323.35,326.16,323.22,324.12,493100,324.12
20200204,328.07,330.01,327.72,329.06,401199,329.06
20200205,332.27,333.09,330.67,332.86,432226,332.86
20200206,333.92,334.19,332.8,333.98,300233,333.98
20200207,332.82,333.62,331.6,332.2,382175,332.2
20200210,331.23,334.72,331.19,334.68,290189,334.68
20200211,336.17,337.02,334.75,335.26,380596,335.26
20200212,336.83,337.65,336.43,337.42,274405,337.42
20200213,335.86,338.12,335.56,337.06,379305,337.06
20200214,337.46,337.73,336.2,337.6,392840,337.6
20200218,336.52,337.17,335.21,336.73,398019,336.73
20200219,337.77,339.08,337.48,338.34,283493,338.34
20200220,337.75,338.64,333.68,336.95,559939,336.95
20200221,335.47,335.81,332.58,333.48,713387,333.48
20200224,323.14,325.85,321.24,322.42,1112204,322.42
20200225,323.93,324.61,311.69,312.65,1657370,312.65
20200226,314.2,318.11,310.7,311.5,1411559,311.5
20200227,305.46,309.65,297.51,297.51,1944132,297.51
20200228,288.7,296.26,285.54,296.26,2429970,296.26
20200302,298.2,309.16,294.46,309.09,1576462,309.09
20200303,309.5,313.84,297.57,300.24,2107916,300.24
20200304,306.12,313.1,303.33,312.86,1215359,312.86
20200305,304.98,308.47,300.01,302.46,1228228,302.46
20200306,293.18,298.78,290.23,297.46,1618838,297.46
20200309,275.29,284.19,273.45,274.23,2053550,274.23
20200310,284.62,288.51,273.5,288.42,1882053,288.42
20200311,280.7,281.94,270.88,274.36,1693099,274.36
20200312,256.0,266.66,247.68,248.11,2671083,248.11
20200313,263.09,271.05,249.58,269.32,2214794,269.32
20200316,241.18,256.9,237.36,239.85,2069018,239.85
20200317,245.04,256.17,237.07,252.8,1784275,252.8
20200318,236.25,248.37,228.02,240.0,2285377,240.0
20200319,239.25,247.38,232.22,240.51,2022673,240.51
20200320,242.53,244.47,228.5,228.8,1962101,228.8
20200323,228.19,229.39,218.26,222.95,1994486,222.95
20200324,234.42,244.1,233.8,243.15,1731525,243.15
20200325,244.87,256.35,239.75,246.79,1948956,246.79
20200326,249.52,262.8,249.05,261.2,1619367,261.2
20200327,253.29,260.81,251.05,253.42,1402272,253.42
20200330,255.7,262.43,253.53,261.65,1015231,261.65
20200331,260.58,263.33,256.22,257.75,1163178,257.75
20200401,247.98,251.44,243.9,246.15,1180034,246.15
20200402,245.2,252.68,244.59,251.83,1258867,251.83
20200403,250.76,253.32,245.22,248.19,1009445,248.19
20200406,257.84,267.0,256.72,264.86,1265467,264.86
20200407,274.21,275.03,264.89,265.13,1487215,265.13
20200408,267.94,275.41,265.56,274.03,1109128,274.03
20200409,277.58,281.2,275.47,278.2,1316472,278.2
20200413,277.15,277.51,271.41,275.66,856010,275.66
20200414,280.94,284.84,279.91,283.79,960876,283.79
20200415,277.57,279.59,275.46,277.76,846823,277.76
20200416,279.15,280.03,275.76,279.1,864828,279.1
20200417,285.37,287.3,282.4,286.64,887430,286.64
20200420,282.61,286.29,281.35,281.59,720686,281.59
20200421,276.73,278.04,272.02,273.04,951911,273.04
20200422,278.35,281.0,276.91,279.1,625589,279.1
20200423,280.49,283.94,278.75,279.08,879674,279.08
