Date,Open,High,Low,Close,Volume,Adj Close
20190214,303.38,306.77,301.0,303.77,39221,303.77
20190215,304.4,308.0,303.9,307.88,29659,307.88
20190219,306.37,311.55,305.47,305.64,31078,305.64
20190220,304.41,306.3,299.0,302.56,51592,302.56
20190221,302.0,303.24,290.5,291.23,69557,291.23
20190222,294.49,296.5,292.1,294.71,43624,294.71
20190225,297.85,302.91,297.0,298.77,48872,298.77
20190226,292.11,302.01,288.77,297.86,66698,297.86
20190227,301.74,316.3,300.55,314.74,89726,314.74
20190228,318.92,320.0,310.81,319.88,74412,319.88
20190301,306.75,307.13,291.9,294.79,176956,294.79
20190304,297.91,299.0,282.78,285.36,128969,285.36
20190305,282.0,284.0,270.1,276.54,145647,276.54
20190306,276.58,281.51,274.39,276.24,84753,276.24
20190307,278.72,284.7,274.25,276.59,74437,276.59
20190308,276.66,285.59,275.89,284.14,70463,284.14
20190311,283.52,291.28,280.5,290.92,58132,290.92
20190312,286.49,288.07,281.06,283.36,60214,283.36
20190313,283.9,291.99,282.7,288.96,54756,288.96
20190314,292.45,295.39,288.29,289.96,55915,289.96
20190315,283.55,283.73,274.4,275.43,105516,275.43
20190318,275.95,278.05,267.3,269.49,80869,269.49
20190319,267.3,273.3,263.46,267.47,96090,267.47
20190320,269.69,274.97,266.3,273.6,56531,273.6
20190321,272.6,276.45,268.45,274.02,47584,274.02
20190322,272.58,272.8,264.0,264.53,69020,264.53
20190325,259.71,263.18,254.46,260.42,79755,260.42
20190326,264.44,270.26,264.43,267.77,58511,267.77
20190327,268.69,275.37,268.18,274.83,72489,274.83
20190328,277.16,280.33,275.1,278.62,54533,278.62
20190329,278.7,280.16,274.5,279.86,47374,279.86
20190401,282.61,289.2,281.28,289.18,64204,289.18
20190402,288.3,289.44,283.88,285.88,42930,285.88
20190403,287.32,296.17,287.17,291.81,63982,291.81
20190404,261.49,271.2,260.59,267.78,159275,267.78
20190405,269.86,276.1,266.11,274.96,100158,274.96
20190408,277.69,281.16,270.44,273.2,82832,273.2
20190409,271.65,275.0,269.61,272.31,46915,272.31
20190410,276.74,278.38,272.89,276.06,53541,276.06
20190411,268.3,270.5,265.6,268.42,70134,268.42
20190412,270.22,271.95,266.83,267.7,54176,267.7
20190415,268.63,268.88,258.63,266.38,78949,266.38
20190416,265.75,275.0,264.72,273.36,57502,273.36
20190417,274.59,274.79,268.53,271.23,39744,271.23
20190418,271.01,274.84,269.75,273.26,41976,273.26
20190422,269.0,269.68,262.48,262.75,96671,262.75
20190423,259.9,265.6,255.75,263.9,83494,263.9
20190424,263.6,265.32,258.0,258.66,67246,258.66
20190425,255.0,259.0,246.07,247.63,170803,247.63
20190426,246.29,246.68,231.13,235.14,175330,235.14
20190429,235.83,243.98,232.17,241.47,136438,241.47
20190430,242.06,244.21,237.0,238.69,73944,238.69
20190501,239.0,240.0,231.5,234.01,85545,234.01
20190502,245.53,247.13,237.72,244.1,122140,244.1
20190503,243.92,256.61,243.49,255.03,171188,255.03
20190506,250.02,258.35,248.5,255.34,75506,255.34
20190507,256.8,257.21,245.1,247.06,76964,247.06
20190508,246.6,250.6,244.2,244.84,45299,244.84
20190509,241.99,243.68,236.94,241.98,51394,241.98
20190510,239.75,241.99,236.02,239.52,55276,239.52
20190513,232.12,232.47,224.5,227.01,77830,227.01
20190514,229.29,234.5,228.0,232.31,53900,232.31
20190515,229.25,232.44,225.25,231.95,55492,231.95
20190516,229.49,231.0,226.5,228.33,54065,228.33
20190517,222.25,222.25,208.92,211.03,135637,211.03
20190520,202.99,206.0,195.25,205.36,153573,205.36
20190521,197.76,207.4,196.04,205.08,137737,205.08
20190522,199.1,203.94,191.78,192.73,142477,192.73
20190523,194.0,199.47,186.22,195.49,186033,195.49
20190524,199.91,199.98,188.75,190.63,109305,190.63
20190528,191.04,195.0,187.85,188.7,77693,188.7
20190529,187.1,192.39,185.04,189.86,94589,189.86
20190530,188.75,192.26,187.02,188.22,60730,188.22
20190531,185.11,189.93,184.1,185.16,78745,185.16
20190603,185.35,186.68,176.99,178.97,104467,178.97
20190604,181.1,193.98,179.61,193.6,107789,193.6
20190605,198.68,201.28,191.84,196.59,106352,196.59
20190606,204.06,211.0,201.8,205.95,153719,205.95
20190607,204.82,210.85,203.49,204.5,119628,204.5
20190610,210.25,216.94,209.01,212.88,76383,212.88
20190611,219.41,220.9,213.5,217.1,83906,217.1
20190612,223.09,223.38,209.0,209.26,116444,209.26
20190613,210.38,214.9,207.51,213.91,65828,213.91
20190614,211.32,216.65,210.4,214.92,57224,214.92
20190617,214.58,227.0,214.27,225.03,97424,225.03
20190618,228.73,234.74,222.56,224.74,97972,224.74
20190619,225.11,227.77,221.06,226.43,51125,226.43
20190620,223.0,226.9,216.35,219.62,91920,219.62
20190621,216.25,222.18,215.5,221.86,55789,221.86
20190624,223.23,225.86,221.02,223.64,44344,223.64
20190625,224.39,225.34,219.49,219.76,46157,219.76
20190626,220.03,227.23,218.1,219.27,65220,219.27
20190627,219.37,222.9,217.35,222.84,46034,222.84
20190628,220.97,225.17,220.8,223.46,47325,223.46
20190701,230.21,233.1,226.28,227.17,64787,227.17
20190702,228.89,229.15,222.22,224.55,55179,224.55
20190703,239.39,241.57,234.51,234.9,107849,234.9
20190705,234.57,235.45,230.8,233.1,55235,233.1
20190708,231.24,232.25,228.66,230.34,45795,230.34
20190709,228.97,231.0,227.28,230.06,48278,230.06
20190710,234.15,238.94,233.14,238.92,69900,238.92
20190711,238.14,241.5,235.8,238.6,56804,238.6
20190712,239.75,245.38,239.71,245.08,61190,245.08
20190715,248.44,254.42,244.86,253.5,83500,253.5
20190716,249.3,253.53,247.93,252.38,59814,252.38
20190717,255.67,258.31,253.35,254.86,67453,254.86
20190718,255.05,255.75,251.88,253.54,36545,253.54
20190719,255.69,259.96,254.62,258.18,55273,258.18
20190722,258.63,262.16,254.19,255.68,53318,255.68
20190723,256.83,260.48,254.5,260.17,35250,260.17
20190724,259.17,266.07,258.16,264.88,60123,264.88
20190725,233.25,234.5,225.55,228.82,166926,228.82
20190726,226.92,230.26,222.25,228.04,77482,228.04
20190729,227.09,235.94,226.03,235.77,73885,235.77
20190730,232.9,243.36,232.18,242.26,62957,242.26
20190731,243.03,246.68,236.65,241.61,72060,241.61
20190801,242.65,244.51,231.77,233.85,63898,233.85
20190802,231.35,236.27,229.23,234.34,46842,234.34
20190805,229.6,231.37,225.77,228.32,51361,228.32
20190806,231.87,232.5,225.75,230.75,41721,230.75
20190807,226.65,233.57,225.8,233.42,36728,233.42
20190808,234.6,239.8,232.65,238.3,40413,238.3
20190809,236.04,238.96,233.81,235.01,29060,235.01
20190812,232.99,235.77,228.75,229.01,36481,229.01
20190813,228.81,236.0,227.55,235.0,37455,235.0
20190814,231.21,231.5,216.69,219.62,72632,219.62
20190815,220.86,221.56,211.55,215.64,64524,215.64
20190816,216.66,222.24,216.02,219.94,38221,219.94
20190819,224.21,227.83,221.7,226.83,41161,226.83
20190820,227.62,229.09,224.54,225.86,31169,225.86
20190821,222.17,223.22,217.6,220.83,60467,220.83
20190822,222.8,225.4,218.22,222.15,45985,222.15
20190823,219.97,221.17,211.0,211.4,65799,211.4
20190826,213.6,215.02,211.54,215.0,37792,215.0
20190827,215.73,218.8,212.03,214.08,41875,214.08
20190828,213.69,217.25,212.31,215.59,25277,215.59
20190829,219.0,223.4,218.0,221.71,39735,221.71
20190830,229.17,232.44,224.21,225.61,69194,225.61
20190903,224.08,228.95,223.16,225.01,42733,225.01
20190904,226.89,228.46,219.2,220.68,46717,220.68
20190905,222.72,229.8,220.85,229.58,61068,229.58
20190906,227.73,229.64,225.17,227.45,32257,227.45
20190909,229.85,233.76,229.23,231.79,37689,231.79
20190910,230.34,235.54,228.94,235.54,38199,235.54
20190911,237.38,248.18,236.0,247.1,76885,247.1
20190912,247.82,253.5,244.4,245.87,66577,245.87
20190913,246.96,248.45,244.86,245.2,31949,245.2
20190916,246.0,247.43,241.17,242.81,34292,242.81
20190917,242.47,245.6,240.37,244.79,27705,244.79
20190918,245.0,248.17,242.37,243.49,29873,243.49
20190919,245.76,247.94,244.84,246.6,33505,246.6
20190920,246.49,246.95,238.16,240.62,41338,240.62
20190923,239.76,245.18,239.22,241.23,30836,241.23
20190924,241.51,241.99,222.61,223.21,95143,223.21
20190925,224.56,228.98,218.36,228.7,68815,228.7
20190926,230.66,243.31,227.4,242.56,88154,242.56
20190927,242.2,248.71,238.73,242.13,80902,242.13
20190930,243.0,243.98,236.11,240.87,42846,240.87
20191001,241.5,245.95,239.13,244.69,44431,244.69
20191002,243.29,244.65,239.43,243.13,38725,243.13
20191003,232.01,234.48,224.28,233.03,108122,233.03
