Date,Open,High,Low,Close,Volume,Adj Close
20190214,48.63,48.91,48.03,48.52,138666,48.52
20190215,49.09,49.42,48.49,49.22,153207,49.22
20190219,49.03,49.62,48.82,49.38,123789,49.38
20190220,49.43,49.88,49.3,49.81,129212,49.81
20190221,49.76,49.89,49.37,49.56,118849,49.56
20190222,49.6,49.75,48.95,49.02,130049,49.02
20190225,49.26,50.23,49.25,49.66,132274,49.66
20190226,49.49,50.14,49.34,49.59,133838,49.59
20190227,49.59,50.03,49.36,49.9,120417,49.9
20190228,49.98,50.13,49.73,49.89,121397,49.89
20190301,50.23,50.84,49.87,50.03,162075,50.03
20190304,50.29,50.9,49.69,50.11,140773,50.11
20190305,50.03,50.05,49.32,49.89,113712,49.89
20190306,49.97,50.22,49.67,49.82,118925,49.82
20190307,49.71,49.85,49.29,49.68,161254,49.68
20190308,49.26,49.9,49.17,49.8,141672,49.8
20190311,50.0,50.1,49.63,49.76,164202,49.76
20190312,49.78,50.05,49.54,49.65,154595,49.65
20190313,49.87,50.08,49.61,49.92,168861,49.92
20190314,50.07,50.79,49.93,50.35,147402,50.35
20190315,50.19,50.8,50.0,50.66,196470,50.66
20190318,50.84,52.07,50.83,51.73,155846,51.73
20190319,52.42,52.42,51.34,51.41,132727,51.41
20190320,51.19,51.57,50.33,50.4,170621,50.4
20190321,49.98,50.14,49.16,49.86,210710,49.86
20190322,49.25,49.47,48.0,48.31,240562,48.31
20190325,48.42,48.89,47.85,48.08,144547,48.08
20190326,48.52,49.04,48.41,49.01,146644,49.01
20190327,48.94,49.19,48.45,48.77,114364,48.77
20190328,48.73,49.22,48.35,49.09,124931,49.09
20190329,49.8,49.8,47.8,48.32,473379,48.32
20190401,48.4,48.9,48.17,48.81,381788,48.81
20190402,48.54,48.88,47.96,48.21,311546,48.21
20190403,48.47,48.87,48.08,48.86,264263,48.86
20190404,48.95,49.68,48.88,49.17,173424,49.17
20190405,49.26,49.41,48.6,48.78,196626,48.78
20190408,48.64,49.1,48.58,48.88,148876,48.88
20190409,48.68,48.71,48.01,48.14,191343,48.14
20190410,48.08,48.19,47.39,47.79,253760,47.79
20190411,47.93,48.26,47.38,47.74,297132,47.74
20190412,47.75,48.82,46.06,46.49,611604,46.49
20190415,45.87,47.06,45.66,46.77,304079,46.77
20190416,46.88,47.87,46.87,47.65,219650,47.65
20190417,47.96,47.96,46.92,47.55,200569,47.55
20190418,47.44,47.87,47.12,47.58,166197,47.58
