Date,Open,High,Low,Close,Volume,Adj Close
20191122,120.15,120.3,119.27,119.36,23287,119.36
20191125,120.0,120.02,117.9,118.92,39186,118.92
20191126,118.96,119.3,118.45,119.19,30509,119.19
20191127,119.33,119.8,118.73,118.76,24903,118.76
20191129,119.14,119.97,119.0,119.09,21370,119.09
20191202,119.21,119.38,117.84,119.28,36985,119.28
20191203,118.4,118.96,117.77,118.67,37768,118.67
20191204,119.12,119.2,118.3,118.69,36991,118.69
20191205,118.36,118.78,117.42,118.66,25934,118.66
20191206,119.08,119.8,118.92,119.78,28145,119.78
20191209,119.57,119.86,119.18,119.36,25246,119.36
20191210,119.35,119.56,119.02,119.14,22169,119.14
20191211,119.4,119.65,118.53,119.0,21430,119.0
20191212,119.0,120.11,118.68,119.76,24642,119.76
20191213,119.16,120.65,119.02,120.29,24823,120.29
20191216,120.42,121.35,120.42,120.54,24121,120.54
20191217,120.95,121.7,120.7,121.28,27689,121.28
20191218,121.51,121.68,119.84,119.86,29405,119.86
20191219,119.94,120.51,119.78,120.08,23704,120.08
20191220,121.48,122.12,120.02,120.29,42140,120.29
20191223,120.2,120.69,119.01,119.03,28543,119.03
20191224,119.13,119.6,119.01,119.51,16050,119.51
20191226,119.61,119.85,118.95,119.52,26030,119.52
20191227,119.94,119.97,119.24,119.59,20444,119.59
20191230,119.8,119.81,119.13,119.4,18790,119.4
20191231,119.5,119.8,118.19,118.84,29157,118.84
20200102,118.86,119.89,118.7,118.94,43653,118.94
20200103,118.27,118.79,117.59,117.89,30463,117.89
20200106,117.4,118.09,116.77,117.65,31252,117.65
20200107,117.26,117.52,116.2,116.56,39380,116.56
20200108,116.3,116.73,115.68,116.16,39414,116.16
20200109,116.15,117.37,116.08,117.36,35126,117.36
20200110,117.24,117.34,115.98,116.38,41247,116.38
20200113,116.38,116.55,115.37,115.88,35096,115.88
20200114,115.49,116.21,115.13,116.18,38657,116.18
20200115,114.63,115.87,114.52,115.28,51231,115.28
20200116,115.5,115.93,115.28,115.9,31602,115.9
20200117,116.05,116.3,114.64,114.96,65115,114.96
20200121,114.59,115.69,114.51,115.59,48807,115.59
20200122,115.22,116.53,115.18,116.1,31629,116.1
20200123,116.21,116.31,115.04,115.81,22398,115.81
20200124,116.0,116.03,114.15,114.37,29580,114.37
20200127,113.19,116.23,112.68,115.86,50937,115.86
20200128,115.98,116.9,115.94,116.6,28923,116.6
20200129,116.56,117.12,115.89,115.89,22490,115.89
20200130,115.61,116.72,115.33,116.58,29379,116.58
20200131,115.8,116.26,113.9,114.49,48829,114.49
20200203,114.9,115.39,114.1,114.27,28233,114.27
20200204,115.24,116.24,114.89,115.27,31205,115.27
20200205,115.6,116.95,114.85,116.81,31174,116.81
20200206,116.83,117.23,116.06,116.31,35048,116.31
20200207,116.11,116.76,115.76,116.45,24487,116.45
20200210,115.75,116.98,115.04,115.25,40070,115.25
20200211,115.43,115.5,114.44,115.4,40263,115.4
20200212,115.5,116.42,115.41,115.85,31804,115.85
20200213,115.85,117.54,115.58,117.44,37462,117.44
20200214,117.67,118.57,117.15,117.89,46986,117.89
20200218,118.47,119.95,117.36,119.63,82309,119.63
20200219,119.5,119.94,117.68,117.68,52648,117.68
20200220,117.21,118.11,116.86,117.69,35837,117.69
20200221,117.37,118.75,117.31,118.58,39344,118.58
20200224,117.46,118.46,115.95,116.32,46883,116.32
20200225,116.35,117.07,114.05,114.39,52264,114.39
20200226,114.7,115.17,113.65,113.78,45476,113.78
20200227,112.56,114.07,110.35,110.4,65068,110.4
20200228,107.69,108.52,104.37,107.68,116979,107.68
20200302,107.6,116.4,107.29,115.88,103299,115.88
20200303,116.1,117.53,112.34,112.91,71790,112.91
20200304,114.24,116.84,113.47,116.77,54700,116.77
20200305,114.4,117.25,113.91,115.92,57426,115.92
20200306,113.87,117.91,113.01,117.23,67407,117.23
20200309,113.82,120.63,112.73,117.16,142705,117.16
20200310,118.1,120.68,114.92,119.79,86715,119.79
20200311,117.51,119.03,112.8,114.43,71709,114.43
20200312,106.02,111.49,102.98,104.05,142706,104.05
20200313,108.53,114.59,103.88,114.1,103625,114.1
20200316,105.2,111.33,102.0,106.76,87985,106.76
20200317,112.77,119.27,110.46,119.26,132082,119.26
20200318,115.0,128.08,114.5,122.58,195674,122.58
20200319,124.46,127.0,117.63,119.45,128070,119.45
20200320,119.5,122.79,111.89,113.97,127460,113.97
20200323,114.17,117.54,112.21,114.28,96354,114.28
20200324,115.87,117.37,111.31,115.03,99519,115.03
20200325,112.97,114.0,108.05,109.4,121905,109.4
20200326,109.45,110.87,106.84,109.82,145684,109.82
20200327,110.11,112.28,108.6,109.58,91100,109.58
20200330,111.86,115.8,110.93,115.19,69580,115.19
20200331,114.31,116.19,112.64,113.62,59325,113.62
20200401,112.15,115.53,111.8,114.14,68978,114.14
20200402,113.18,119.11,112.33,118.65,63245,118.65
20200403,117.21,119.91,117.03,119.48,76254,119.48
20200406,119.06,126.39,118.94,126.07,112852,126.07
20200407,124.32,126.49,121.64,121.99,88978,121.99
20200408,123.69,123.81,120.59,121.84,65574,121.84
20200409,118.22,122.87,117.66,121.8,81769,121.8
20200413,121.27,125.67,121.17,125.3,53999,125.3
20200414,127.1,129.79,126.03,129.0,77745,129.0
20200415,128.62,129.88,127.12,128.76,54208,128.76
20200416,129.0,132.92,128.25,132.33,77747,132.33
20200417,131.48,132.97,129.72,132.12,71853,132.12
20200420,132.39,133.38,129.76,129.85,52849,129.85
20200421,130.07,131.03,128.16,129.21,60027,129.21
20200422,130.0,132.38,128.9,131.59,46013,131.59
20200423,129.85,131.09,127.73,128.53,72364,128.53
20200424,129.35,129.89,128.56,129.44,35542,129.44
20200427,130.0,130.31,128.17,128.3,39085,128.3
20200428,128.48,130.24,127.7,128.0,51349,128.0
20200429,125.57,125.76,122.55,123.6,113314,123.6
20200430,123.08,123.44,121.04,121.55,92877,121.55
20200501,121.48,123.69,120.78,122.92,77946,122.92
20200504,123.74,124.4,121.71,123.7,43244,123.7
20200505,123.8,125.26,123.26,124.73,46698,124.73
20200506,125.21,125.49,122.84,123.3,38329,123.3
20200507,123.46,123.98,121.5,121.89,49017,121.89
20200508,122.68,123.01,121.62,122.94,51022,122.94
20200511,123.04,124.31,123.01,123.67,47928,123.67
20200512,124.48,125.66,123.78,123.78,46644,123.78
20200513,123.5,126.24,123.09,123.71,74876,123.71
20200514,124.85,125.13,121.3,123.42,57818,123.42
20200515,123.47,125.94,123.09,125.94,65368,125.94
20200518,127.5,128.56,126.1,127.66,95500,127.66
20200519,131.75,131.99,124.81,124.95,197374,124.95
20200520,126.49,126.59,124.63,125.45,82404,125.45
20200521,124.89,126.14,124.25,124.99,55230,124.99
20200522,125.1,125.35,123.77,124.33,55777,124.33
20200526,124.34,125.51,123.63,123.86,56070,123.86
20200527,123.97,124.49,121.03,122.48,70901,122.48
20200528,123.67,124.95,123.16,123.69,60497,123.69
20200529,124.24,124.71,121.93,124.06,56978,124.06
20200601,123.44,124.41,122.36,123.96,51145,123.96
