Date,Open,High,Low,Close,Volume,Adj Close
20190214,280.6,282.84,278.95,281.5,10152,281.5
20190215,283.58,284.09,278.79,281.93,11107,281.93
20190219,281.15,282.83,280.15,281.66,9296,281.66
20190220,283.25,286.63,282.27,283.42,9394,283.42
20190221,283.24,283.35,278.93,280.94,7737,280.94
20190222,279.95,280.0,274.66,276.5,18542,276.5
20190225,280.92,280.92,278.48,278.6,10547,278.6
20190226,277.93,278.01,274.45,275.0,19224,275.0
20190227,273.22,275.1,269.58,271.49,17942,271.49
20190228,269.97,275.71,268.63,275.36,17268,275.36
20190301,277.73,278.17,271.13,272.75,11531,272.75
20190304,275.0,276.58,270.86,274.89,10583,274.89
20190305,275.5,280.44,274.53,277.01,14969,277.01
20190306,276.66,276.93,270.48,271.35,12402,271.35
20190307,270.18,270.34,264.08,265.51,14556,265.51
20190308,261.56,264.76,259.2,264.19,14236,264.19
20190311,264.89,270.55,264.05,269.06,13720,269.06
20190312,269.76,270.03,264.27,269.63,12933,269.63
20190313,270.51,273.08,269.02,271.21,17335,271.21
20190314,272.09,272.26,267.89,268.2,25628,268.2
20190315,286.46,299.55,283.5,290.29,83817,290.29
20190318,291.08,296.98,290.21,293.84,38764,293.84
20190319,294.16,300.98,294.11,299.31,37397,299.31
20190320,297.93,299.0,290.29,291.03,27277,291.03
20190321,291.88,299.37,291.0,296.8,16767,296.8
20190322,295.92,296.44,291.4,292.65,14673,292.65
20190325,292.2,294.18,289.0,292.16,16283,292.16
20190326,294.37,299.47,294.22,297.03,18742,297.03
20190327,297.57,298.68,292.46,295.97,14121,295.97
20190328,297.11,303.3,295.67,299.07,21560,299.07
20190329,301.22,302.68,298.28,300.71,12866,300.71
20190401,303.82,306.75,299.75,305.79,16304,305.79
20190402,306.16,307.35,302.61,303.05,13238,303.05
20190403,306.22,307.4,301.82,304.2,13543,304.2
20190404,304.75,306.0,301.67,302.0,9784,302.0
20190405,304.0,304.44,301.8,304.28,11050,304.28
20190408,304.14,305.3,301.99,304.48,7577,304.48
20190409,302.58,304.11,300.29,303.45,6290,303.45
20190410,303.6,307.77,303.0,307.51,9084,307.51
20190411,308.15,310.19,306.23,309.41,11003,309.41
20190412,311.48,317.44,310.57,317.03,21089,317.03
20190415,317.03,317.52,313.16,316.4,9835,316.4
20190416,320.0,320.01,316.1,318.5,11376,318.5
20190417,320.24,320.94,317.84,320.53,11122,320.53
20190418,321.04,322.45,318.16,318.62,18112,318.62
20190422,317.32,317.89,314.2,315.0,8701,315.0
20190423,316.76,318.09,314.19,315.64,9987,315.64
20190424,314.58,317.01,313.19,314.33,16203,314.33
20190425,312.95,312.95,306.57,311.82,14468,311.82
20190426,309.15,310.95,305.11,310.41,9889,310.41
20190429,311.24,314.67,310.44,312.72,7509,312.72
20190430,313.36,318.42,312.53,318.4,8812,318.4
20190501,320.5,323.2,318.68,318.9,10139,318.9
20190502,320.01,322.19,314.23,315.82,10879,315.82
20190503,314.95,316.65,310.69,315.71,10610,315.71
20190506,306.79,311.93,305.35,311.57,8352,311.57
20190507,308.2,309.62,303.73,307.29,10648,307.29
20190508,305.3,307.66,303.11,303.39,8795,303.39
20190509,299.55,305.85,296.85,304.06,14038,304.06
20190510,303.23,305.41,296.66,303.96,12179,303.96
20190513,294.0,295.68,288.2,293.38,23535,293.38
20190514,295.53,304.6,295.48,302.0,15245,302.0
20190515,300.27,307.77,298.61,304.37,9642,304.37
20190516,299.75,303.1,294.7,297.29,19532,297.29
20190517,292.9,293.57,288.41,289.89,26317,289.89
20190520,279.35,279.95,268.64,272.59,45724,272.59
20190521,277.09,279.78,274.65,275.33,15004,275.33
20190522,270.48,275.06,268.97,269.22,22486,269.22
20190523,264.58,265.49,258.17,260.09,31002,260.09
20190524,262.7,265.74,255.74,255.94,18666,255.94
20190528,256.8,257.73,250.09,254.48,30972,254.48
20190529,252.74,256.37,251.58,254.12,18348,254.12
20190530,254.66,257.34,254.12,256.62,10235,256.62
20190531,253.04,255.74,251.0,251.64,11715,251.64
20190603,252.55,258.33,251.2,253.18,18377,253.18
20190604,256.96,266.0,255.76,265.7,22992,265.7
20190605,269.06,271.51,262.4,265.72,15201,265.72
20190606,267.02,275.0,265.28,272.79,20341,272.79
20190607,274.78,277.88,273.28,274.87,16580,274.87
20190610,276.73,284.77,276.72,280.21,13710,280.21
20190611,290.49,291.75,279.41,283.48,24122,283.48
20190612,281.42,283.16,277.41,279.73,17896,279.73
20190613,281.52,282.89,277.41,281.61,18223,281.61
20190614,258.11,268.09,257.47,265.93,72125,265.93
20190617,264.84,268.7,261.34,265.97,24817,265.97
20190618,268.15,283.02,266.46,278.05,36781,278.05
20190619,278.79,279.07,273.71,277.49,16277,277.49
20190620,282.51,285.45,277.16,279.05,21615,279.05
20190621,276.61,281.0,273.96,273.99,21502,273.99
20190624,275.45,279.45,275.0,279.2,12075,279.2
20190625,279.16,282.88,276.02,276.51,11189,276.51
20190626,278.58,284.03,278.1,281.44,12135,281.44
20190627,282.93,288.45,282.23,285.71,13464,285.71
20190628,287.86,289.3,284.82,287.86,12329,287.86
20190701,301.68,305.75,296.32,300.35,29578,300.35
20190702,298.88,300.67,293.9,295.33,10959,295.33
20190703,283.7,288.78,283.01,284.89,32728,284.89
20190705,283.65,285.44,281.97,282.66,16487,282.66
20190708,280.0,281.19,274.39,274.96,23729,274.96
20190709,273.45,275.98,272.41,275.53,17124,275.53
20190710,277.86,278.8,274.0,274.5,19994,274.5
20190711,275.38,277.46,272.95,276.06,14085,276.06
20190712,278.16,285.93,276.38,285.39,14316,285.39
20190715,291.25,294.49,287.27,288.34,20505,288.34
20190716,286.99,287.79,282.39,284.13,8648,284.13
20190717,285.56,287.29,283.19,285.08,9599,285.08
20190718,286.18,290.3,283.8,289.78,12524,289.78
20190719,291.56,293.16,289.53,290.0,13178,290.0
20190722,293.0,299.99,292.24,296.15,18154,296.15
20190723,299.5,302.36,299.21,300.78,12019,300.78
20190724,301.2,304.88,300.5,303.77,11443,303.77
20190725,302.13,302.13,299.4,300.39,9279,300.39
20190726,301.59,303.02,300.53,300.92,6914,300.92
20190729,301.23,302.55,296.95,301.74,7153,301.74
20190730,299.09,300.93,297.1,299.56,6297,299.56
20190731,300.03,300.83,286.67,289.99,11487,289.99
20190801,289.13,297.82,282.32,285.34,11915,285.34
20190802,282.07,283.84,275.91,278.53,11078,278.53
20190805,271.95,272.24,264.08,267.66,14646,267.66
20190806,270.13,272.18,264.56,266.44,12160,266.44
20190807,264.03,272.73,263.0,270.05,11055,270.05
20190808,270.38,272.56,262.5,270.98,17813,270.98
20190809,269.58,280.55,269.58,275.73,18341,275.73
20190812,273.38,278.21,272.54,275.64,9965,275.64
20190813,275.3,285.5,272.03,283.7,13454,283.7
20190814,278.79,280.16,270.38,271.56,15735,271.56
20190815,272.0,272.78,264.85,268.64,10396,268.64
20190816,272.15,275.75,271.98,273.78,9973,273.78
20190819,279.5,280.07,275.61,278.78,7893,278.78
20190820,278.16,284.96,277.01,280.37,8653,280.37
20190821,284.64,288.26,284.05,287.5,12384,287.5
20190822,288.39,289.41,284.55,287.62,6866,287.62
20190823,283.99,285.48,271.05,272.13,12609,272.13
20190826,276.95,277.95,275.0,277.22,7069,277.22
20190827,279.15,280.22,274.91,275.57,7139,275.57
20190828,274.33,276.41,270.47,276.06,9504,276.06
20190829,281.49,285.49,281.05,283.37,9572,283.37
20190830,285.46,285.9,279.9,282.64,7298,282.64
20190903,280.14,280.85,270.93,274.05,12840,274.05
20190904,278.79,284.35,278.2,283.02,10984,283.02
20190905,288.36,293.68,288.35,291.02,11401,291.02
20190906,291.57,293.3,289.3,291.91,7792,291.91
20190909,295.0,297.2,290.4,292.61,10912,292.61
20190910,291.35,294.45,288.82,294.44,12110,294.44
20190911,296.32,298.78,294.55,298.01,9980,298.01
20190912,300.07,302.33,296.47,300.58,18039,300.58
20190913,297.99,297.99,283.89,290.32,44651,290.32
20190916,286.79,290.27,285.7,288.66,11250,288.66
20190917,288.02,289.3,283.75,288.83,14577,288.83
20190918,288.23,290.76,283.88,287.74,8841,287.74
20190919,288.59,291.95,287.23,290.64,12403,290.64
20190920,287.67,288.4,281.82,284.26,17372,284.26
20190923,283.62,287.16,282.08,285.46,7189,285.46
20190924,287.32,288.9,279.75,282.31,9735,282.31
20190925,271.75,277.21,270.0,275.77,37759,275.77
20190926,275.26,278.66,272.68,276.91,14203,276.91
20190927,276.63,281.28,272.96,274.14,15314,274.14
20190930,275.75,276.72,272.5,276.07,10919,276.07
