Date,Open,High,Low,Close,Volume,Adj Close
20190214,167.64,168.5,166.61,168.38,61301,168.38
20190215,168.61,168.77,165.41,166.15,85477,166.15
20190219,166.98,171.15,166.5,170.18,93013,170.18
20190220,171.0,172.68,170.61,170.71,96836,170.71
20190221,171.0,171.78,169.8,171.66,62762,171.66
20190222,172.8,177.02,172.52,176.92,124470,176.92
20190225,181.3,183.72,180.73,183.25,187047,183.25
20190226,179.79,184.35,179.37,183.54,108983,183.54
20190227,181.72,184.93,180.88,184.58,100820,184.58
20190228,183.01,184.3,181.47,183.03,92651,183.03
20190301,185.09,186.9,183.38,183.88,112410,183.88
20190304,186.0,187.34,184.46,187.25,115277,187.25
20190305,186.94,188.08,185.0,185.0,90592,185.0
20190306,184.38,185.59,183.02,184.17,78370,184.17
20190307,180.91,181.8,176.73,177.32,126336,177.32
20190308,171.56,175.35,171.56,175.03,110861,175.03
20190311,177.83,181.72,177.58,180.41,93801,180.41
20190312,182.04,182.18,179.51,180.63,53717,180.63
20190313,180.73,182.54,179.26,180.7,58390,180.7
20190314,179.06,180.82,178.01,180.36,66465,180.36
20190315,180.66,181.45,179.66,180.97,63575,180.97
20190318,181.93,182.89,180.76,181.83,53348,181.83
20190319,181.63,183.36,180.85,182.14,80403,182.14
20190320,180.94,181.95,178.43,181.28,80640,181.28
20190321,178.95,181.73,178.52,181.5,73005,181.5
20190322,179.77,180.48,175.33,176.26,89807,176.26
20190325,174.33,178.9,174.1,178.77,56356,178.77
20190326,179.7,180.65,177.09,178.08,56269,178.08
20190327,177.7,179.83,176.91,177.03,56461,177.03
20190328,177.47,178.53,175.97,177.73,51797,177.73
20190329,180.73,182.6,179.0,182.45,102380,182.45
20190401,185.09,185.56,180.89,180.89,101579,180.89
20190402,181.46,183.57,180.95,181.74,61029,181.74
20190403,179.51,180.7,176.76,178.32,214880,178.32
20190404,177.04,181.96,176.89,181.07,143913,181.07
20190405,182.51,185.5,182.0,185.35,139220,185.35
20190408,184.19,187.82,184.01,186.5,107109,186.5
20190409,186.61,187.89,186.16,187.19,89887,187.19
20190410,186.69,187.4,184.0,186.19,83024,186.19
20190411,185.15,186.06,183.75,184.98,64128,184.98
20190412,187.71,189.79,187.14,188.91,96402,188.91
20190415,188.03,188.17,182.56,183.07,107599,183.07
20190416,185.55,185.79,183.4,185.78,76435,185.78
20190417,187.34,188.2,185.78,187.55,84507,187.55
20190418,186.41,187.28,185.39,186.94,51625,186.94
20190422,184.5,186.47,183.61,185.38,53434,185.38
20190423,186.0,188.15,185.44,187.29,74703,187.29
20190424,186.76,186.9,184.58,185.67,62891,185.67
20190425,185.24,188.13,183.95,187.88,75422,187.88
20190426,188.01,188.74,185.51,187.09,63582,187.09
20190429,187.42,188.0,185.76,186.94,52033,186.94
20190430,186.3,188.25,183.82,185.57,95369,185.57
20190501,186.75,193.2,185.88,189.31,137491,189.31
20190502,189.42,192.7,186.65,190.39,93520,190.39
20190503,191.88,195.72,191.88,195.21,100676,195.21
20190506,185.37,189.0,184.83,188.24,186673,188.24
20190507,186.05,186.45,179.63,181.43,182600,181.43
20190508,180.95,183.2,178.58,179.59,128785,179.59
20190509,175.43,180.7,173.07,179.04,186696,179.04
20190510,180.18,180.79,174.1,178.0,124193,178.0
20190513,169.79,172.47,168.78,170.01,166212,170.01
20190514,172.75,175.15,171.48,174.84,133947,174.84
20190515,177.06,180.24,173.32,177.6,268714,177.6
20190516,178.0,178.25,174.75,175.57,157505,175.57
20190517,171.69,172.29,168.49,169.57,167593,169.57
20190520,164.44,164.57,160.02,160.65,246907,160.65
20190521,163.16,165.59,162.52,163.43,164404,163.43
20190522,162.4,162.82,158.07,158.83,201261,158.83
20190523,155.45,158.48,154.41,156.0,204002,156.0
20190524,157.35,158.43,154.9,155.0,168387,155.0
20190528,156.4,157.07,153.22,154.81,187148,154.81
20190529,153.75,154.39,150.71,152.48,211260,152.48
20190530,152.36,153.37,150.25,151.07,134800,151.07
20190531,149.77,150.68,147.95,149.26,194920,149.26
20190603,149.6,151.77,148.84,149.91,181014,149.91
20190604,151.56,155.2,150.64,154.15,160871,154.15
20190605,155.17,156.11,149.31,151.65,171700,151.65
20190606,152.0,152.7,150.57,151.5,105260,151.5
20190607,152.9,155.69,152.21,154.23,143337,154.23
20190610,158.78,161.98,157.4,159.85,245999,159.85
20190611,164.2,165.68,161.92,162.65,180422,162.65
20190612,160.47,161.7,158.81,160.04,115438,160.04
20190613,160.55,161.32,159.8,160.33,106271,160.33
20190614,158.29,158.71,157.23,158.1,105363,158.1
20190617,157.53,160.55,157.42,159.91,102750,159.91
20190618,162.89,169.11,161.95,165.51,253180,165.51
20190619,167.7,167.9,163.42,165.46,148112,165.46
20190620,170.19,170.48,166.27,168.25,157315,168.25
20190621,167.48,169.48,166.77,167.55,117155,167.55
20190624,168.4,168.88,165.78,168.1,121510,168.1
20190625,167.04,167.34,164.62,165.8,140728,165.8
20190626,168.29,171.24,168.15,168.99,165913,168.99
20190627,170.62,171.98,169.38,170.9,140835,170.9
20190628,170.2,170.89,167.96,169.45,123181,169.45
20190701,175.87,177.95,174.36,175.05,203678,175.05
20190702,175.13,175.55,174.25,175.45,115840,175.45
20190703,175.69,175.85,173.85,174.67,66807,174.67
20190705,173.75,173.82,172.82,173.3,97946,173.3
20190708,170.21,170.28,168.35,168.45,124755,168.45
20190709,167.09,168.98,166.5,168.8,115878,168.8
20190710,171.24,171.37,166.86,166.93,130778,166.93
20190711,167.56,168.43,165.0,166.55,122323,166.55
20190712,168.0,170.2,167.65,169.07,147278,169.07
20190715,171.5,173.75,170.42,173.5,174617,173.5
20190716,174.2,175.52,173.46,174.19,155196,174.19
20190717,172.75,176.22,172.49,174.82,122470,174.82
20190718,173.41,174.4,172.06,172.8,103142,172.8
20190719,174.87,175.15,172.99,172.99,103804,172.99
20190722,173.5,174.28,171.43,174.0,130302,174.0
20190723,175.39,178.64,174.84,178.09,151229,178.09
20190724,178.0,178.93,176.93,178.67,102481,178.67
20190725,178.49,179.15,175.36,177.29,100843,177.29
20190726,178.25,179.4,176.88,178.74,110706,178.74
20190729,178.38,179.88,175.35,177.02,101158,177.02
20190730,174.25,175.71,172.89,174.1,102290,174.1
20190731,173.71,174.89,170.09,173.11,115290,173.11
20190801,174.54,175.72,162.1,165.65,276188,165.65
20190802,162.56,163.85,160.35,161.0,212048,161.0
20190805,155.03,157.23,151.85,153.67,225404,153.67
20190806,158.48,158.73,156.11,157.43,180096,157.43
20190807,155.73,159.48,155.3,159.17,135838,159.17
20190808,161.71,162.3,159.12,162.22,130290,162.22
20190809,160.98,161.99,159.11,159.12,85951,159.12
20190812,157.5,159.36,155.54,159.3,106916,159.3
20190813,160.84,167.36,159.57,164.03,182247,164.03
20190814,161.34,163.0,159.21,162.06,158747,162.06
20190815,170.11,171.0,164.36,166.97,264011,166.97
20190816,170.0,177.55,168.57,174.6,193960,174.6
20190819,177.43,178.8,175.59,178.28,122965,178.28
