Date,Open,High,Low,Close,Volume,Adj Close
20190214,408.93,412.22,407.8,409.82,15039,409.82
20190215,412.48,418.05,411.43,417.97,27267,417.97
20190219,415.5,417.94,414.54,416.26,20627,416.26
20190220,417.14,421.84,417.11,421.55,24491,421.55
20190221,421.58,422.41,415.67,417.58,19694,417.58
20190222,419.7,424.47,419.14,424.05,21363,424.05
20190225,427.49,429.92,426.52,426.87,22509,426.87
20190226,426.0,429.0,424.25,426.77,16358,426.77
20190227,427.17,436.33,427.15,435.44,34580,435.44
20190228,438.7,441.42,437.08,439.96,35010,439.96
20190301,446.01,446.01,440.19,440.62,34430,440.62
20190304,443.22,444.5,426.63,432.69,41434,432.69
20190305,431.04,433.85,428.64,430.12,17658,430.12
20190306,429.7,432.0,422.08,424.46,28342,424.46
20190307,423.36,427.7,416.44,422.56,31204,422.56
20190308,416.77,423.43,415.5,422.54,23416,422.54
20190311,371.4,402.67,365.55,400.01,243936,400.01
20190312,384.71,390.0,368.0,375.41,274860,375.41
20190313,378.43,381.77,363.33,377.14,238432,377.14
20190314,374.99,380.39,372.1,373.3,103102,373.3
20190315,370.88,385.71,366.45,378.99,188364,378.99
20190318,370.0,373.07,367.2,372.28,97127,372.28
20190319,371.14,378.77,371.01,373.43,71421,373.43
20190320,374.7,380.8,373.68,376.16,63636,376.16
20190321,374.04,377.0,372.23,372.7,51698,372.7
20190322,368.79,369.86,361.52,362.17,76097,362.17
20190325,365.0,371.21,362.89,370.46,61890,370.46
20190326,375.58,375.6,367.6,370.38,44447,370.38
20190327,371.89,376.66,365.55,374.21,70924,374.21
20190328,376.6,376.66,372.33,374.44,34923,374.44
20190329,376.52,382.18,374.74,381.42,52131,381.42
20190401,386.09,392.9,383.1,391.54,56566,391.54
20190402,388.5,394.83,388.5,390.75,48479,390.75
20190403,389.68,391.54,384.07,384.74,52139,384.74
20190404,385.99,397.06,385.1,395.86,72316,395.86
20190405,398.07,398.66,390.95,391.93,41664,391.93
20190408,376.2,379.8,371.86,374.52,105761,374.52
20190409,370.2,372.24,367.75,369.04,59967,369.04
20190410,368.4,368.79,362.92,364.94,61368,364.94
20190411,364.62,371.08,364.21,370.16,49204,370.16
20190412,375.75,379.95,372.0,379.64,55023,379.64
20190415,376.6,377.9,373.68,375.46,24807,375.46
20190416,376.51,384.64,375.03,381.72,52938,381.72
20190417,384.1,384.19,377.48,377.52,28570,377.52
20190418,377.52,382.17,377.52,380.07,31770,380.07
20190422,375.69,378.95,374.9,375.17,29393,375.17
20190423,375.54,376.87,372.61,374.02,34830,374.02
20190424,377.89,381.15,373.66,375.46,69707,375.46
20190425,376.01,384.8,372.76,382.8,47002,382.8
20190426,383.82,384.0,378.14,380.79,29083,380.79
20190429,378.49,385.3,376.76,379.05,39817,379.05
20190430,379.5,381.14,375.05,377.69,22777,377.69
20190501,378.53,381.2,376.38,376.8,18859,376.8
20190502,375.5,377.65,373.25,375.8,17156,375.8
20190503,376.08,377.9,374.22,376.46,17256,376.46
20190506,367.88,372.48,365.63,371.6,31864,371.6
20190507,366.33,367.71,355.02,357.23,70077,357.23
20190508,357.77,361.52,353.33,359.75,43012,359.75
20190509,354.76,355.65,347.47,354.13,42378,354.13
20190510,351.87,355.54,347.55,354.67,27945,354.67
20190513,344.51,346.63,337.0,337.37,49074,337.37
20190514,339.9,346.1,337.22,343.04,30805,343.04
20190515,339.8,348.8,337.64,345.64,32856,345.64
20190516,348.64,356.5,345.82,353.81,41966,353.81
20190517,351.5,359.99,351.16,355.02,36581,355.02
20190520,353.0,355.95,350.53,352.79,21119,352.79
20190521,358.03,360.77,354.88,358.75,25441,358.75
20190522,357.22,357.57,351.75,352.78,25082,352.78
20190523,345.92,351.47,341.15,350.55,35203,350.55
20190524,355.0,361.4,353.0,354.9,39498,354.9
20190528,355.29,359.31,354.88,354.88,23173,354.88
20190529,352.59,352.79,346.05,348.8,25161,348.8
20190530,350.0,351.92,347.93,349.87,15213,349.87
20190531,345.85,345.85,341.36,341.61,20185,341.61
20190603,338.2,339.11,330.67,338.89,32788,338.89
20190604,342.57,346.41,340.12,344.62,18683,344.62
20190605,346.22,353.25,332.49,348.75,20548,348.75
20190606,348.18,351.64,345.58,350.64,17517,350.64
20190607,352.3,355.28,352.3,353.7,16635,353.7
20190610,356.0,357.4,353.55,353.8,15794,353.8
20190611,355.42,355.48,348.13,349.33,18532,349.33
20190612,349.0,349.27,342.79,347.03,17516,347.03
20190613,347.25,349.06,344.1,348.86,16588,348.86
20190614,348.0,349.17,345.88,347.16,13795,347.16
20190617,348.62,356.05,347.05,354.9,27352,354.9
20190618,357.61,374.65,357.6,373.96,67433,373.96
20190619,375.5,379.31,368.35,368.56,37477,368.56
20190620,373.0,375.79,368.96,374.88,25163,374.88
20190621,374.39,376.11,371.72,371.84,27501,371.84
20190624,372.95,375.49,372.1,373.99,14374,373.99
20190625,374.75,375.25,368.03,369.32,17872,369.32
20190626,371.02,378.98,370.0,374.94,32292,374.94
20190627,367.54,369.93,362.35,364.02,65866,364.02
20190628,363.92,366.23,361.57,364.01,26573,364.01
20190701,364.88,365.23,353.32,356.46,45559,356.46
20190702,355.63,356.79,352.69,354.16,26438,354.16
20190703,354.5,354.85,352.26,354.47,14699,354.47
20190705,354.0,357.25,351.43,355.86,16838,355.86
20190708,350.41,352.97,349.4,351.12,21623,351.12
20190709,349.05,353.85,347.9,353.09,34066,353.09
20190710,354.13,356.52,351.25,352.3,20065,352.3
20190711,352.62,359.26,350.7,359.0,37630,359.0
20190712,360.0,365.45,358.14,365.33,26406,365.33
20190715,360.5,362.85,359.02,361.61,35047,361.61
20190716,361.26,365.35,361.2,362.75,21768,362.75
20190717,362.75,369.75,362.0,369.52,29989,369.52
20190718,367.6,368.45,359.75,361.11,28457,361.11
20190719,370.67,378.4,368.5,377.36,68348,377.36
20190722,376.94,382.48,371.89,373.42,31551,373.42
20190723,374.27,376.43,370.68,373.07,23602,373.07
20190724,370.28,371.36,360.03,361.43,54398,361.43
20190725,356.18,357.69,345.71,348.09,72474,348.09
20190726,346.2,348.43,342.0,345.0,30529,345.0
