Date,Open,High,Low,Close,Volume,Adj Close
20190214,173.5,174.96,171.55,174.08,14618,174.08
20190215,175.5,175.63,169.0,170.06,25790,170.06
20190219,169.53,173.6,169.2,172.45,22989,172.45
20190220,173.71,176.09,170.51,171.18,27947,171.18
20190221,171.73,172.89,169.73,171.81,29178,171.81
20190222,173.85,174.17,164.0,167.17,70522,167.17
20190225,170.01,170.55,164.86,165.0,46539,165.0
20190226,164.0,164.34,160.6,161.98,37129,161.98
20190227,161.55,163.4,160.64,162.17,25871,162.17
20190228,162.0,163.19,160.91,162.54,25175,162.54
20190301,164.18,165.5,161.98,162.09,20135,162.09
20190304,163.71,164.26,158.44,160.92,30727,160.92
20190305,161.47,170.28,161.11,167.74,45888,167.74
20190306,169.05,173.52,169.05,170.24,41527,170.24
20190307,169.63,170.0,164.9,165.72,23816,165.72
20190308,162.95,164.71,160.83,163.65,16980,163.65
20190311,165.6,167.56,164.46,166.96,13940,166.96
20190312,168.45,168.77,164.56,166.99,13872,166.99
20190313,167.8,170.77,167.1,168.17,18359,168.17
20190314,167.96,168.04,166.15,167.74,16041,167.74
20190315,169.21,170.95,168.75,170.48,17421,170.48
20190318,172.41,174.02,169.67,171.17,16117,171.17
20190319,172.11,172.18,169.97,170.73,11888,170.73
20190320,171.28,171.28,166.6,170.17,14616,170.17
20190321,168.7,171.94,168.7,171.77,13636,171.77
20190322,170.72,170.89,165.98,166.73,15949,166.73
20190325,165.57,167.19,163.76,166.88,10967,166.88
20190326,167.01,169.86,166.58,167.2,12853,167.2
20190327,167.36,167.99,164.18,164.29,14441,164.29
20190328,164.9,165.36,162.73,164.11,12413,164.11
20190329,165.65,166.0,163.46,164.85,18995,164.85
20190401,168.08,171.4,166.92,170.4,31289,170.4
20190402,170.41,174.15,168.88,170.98,19791,170.98
20190403,173.05,176.93,172.26,174.91,28725,174.91
20190404,175.86,180.73,175.14,179.13,29699,179.13
20190405,181.33,182.47,179.8,181.55,20214,181.55
20190408,181.54,186.22,180.39,184.77,29955,184.77
20190409,185.0,185.6,180.54,181.0,21368,181.0
20190410,179.19,179.55,175.56,177.04,30457,177.04
20190411,176.5,176.64,171.14,171.2,27704,171.2
20190412,173.6,173.89,170.78,173.09,24142,173.09
20190415,172.2,172.26,167.4,168.67,26714,168.67
20190416,170.0,171.46,168.88,170.28,14061,170.28
20190417,172.19,172.4,169.8,170.33,15851,170.33
20190418,171.0,172.2,169.12,171.02,13522,171.02
20190422,170.0,170.19,167.5,169.37,15354,169.37
20190423,170.0,174.12,168.82,173.29,19124,173.29
20190424,174.0,174.26,169.1,169.3,21713,169.3
20190425,169.0,169.07,166.44,167.93,20654,167.93
20190426,168.01,168.01,163.98,166.12,22708,166.12
20190429,167.0,168.56,164.9,165.85,19706,165.85
20190430,164.68,166.57,162.2,166.23,17950,166.23
20190501,166.58,168.63,165.37,165.42,13640,165.42
20190502,165.43,167.65,164.0,166.24,12697,166.24
20190503,167.4,168.34,166.55,167.04,16287,167.04
20190506,161.0,164.77,160.0,164.5,23298,164.5
20190507,162.9,163.22,160.6,162.13,21318,162.13
20190508,161.6,161.6,158.6,159.58,33709,159.58
20190509,156.35,159.65,153.87,158.7,28912,158.7
20190510,158.0,158.99,154.69,156.75,23180,156.75
20190513,151.63,153.8,150.02,151.54,36738,151.54
20190514,153.08,153.78,151.36,152.39,24204,152.39
20190515,151.73,153.54,150.88,152.5,21237,152.5
20190516,153.31,155.46,152.02,153.7,26036,153.7
20190517,130.58,134.13,126.91,128.31,227552,128.31
20190520,123.23,123.27,117.16,117.55,146466,117.55
20190521,119.22,121.12,118.16,120.49,74434,120.49
20190522,120.81,121.15,116.78,118.4,38951,118.4
20190523,115.31,115.77,113.3,113.46,51630,113.46
20190524,114.55,115.87,114.04,114.47,37299,114.47
20190528,115.01,115.57,113.92,114.14,24186,114.14
20190529,113.2,114.0,112.08,112.95,40294,112.95
20190530,112.48,113.19,111.03,111.82,30835,111.82
20190531,110.0,111.14,108.75,110.0,38432,110.0
20190603,109.76,110.26,106.8,107.78,41931,107.78
20190604,108.18,112.32,107.11,111.43,37550,111.43
20190605,111.63,111.75,107.35,109.14,33775,109.14
20190606,109.1,109.63,107.66,108.89,18210,108.89
20190607,109.1,110.65,109.03,109.81,18122,109.81
20190610,111.28,113.66,111.0,111.76,28891,111.76
20190611,113.93,117.39,113.81,115.37,47439,115.37
20190612,114.11,114.28,112.04,113.09,24449,113.09
20190613,113.98,114.26,112.51,114.01,19748,114.01
20190614,112.81,113.29,111.6,113.08,29710,113.08
20190617,113.3,114.46,112.38,114.33,21418,114.33
20190618,115.44,119.14,115.2,116.95,30278,116.95
20190619,118.16,118.38,116.05,117.8,32326,117.8
20190620,120.0,121.07,117.5,118.3,25479,118.3
20190621,117.92,118.03,116.08,116.91,22846,116.91
20190624,117.29,117.29,115.57,116.7,12698,116.7
20190625,115.57,115.9,112.4,113.26,23783,113.26
20190626,114.58,116.95,114.22,115.77,26032,115.77
20190627,116.54,116.75,114.62,116.04,14353,116.04
20190628,116.01,117.52,115.38,117.36,24490,117.36
20190701,121.37,121.8,117.37,118.01,29039,118.01
20190702,118.15,119.41,117.22,119.35,18687,119.35
20190703,120.2,120.2,116.94,118.56,19080,118.56
20190705,117.21,117.8,115.26,116.29,19691,116.29
20190708,115.1,115.1,113.14,113.2,24011,113.2
20190709,112.45,114.95,112.1,114.8,15465,114.8
20190710,116.16,116.76,114.04,114.4,16794,114.4
20190711,114.69,115.24,114.14,114.75,12493,114.75
20190712,114.85,115.65,114.11,114.9,19025,114.9
20190715,115.01,116.05,114.52,115.63,19256,115.63
20190716,115.5,115.6,113.7,114.23,19809,114.23
20190717,113.94,114.4,113.52,113.58,14132,113.58
20190718,113.19,113.49,111.6,111.79,30603,111.79
20190719,112.85,113.7,112.18,112.25,22216,112.25
20190722,112.25,113.15,111.45,111.7,17207,111.7
20190723,112.27,115.25,112.24,115.14,34849,115.14
20190724,114.8,116.76,113.61,116.38,19174,116.38
20190725,116.23,116.26,113.98,114.47,15348,114.47
20190726,115.01,115.27,114.02,114.22,12707,114.22
20190729,113.75,114.1,112.45,113.45,14866,113.45
20190730,112.2,113.33,111.75,112.75,23639,112.75
20190731,112.5,113.26,110.75,111.7,21321,111.7
20190801,111.53,112.97,108.75,109.21,40960,109.21
20190802,108.22,109.57,106.89,107.76,24488,107.76
20190805,104.03,104.09,99.28,100.15,51179,100.15
20190806,101.68,102.0,99.26,99.68,38507,99.68
20190807,98.39,101.11,97.77,99.19,27192,99.19
20190808,99.38,99.94,98.53,99.89,26910,99.89
20190809,99.17,99.25,96.6,97.36,22064,97.36
20190812,96.24,96.52,94.88,95.08,23569,95.08
20190813,94.34,99.0,93.88,97.38,33371,97.38
20190814,95.21,96.47,93.91,94.85,30986,94.85
20190815,95.55,95.9,93.39,94.35,27442,94.35
20190816,95.28,97.4,94.14,96.7,48082,96.7
20190819,100.0,105.3,100.0,104.22,77001,104.22
20190820,112.21,113.4,108.56,108.72,113716,108.72
20190821,109.61,109.9,105.34,107.9,51880,107.9
20190822,106.06,106.7,103.46,105.45,47245,105.45
20190823,103.4,105.57,101.55,101.85,39730,101.85
20190826,102.8,104.86,102.51,103.8,23060,103.8
20190827,104.78,106.61,103.35,103.84,22774,103.84
20190828,102.96,105.3,102.26,103.59,12883,103.59
20190829,105.22,106.91,104.74,104.83,21913,104.83
20190830,105.46,105.46,103.73,104.47,16929,104.47
20190903,103.32,104.46,102.46,102.56,15543,102.56
20190904,104.13,104.55,102.04,102.54,14866,102.54
20190905,103.75,105.11,103.29,104.12,24412,104.12
20190906,104.24,104.5,102.45,102.59,19562,102.59
20190909,102.72,105.2,102.37,105.06,27689,105.06
20190910,105.2,110.58,105.06,110.4,42847,110.4
20190911,111.94,113.26,109.38,111.79,37982,111.79
20190912,112.95,113.07,110.52,111.5,20349,111.5
20190913,111.97,112.0,109.88,110.54,24098,110.54
20190916,109.95,111.64,109.41,110.98,14632,110.98
20190917,110.5,110.5,108.07,109.04,21923,109.04
20190918,108.99,109.85,107.43,108.4,21371,108.4
20190919,108.56,109.26,107.62,107.77,15061,107.77
20190920,108.1,108.46,104.67,105.16,22392,105.16
20190923,104.49,104.94,102.3,102.37,21967,102.37
20190924,102.6,102.76,97.25,97.61,49416,97.61
20190925,97.94,103.03,97.42,102.8,30740,102.8
20190926,105.9,107.9,103.51,105.07,42282,105.07
20190927,105.49,106.3,100.3,101.21,44356,101.21
20190930,102.66,103.45,101.44,102.76,13643,102.76
20191001,102.8,103.26,101.0,102.0,12140,102.0
20191002,100.85,103.24,99.5,102.62,19782,102.62
20191003,102.35,104.73,101.15,104.32,13554,104.32
