Date,Open,High,Low,Close,Volume,Adj Close
20190214,159.47,160.44,156.7,159.47,36265,159.47
20190215,160.99,161.22,158.09,159.05,37754,159.05
20190219,159.66,161.48,159.14,160.61,26245,160.61
20190220,160.7,161.49,157.21,158.54,31526,158.54
20190221,157.7,160.48,157.3,159.63,30708,159.63
20190222,160.47,161.71,160.2,161.31,25461,161.31
20190225,162.51,163.06,160.93,161.36,32316,161.36
20190226,160.81,163.38,159.87,163.0,25307,163.0
20190227,162.29,163.53,160.5,163.12,27895,163.12
20190228,163.0,164.6,162.17,163.65,37942,163.65
20190301,165.15,166.15,161.75,164.53,51437,164.53
20190304,165.56,165.79,155.42,158.5,126023,158.5
20190305,159.92,160.88,154.8,156.97,119879,156.97
20190306,157.13,160.25,156.27,156.79,55273,156.79
20190307,156.09,157.59,154.81,155.6,46855,155.6
20190308,152.02,155.41,150.25,155.06,34483,155.06
20190311,155.89,157.77,153.43,157.65,45074,157.65
20190312,158.0,159.37,157.16,158.28,29842,158.28
20190313,158.85,162.0,158.61,159.81,39428,159.81
20190314,160.95,161.59,159.74,160.67,23128,160.67
20190315,160.64,162.18,159.19,161.51,42934,161.51
20190318,161.4,163.33,160.87,161.95,24168,161.95
20190319,162.52,164.62,161.6,163.93,29875,163.93
20190320,163.84,164.95,161.51,163.51,28903,163.51
20190321,163.17,166.99,162.75,166.95,32557,166.95
20190322,165.96,166.49,161.35,161.5,36046,161.5
20190325,160.23,161.6,159.22,160.88,22981,160.88
20190326,161.43,162.07,157.39,159.4,55051,159.4
20190327,159.0,159.3,152.37,155.12,65250,155.12
20190328,155.69,156.48,153.51,155.18,34532,155.18
20190329,156.87,158.5,155.42,158.37,33229,158.37
20190401,160.25,161.68,158.51,161.18,30435,161.18
20190402,160.86,160.99,158.91,160.51,23049,160.51
20190403,161.78,163.14,160.65,162.62,27564,162.62
20190404,162.71,162.8,155.83,158.52,49308,158.52
20190405,159.63,160.24,158.02,158.56,31677,158.56
20190408,158.4,158.79,156.45,158.47,19738,158.47
20190409,157.04,158.36,156.65,156.97,38555,156.97
20190410,158.2,160.38,157.65,160.24,25206,160.24
20190411,160.16,160.83,159.02,160.73,17243,160.73
20190412,162.0,162.5,159.5,160.71,18092,160.71
20190415,161.0,162.04,159.49,160.09,16805,160.09
20190416,160.04,160.26,157.75,158.69,21178,158.69
20190417,159.05,159.05,155.07,155.34,34852,155.34
20190418,154.9,156.21,153.17,155.99,31213,155.99
20190422,155.45,159.14,155.28,158.76,18080,158.76
20190423,159.76,161.4,158.41,161.23,22979,161.23
20190424,161.88,162.49,159.4,159.56,23747,159.56
20190425,162.0,163.89,161.0,163.09,37338,163.09
20190426,162.42,166.06,161.28,165.96,23435,165.96
20190429,166.71,167.56,165.33,165.36,31038,165.36
20190430,165.19,166.44,163.62,165.35,22362,165.35
20190501,166.01,166.22,162.14,162.15,17393,162.15
20190502,161.69,162.7,159.63,161.83,22303,161.83
20190503,162.58,163.5,160.86,163.34,21753,163.34
20190506,158.62,162.84,157.86,162.5,16837,162.5
20190507,161.33,161.67,154.75,156.9,43125,156.9
20190508,157.11,157.93,155.04,156.86,29172,156.86
20190509,154.65,157.1,152.38,156.31,41340,156.31
20190510,156.28,160.62,154.38,159.94,29014,159.94
20190513,154.92,156.9,152.78,153.15,39162,153.15
20190514,154.87,158.59,152.92,158.07,33994,158.07
20190515,153.82,156.38,151.7,155.06,58491,155.06
20190516,156.76,159.45,155.9,158.48,34221,158.48
20190517,156.18,157.16,153.17,154.57,36751,154.57
20190520,152.47,156.09,151.7,155.98,35291,155.98
20190521,157.36,157.84,155.18,155.78,24139,155.78
20190522,155.87,158.19,155.84,157.64,21284,157.64
20190523,156.03,156.34,152.15,153.71,30410,153.71
20190524,154.89,156.93,154.16,154.51,22143,154.51
20190528,155.35,157.81,154.39,155.19,29149,155.19
20190529,153.76,154.06,151.2,152.89,30213,152.89
20190530,154.32,155.87,153.9,155.66,31645,155.66
20190531,152.66,154.48,151.26,151.41,36602,151.41
20190603,150.7,150.7,143.39,145.1,63538,145.1
20190604,146.05,150.81,142.51,150.81,81287,150.81
20190605,157.15,158.5,154.55,158.44,88144,158.44
20190606,158.5,160.0,157.33,159.31,40516,159.31
20190607,159.84,162.99,159.5,161.27,55150,161.27
20190610,153.48,157.45,150.83,152.79,228497,152.79
20190611,155.31,155.71,148.79,150.15,109237,150.15
20190612,151.11,152.32,150.15,151.28,48176,151.28
20190613,152.16,152.24,150.25,151.34,37420,151.34
20190614,151.04,151.98,149.48,150.01,41992,150.01
20190617,150.2,151.29,149.87,150.29,31504,150.29
20190618,151.88,152.95,150.5,150.59,52451,150.59
20190619,151.69,154.47,150.51,154.14,61164,154.14
20190620,156.29,158.29,155.42,157.2,72699,157.2
20190621,156.67,157.79,155.94,156.84,46870,156.84
20190624,157.39,157.73,152.51,152.56,45991,152.56
20190625,152.83,152.97,148.59,149.34,52491,149.34
20190626,151.28,151.38,148.92,149.04,38973,149.04
20190627,149.89,150.76,148.47,150.69,50053,150.69
20190628,150.42,151.77,149.6,151.73,39563,151.73
20190701,154.57,154.74,151.85,154.06,44026,154.06
20190702,154.29,154.36,152.58,154.12,32436,154.12
20190703,154.54,155.75,154.16,155.59,23344,155.59
20190705,153.95,154.81,152.57,154.58,25672,154.58
20190708,153.48,153.69,152.04,152.81,29728,152.81
20190709,152.08,154.19,151.68,153.95,29514,153.95
20190710,154.93,156.4,154.57,156.27,33254,156.27
20190711,156.82,159.3,156.62,158.9,50765,158.9
20190712,159.4,159.62,157.4,158.08,27126,158.08
20190715,158.76,159.84,157.48,159.65,23515,159.65
20190716,159.96,161.61,156.8,157.13,51662,157.13
20190717,157.68,159.92,157.66,158.24,30031,158.24
20190718,157.0,158.58,156.2,157.98,23999,157.98
20190719,159.73,160.74,156.29,156.75,37126,156.75
20190722,157.65,159.05,157.14,157.7,20699,157.7
20190723,157.98,158.45,155.28,156.25,29593,156.25
20190724,155.98,160.25,155.7,159.75,29272,159.75
20190725,160.12,161.13,158.67,159.35,49312,159.35
20190726,159.56,160.82,158.73,159.97,33952,159.97
20190729,160.4,161.2,155.52,156.21,58987,156.21
20190730,155.34,158.22,154.62,156.96,29654,156.96
20190731,157.39,157.89,152.3,154.5,52782,154.5
20190801,154.73,157.78,150.41,150.81,99022,150.81
20190802,149.8,149.9,145.31,145.7,96983,145.7
20190805,141.34,143.75,139.8,142.82,91008,142.82
20190806,143.79,144.96,141.96,142.8,47572,142.8
20190807,140.93,143.1,139.06,141.64,54730,141.64
20190808,143.52,144.96,142.32,143.82,57550,143.82
20190809,143.61,144.47,141.69,143.37,36274,143.37
20190812,141.55,141.97,140.05,140.72,29118,140.72
20190813,140.92,145.0,140.43,143.88,32682,143.88
20190814,141.29,142.36,137.87,139.72,59791,139.72
20190815,141.1,143.3,139.74,142.13,48267,142.13
20190816,143.06,145.34,142.52,143.89,39541,143.89
20190819,145.6,146.14,142.88,143.67,32737,143.67
20190820,144.16,146.5,143.06,145.54,42585,145.54
20190821,146.9,148.39,146.16,147.38,44853,147.38
20190822,149.49,149.9,145.47,148.24,72697,148.24
20190823,157.7,158.42,150.65,151.57,201528,151.57
20190826,153.51,155.21,151.52,155.14,68597,155.14
20190827,154.26,155.9,152.53,153.57,49575,153.57
20190828,152.5,152.78,150.87,151.83,36061,151.83
20190829,153.4,156.0,152.66,155.93,44952,155.93
20190830,156.42,158.22,153.7,156.07,54272,156.07
20190903,154.21,155.32,151.76,152.73,34961,152.73
20190904,154.09,154.92,152.32,152.46,24920,152.46
20190905,154.71,154.85,151.95,153.77,37755,153.77
20190906,153.97,154.05,150.77,151.07,33384,151.07
20190909,151.92,152.15,148.09,149.54,46500,149.54
20190910,148.77,151.66,147.74,149.65,42984,149.65
20190911,150.09,154.65,149.04,154.09,45894,154.09
20190912,155.04,156.8,154.41,154.75,35909,154.75
20190913,154.32,154.91,152.74,152.98,24406,152.98
20190916,151.65,154.11,151.36,153.01,17293,153.01
20190917,153.0,153.45,151.73,152.82,20043,152.82
20190918,152.35,152.91,150.57,152.77,18992,152.77
20190919,153.52,154.25,152.77,153.6,18557,153.6
20190920,154.69,156.88,153.62,155.2,54562,155.2
20190923,154.15,155.2,152.96,154.65,25259,154.65
20190924,154.28,156.27,151.09,152.05,28481,152.05
20190925,152.05,153.21,148.9,152.99,23979,152.99
20190926,152.42,153.4,151.84,152.34,27952,152.34
20190927,153.12,153.15,146.75,148.26,44596,148.26
20190930,147.95,148.97,147.41,148.44,22423,148.44
20191001,149.49,150.16,147.25,147.69,20921,147.69
20191002,146.06,146.5,143.2,144.22,30369,144.22
20191003,144.0,147.06,142.08,147.0,25797,147.0
20191004,148.28,148.92,146.21,148.03,22689,148.03
20191007,147.28,149.33,147.0,148.8,19196,148.8
20191008,147.54,148.34,145.81,145.91,17282,145.91
20191009,147.27,147.85,146.61,147.05,15226,147.05
20191010,146.84,147.56,145.51,146.41,18073,146.41
20191011,147.76,150.71,147.76,149.37,32081,149.37
20191014,149.4,150.28,148.8,149.37,9108,149.37
20191015,149.66,152.97,149.62,152.74,28313,152.74
20191016,147.26,150.85,145.82,146.97,68320,146.97
20191017,147.58,148.04,145.51,146.17,38550,146.17
20191018,146.3,146.44,142.4,144.09,44899,144.09
20191021,144.1,145.19,143.0,144.55,22383,144.55
20191022,145.0,145.96,142.14,142.33,29920,142.33
20191023,142.11,145.57,141.49,145.13,31943,145.13
20191024,146.59,148.79,146.4,148.12,37837,148.12
20191025,147.05,150.66,146.3,150.49,34961,150.49
20191028,151.2,154.92,149.43,154.79,58092,154.79
20191029,154.78,156.13,154.42,155.09,41718,155.09
20191030,155.74,158.42,155.01,158.28,33130,158.28
20191031,156.56,157.85,155.21,156.49,28642,156.49
20191101,157.91,160.09,156.75,159.74,35759,159.74
20191104,160.94,161.25,156.69,157.6,44227,157.6
20191105,157.59,159.12,155.47,158.15,28601,158.15
20191106,158.94,160.0,157.75,158.93,29001,158.93
20191107,158.93,161.13,158.08,159.5,27369,159.5
20191108,159.25,161.21,158.91,161.11,23167,161.11
20191111,161.22,162.23,160.25,161.78,26626,161.78
20191112,162.0,164.37,161.59,162.86,27649,162.86
20191113,163.05,164.42,162.02,162.6,39475,162.6
20191114,163.03,163.58,162.39,163.05,27397,163.05
20191115,163.72,163.93,160.99,163.21,26276,163.21
20191118,164.0,164.0,161.89,162.77,42673,162.77
20191119,163.64,164.45,161.84,163.96,28417,163.96
20191120,163.44,166.34,162.25,164.2,62305,164.2
20191121,165.32,165.91,162.21,162.88,43275,162.88
20191122,162.98,163.49,161.38,162.81,26362,162.81
20191125,163.78,164.65,161.45,161.71,37025,161.71
20191126,161.56,162.61,161.31,162.54,25939,162.54
20191127,161.92,162.84,161.11,161.51,23340,161.51
20191129,161.61,163.41,161.32,162.89,16361,162.89
20191202,163.1,163.21,158.1,161.0,34468,161.0
20191203,156.96,161.85,156.19,161.57,39833,161.57
20191204,160.67,160.72,154.5,156.43,131399,156.43
20191205,155.74,158.92,155.25,158.22,51450,158.22
20191206,158.1,159.5,157.59,158.01,33920,158.01
20191209,157.38,158.9,157.06,157.48,25921,157.48
20191210,157.01,157.67,156.17,156.4,30144,156.4
20191211,156.84,156.88,155.48,156.39,31783,156.39
20191212,155.77,158.99,155.31,158.59,37100,158.59
20191213,158.86,161.49,158.55,161.13,40201,161.13
20191216,160.85,162.74,160.82,161.96,35735,161.96
20191217,162.0,162.37,159.74,161.63,33286,161.63
20191218,161.8,163.28,161.48,161.48,25601,161.48
20191219,161.59,163.34,160.83,163.33,22161,163.33
20191220,164.73,165.17,163.63,164.55,39717,164.55
20191223,164.04,164.87,163.35,163.74,23222,163.74
20191224,163.31,163.85,162.87,163.25,6730,163.25
20191226,163.4,164.53,163.27,164.51,13642,164.51
20191227,164.86,165.46,163.9,164.98,20816,164.98
20191230,164.86,164.94,161.2,162.44,20264,162.44
20191231,162.04,163.26,161.8,162.64,19335,162.64
20200102,163.92,167.07,163.58,166.99,36933,166.99
20200103,165.06,166.77,165.0,166.17,18968,166.17
20200106,165.0,173.67,164.45,173.45,60621,173.45
