Date,Open,High,Low,Close,Volume,Adj Close
20190214,1125.0,1136.13,1117.09,1129.2,5515,1129.2
20190215,1137.34,1139.3,1116.72,1119.63,7379,1119.63
20190219,1116.64,1129.64,1116.64,1126.51,4475,1126.51
20190220,1128.86,1130.94,1111.75,1120.59,5505,1120.59
20190221,1118.78,1119.15,1097.98,1104.21,8209,1104.21
20190222,1109.7,1117.25,1100.5,1116.56,6748,1116.56
20190225,1121.93,1125.4,1114.11,1117.33,6095,1117.33
20190226,1114.72,1126.44,1106.7,1122.01,8310,1122.01
20190227,1114.01,1125.74,1108.56,1122.89,5896,1122.89
20190228,1119.61,1133.99,1118.41,1126.55,6507,1126.55
20190301,1132.96,1150.0,1131.0,1148.52,8201,1148.52
20190304,1154.1,1165.52,1138.25,1153.42,8964,1153.42
20190305,1156.0,1176.49,1153.02,1169.19,10779,1169.19
20190306,1171.76,1174.74,1163.04,1164.94,6140,1164.94
20190307,1160.63,1163.59,1141.71,1150.85,7048,1150.85
20190308,1133.9,1153.46,1130.2,1149.97,5777,1149.97
20190311,1152.0,1179.91,1151.57,1179.26,6602,1179.26
20190312,1183.47,1205.71,1182.3,1197.25,11075,1197.25
20190313,1205.23,1207.13,1197.91,1199.06,6029,1199.06
20190314,1199.02,1204.71,1191.23,1192.53,6575,1192.53
20190315,1198.0,1201.73,1187.01,1190.3,13233,1190.3
20190318,1189.69,1194.96,1181.47,1188.55,6857,1188.55
20190319,1191.2,1203.41,1189.45,1202.46,7729,1202.46
20190320,1201.82,1229.99,1199.59,1226.43,10906,1226.43
20190321,1219.77,1236.45,1216.57,1236.13,6501,1236.13
20190322,1230.2,1233.63,1206.0,1207.65,8619,1207.65
20190325,1199.71,1209.44,1190.0,1197.38,6982,1197.38
20190326,1205.19,1207.65,1181.76,1189.84,8030,1189.84
20190327,1191.5,1191.92,1164.23,1178.01,6630,1178.01
20190328,1175.55,1177.25,1163.43,1172.27,6092,1172.27
20190329,1180.14,1183.98,1166.38,1176.89,6007,1176.89
20190401,1186.33,1200.2,1186.33,1198.98,6812,1198.98
20190402,1200.05,1205.82,1191.24,1205.54,4318,1205.54
20190403,1212.7,1220.61,1205.07,1210.81,5522,1210.81
20190404,1211.29,1220.55,1209.04,1219.45,5119,1219.45
20190405,1219.3,1220.39,1210.02,1211.45,5189,1211.45
20190408,1212.28,1213.95,1204.69,1208.28,5190,1208.28
20190409,1201.89,1207.15,1198.38,1202.69,5149,1202.69
20190410,1205.09,1208.94,1200.66,1206.45,4073,1206.45
20190411,1209.11,1212.74,1204.54,1209.59,4698,1209.59
20190412,1215.62,1223.05,1213.29,1222.73,5836,1222.73
20190415,1224.09,1229.3,1214.56,1226.53,6331,1226.53
20190416,1230.0,1235.98,1225.04,1231.91,5687,1231.91
20190417,1237.97,1245.1,1232.9,1240.14,6937,1240.14
20190418,1245.0,1245.94,1239.41,1241.47,5380,1241.47
20190422,1236.67,1254.35,1233.37,1253.76,4803,1253.76
20190423,1256.64,1274.43,1251.97,1270.59,7697,1270.59
20190424,1270.59,1274.0,1259.81,1260.05,4557,1260.05
20190425,1270.3,1272.8,1258.0,1267.34,7700,1267.34
20190426,1273.38,1278.91,1264.99,1277.42,6443,1277.42
20190429,1279.35,1296.98,1271.71,1296.2,13731,1296.2
20190430,1190.63,1200.98,1183.0,1198.96,37742,1198.96
20190501,1197.5,1199.25,1171.67,1173.32,21507,1173.32
20190502,1172.6,1179.38,1158.33,1166.51,11658,1166.51
20190503,1177.32,1191.4,1173.54,1189.55,10132,1189.55
20190506,1172.0,1195.44,1171.15,1193.46,8066,1193.46
20190507,1184.66,1194.77,1164.99,1178.86,8830,1178.86
20190508,1177.19,1184.27,1167.63,1170.78,6387,1170.78
20190509,1162.6,1174.08,1154.64,1167.97,7095,1167.97
20190510,1167.93,1176.28,1146.37,1167.64,7842,1167.64
20190513,1145.5,1151.98,1125.5,1136.59,11072,1136.59
20190514,1141.43,1144.87,1123.53,1124.86,9631,1124.86
20190515,1122.55,1178.3,1121.4,1170.8,16259,1170.8
20190516,1171.84,1194.16,1168.45,1184.5,8784,1184.5
20190517,1175.83,1186.29,1166.41,1168.78,5957,1168.78
20190520,1153.0,1153.0,1138.13,1144.66,6179,1144.66
20190521,1154.47,1158.0,1143.3,1154.44,4541,1154.44
