Date,Open,High,Low,Close,Volume,Adj Close
20190214,192.21,194.13,189.44,192.53,20381,192.53
20190215,193.21,198.89,193.1,198.5,22075,198.5
20190219,196.66,199.06,195.61,198.67,17024,198.67
20190220,198.73,199.3,197.51,198.6,15537,198.6
20190221,198.97,199.45,195.05,196.36,19100,196.36
20190222,196.6,197.75,195.2,196.0,18975,196.0
20190225,198.0,201.5,197.71,198.65,22367,198.65
20190226,198.4,200.56,196.55,198.9,16656,198.9
20190227,198.5,199.89,197.12,198.1,11689,198.1
20190228,198.04,198.4,196.01,196.7,14989,196.7
20190301,198.48,201.44,197.43,198.2,17535,198.2
20190304,198.81,200.83,194.15,195.98,17093,195.98
20190305,195.85,196.18,193.0,196.0,17267,196.0
20190306,195.9,197.57,194.53,194.74,17263,194.74
20190307,193.13,193.45,190.08,192.77,27216,192.77
20190308,190.12,195.77,189.71,195.24,21085,195.24
20190311,197.23,198.97,195.73,195.97,16739,195.97
20190312,196.0,197.4,195.69,196.63,13681,196.63
20190313,197.75,198.93,196.52,197.25,11588,197.25
20190314,197.46,198.5,196.7,197.47,9267,197.47
20190315,197.16,198.85,196.85,198.26,19511,198.26
20190318,199.18,203.85,198.92,202.47,22924,202.47
20190319,204.88,206.45,200.78,201.12,23250,201.12
20190320,200.33,200.33,193.97,194.32,37455,194.32
20190321,192.9,195.55,191.75,194.58,30841,194.58
20190322,192.67,193.71,187.78,188.96,43750,188.96
20190325,189.33,191.45,186.5,188.51,28815,188.51
20190326,190.03,192.41,188.69,190.69,21772,190.69
20190327,190.6,191.61,188.74,190.03,16852,190.03
20190328,190.74,191.91,189.29,191.18,17142,191.18
20190329,192.68,193.11,191.14,191.99,16966,191.99
20190401,194.0,198.09,193.61,196.74,23376,196.74
20190402,196.24,197.76,195.4,197.5,13077,197.5
20190403,199.25,201.09,198.54,200.86,23446,200.86
20190404,200.8,204.29,200.5,202.23,18998,202.23
20190405,203.38,205.5,202.06,202.38,17521,202.38
20190408,202.79,203.63,201.18,202.54,11574,202.54
20190409,201.23,201.59,198.86,200.62,16162,200.62
20190410,201.8,203.17,200.27,202.98,12891,202.98
20190411,204.23,205.45,201.57,202.83,18069,202.83
20190412,207.0,209.97,206.37,207.84,37681,207.84
20190415,204.11,205.74,199.7,199.91,48460,199.91
20190416,199.62,202.94,199.24,201.84,37901,201.84
20190417,201.96,208.5,201.78,207.9,30374,207.9
20190418,207.09,207.86,205.15,205.91,21252,205.91
20190422,205.12,205.59,204.14,204.6,10067,204.6
20190423,204.25,205.19,202.74,204.14,13191,204.14
20190424,203.0,203.52,199.73,200.54,33465,200.54
20190425,199.7,202.56,199.1,201.4,14278,201.4
20190426,201.73,203.12,200.32,203.08,10519,203.08
20190429,203.5,208.0,203.27,206.92,20731,206.92
20190430,206.94,207.99,204.15,205.92,11050,205.92
20190501,206.4,208.41,204.03,204.73,13688,204.73
20190502,203.97,206.22,203.12,204.99,10050,204.99
20190503,206.01,208.75,205.67,207.52,12883,207.52
20190506,202.8,206.98,201.71,206.43,13187,206.43
20190507,203.34,204.0,201.01,202.63,18619,202.63
20190508,201.4,203.2,200.79,200.95,11688,200.95
20190509,199.51,202.22,197.91,201.63,15840,201.63
20190510,200.98,202.1,198.99,202.05,13820,202.05
20190513,197.9,197.9,194.0,194.97,24460,194.97
20190514,194.99,198.13,194.9,196.28,16746,196.28
20190515,194.64,197.59,193.42,196.4,14555,196.4
20190516,196.63,200.0,196.62,199.14,12710,199.14
20190517,196.3,199.09,196.3,197.43,11579,197.43
20190520,197.09,197.78,195.57,197.24,14920,197.24
20190521,198.66,199.32,198.0,199.11,12338,199.11
20190522,197.44,198.48,195.46,195.52,15882,195.52
20190523,193.0,193.0,189.56,191.97,21447,191.97
20190524,192.89,194.07,191.68,193.0,10526,193.0
20190528,192.0,193.31,189.4,189.44,16544,189.44
20190529,187.74,188.65,184.92,188.05,19162,188.05
20190530,188.09,189.37,186.01,187.37,12902,187.37
20190531,184.77,184.89,182.31,182.49,16668,182.49
20190603,181.7,183.49,180.73,183.19,18072,183.19
20190604,186.18,189.99,185.71,189.88,15100,189.88
20190605,190.1,190.16,187.01,188.44,12376,188.44
20190606,188.06,190.74,187.31,189.81,10891,189.81
20190607,189.88,190.61,188.52,189.81,11531,189.81
20190610,191.4,197.0,191.4,194.12,16592,194.12
20190611,195.3,196.12,193.51,194.73,9813,194.73
20190612,193.61,194.06,189.83,190.22,13086,190.22
20190613,190.41,192.25,190.07,191.45,9280,191.45
20190614,191.29,192.17,189.31,191.66,7565,191.66
20190617,192.02,193.23,190.74,190.83,7298,190.83
20190618,190.67,197.13,190.67,194.98,15165,194.98
20190619,195.35,197.61,194.79,195.64,15149,195.64
20190620,197.5,198.19,193.61,195.7,15240,195.7
20190621,195.34,198.34,193.97,195.94,21204,195.94
20190624,196.53,199.35,196.03,197.49,12976,197.49
20190625,197.5,197.52,194.01,196.06,11575,196.06
20190626,196.5,197.87,196.12,197.01,10555,197.01
20190627,197.57,199.61,196.76,199.32,12638,199.32
20190628,203.5,205.84,202.94,204.6,26695,204.6
20190701,208.0,209.85,205.73,206.86,16248,206.86
20190702,205.4,206.31,204.16,205.98,10291,205.98
20190703,207.3,207.4,205.23,206.04,6238,206.04
20190705,206.86,208.76,206.2,207.9,10639,207.9
20190708,206.36,207.25,204.7,205.75,11865,205.75
20190709,203.75,207.94,203.54,207.77,12629,207.77
20190710,207.18,208.99,205.65,205.97,11376,205.97
20190711,206.2,212.59,206.0,211.35,28395,211.35
20190712,212.0,214.19,210.79,213.94,17531,213.94
20190715,214.11,214.6,209.79,211.58,16671,211.58
20190716,214.8,217.33,212.55,215.52,38996,215.52
20190717,213.83,215.78,213.16,213.3,18496,213.3
20190718,212.71,215.83,211.75,214.52,19931,214.52
20190719,214.02,215.77,213.35,213.52,12010,213.52
20190722,213.4,214.86,212.31,214.0,10754,214.0
20190723,214.95,220.0,214.95,219.43,23563,219.43
20190724,219.25,222.09,218.63,222.03,21853,222.03
20190725,221.77,221.77,218.23,219.98,20089,219.98
20190726,220.45,222.24,220.37,222.14,15598,222.14
20190729,221.0,222.13,220.2,220.32,8715,220.32
20190730,218.49,221.99,217.33,221.4,11296,221.4
20190731,221.24,221.98,219.01,220.13,12850,220.13
20190801,219.35,219.95,210.76,211.6,19701,211.6
20190802,211.58,211.58,205.31,209.37,16073,209.37
20190805,205.82,205.82,199.58,201.68,17086,201.68
20190806,203.56,206.07,200.89,206.01,14704,206.01
20190807,201.11,205.96,199.05,205.74,16197,205.74
20190808,207.17,207.8,203.54,207.0,15071,207.0
20190809,205.62,208.3,203.86,206.9,11924,206.9
20190812,203.28,204.15,200.48,201.41,9455,201.41
20190813,201.51,206.6,200.23,204.11,11257,204.11
20190814,199.8,199.92,195.06,195.56,20138,195.56
20190815,195.91,196.97,193.71,196.18,12622,196.18
20190816,197.03,200.67,197.0,199.42,11168,199.42
20190819,203.81,204.45,201.82,202.2,10589,202.2
20190820,200.21,201.99,199.7,199.98,10212,199.98
20190821,202.74,203.02,200.17,200.68,7546,200.68
20190822,202.28,203.45,200.91,202.42,8156,202.42
20190823,200.81,201.88,195.19,196.2,12395,196.2
20190826,198.27,199.71,197.99,199.65,9240,199.65
20190827,200.33,200.86,196.5,198.07,8944,198.07
20190828,196.57,201.47,196.25,200.42,8839,200.42
20190829,201.36,204.37,201.36,203.44,10777,203.44
20190830,204.85,205.21,203.01,203.91,8220,203.91
20190903,201.1,201.61,196.58,198.97,18146,198.97
20190904,201.49,202.1,200.05,201.73,11137,201.73
20190905,205.27,208.93,205.04,207.05,15014,207.05
20190906,207.06,208.25,205.57,207.21,9052,207.21
20190909,209.22,213.88,208.44,211.98,18837,211.98
20190910,213.5,217.09,213.22,215.63,17792,215.63
20190911,215.21,216.85,213.36,216.8,11840,216.8
20190912,216.38,220.76,215.15,218.74,20267,218.74
20190913,220.35,221.5,219.19,219.9,17936,219.9
20190916,217.82,219.33,216.32,217.22,11475,217.22
20190917,215.8,216.14,212.54,215.91,16075,215.91
20190918,214.83,217.89,213.3,217.08,17647,217.08
20190919,217.58,217.93,215.06,215.23,9519,215.23
20190920,214.66,216.68,213.63,213.74,24099,213.74
20190923,212.85,214.11,211.56,213.46,8694,213.46
20190924,214.04,214.2,206.8,207.75,19445,207.75
20190925,207.96,211.09,207.45,210.03,9474,210.03
20190926,209.05,209.97,208.11,208.22,9020,208.22
20190927,209.85,210.55,208.09,208.97,9557,208.97
20190930,209.71,209.71,206.83,207.23,9721,207.23
20191001,207.01,209.38,202.61,202.69,21860,202.69
20191002,201.69,201.88,197.6,198.25,22678,198.25
20191003,197.61,198.37,193.99,197.24,18646,197.24
20191004,196.99,201.23,196.04,200.8,21523,200.8
20191007,200.79,202.53,199.47,200.4,14964,200.4
20191008,197.6,198.95,195.92,197.37,18009,197.37
20191009,198.19,198.98,196.68,196.85,15333,196.85
20191010,197.59,201.32,197.54,199.87,14338,199.87
20191011,203.72,207.29,203.72,204.68,21764,204.68
20191014,203.83,206.17,202.92,205.82,16000,205.82
20191015,202.0,208.24,198.61,206.46,64572,206.46
20191016,206.17,208.62,206.02,207.42,19071,207.42
20191017,208.29,208.93,204.39,206.46,19402,206.46
20191018,204.99,208.06,204.99,206.52,14899,206.52
20191021,208.67,210.86,207.68,209.25,13233,209.25
20191022,209.59,211.65,208.31,209.6,12659,209.6
20191023,209.22,212.02,209.0,211.32,10350,211.32
20191024,211.61,213.15,209.77,211.05,8259,211.05
20191025,210.18,215.42,210.18,214.23,18123,214.23
20191028,216.32,218.92,215.69,217.75,16594,217.75
20191029,217.22,219.28,216.45,217.64,13728,217.64
20191030,217.02,217.05,213.81,215.81,9972,215.81
20191031,215.15,215.37,211.32,213.38,11276,213.38
20191101,215.26,217.89,214.75,217.39,13311,217.39
20191104,219.7,220.69,218.57,219.87,17814,219.87
20191105,220.8,221.78,218.47,218.64,18094,218.64
20191106,218.01,219.07,216.55,218.42,10722,218.42
20191107,220.77,224.77,220.41,223.29,26126,223.29
20191108,223.0,223.23,221.1,222.91,10878,222.91
20191111,220.9,221.41,218.52,219.03,15622,219.03
20191112,218.56,221.11,217.92,220.41,10405,220.41
20191113,218.39,219.84,217.01,219.32,10885,219.32
20191114,218.79,220.47,218.03,219.43,8084,219.43
20191115,220.0,221.09,219.04,220.25,9706,220.25
20191118,219.73,219.95,218.04,219.73,8378,219.73
20191119,220.56,220.68,218.31,220.04,9782,220.04
20191120,218.36,219.48,216.4,217.91,14172,217.91
20191121,218.6,219.32,216.82,218.23,10043,218.23
20191122,218.0,220.71,218.0,220.28,9608,220.28
20191125,220.89,223.95,220.89,222.75,13786,222.75
20191126,222.68,222.76,221.11,222.45,10035,222.45
20191127,223.45,224.28,221.86,222.95,10637,222.95
20191129,220.88,222.0,220.41,221.35,3758,221.35
20191202,220.97,221.8,217.08,217.64,12852,217.64
20191203,215.43,215.43,210.0,212.24,19195,212.24
20191204,213.54,216.99,212.38,215.94,9395,215.94
20191205,217.15,217.63,215.41,217.14,8372,217.14
20191206,219.95,225.4,218.81,224.61,28273,224.61
20191209,224.61,224.65,221.77,221.81,13032,221.81
20191210,221.67,222.88,220.55,221.88,7478,221.88
20191211,222.25,222.85,220.84,221.19,8817,221.19
20191212,221.91,226.78,220.6,226.05,19498,226.05
20191213,226.72,227.99,223.7,225.0,11682,225.0
20191216,228.5,230.7,227.87,228.04,18803,228.04
20191217,230.0,232.07,228.8,231.15,23513,231.15
20191218,231.97,232.2,229.94,230.45,12218,230.45
20191219,230.95,231.39,228.96,229.94,14407,229.94
20191220,230.96,231.29,228.62,228.93,21362,228.93
20191223,229.66,230.48,228.41,229.09,9045,229.09
20191224,228.98,229.95,228.37,229.91,2841,229.91
20191226,230.26,232.2,229.99,231.21,6788,231.21
20191227,231.81,232.21,230.47,230.66,7046,230.66
20191230,231.68,231.69,229.5,229.8,8389,229.8
20191231,229.71,229.97,228.67,229.93,7459,229.93
20200102,231.0,234.64,230.16,234.32,26032,234.32
20200103,231.6,232.61,230.3,231.58,13604,231.58
20200106,229.93,234.02,229.49,233.95,21139,233.95
20200107,235.0,237.77,234.76,235.49,38062,235.49
20200108,235.68,239.75,235.48,237.76,19675,237.76
20200109,241.34,243.4,239.82,242.6,27799,242.6
20200110,242.75,243.39,241.39,242.11,15673,242.11
20200113,244.44,246.11,243.0,245.21,21890,245.21
20200114,245.32,248.52,244.6,245.66,27958,245.66
20200115,242.0,249.5,239.16,245.21,37627,245.21
20200116,247.12,249.82,246.23,249.72,25745,249.72
20200117,250.23,250.46,248.0,249.46,20276,249.46
20200121,247.21,248.85,245.6,245.7,15199,245.7
20200122,246.61,248.52,246.34,247.05,12180,247.05
20200123,244.5,247.0,242.88,245.58,17896,245.58
20200124,245.07,245.71,240.6,241.92,17764,241.92
20200127,236.37,238.99,235.01,238.14,16967,238.14
20200128,239.49,243.58,238.05,242.58,21406,242.58
20200129,244.52,246.5,239.56,240.12,26705,240.12
20200130,237.69,244.34,236.73,244.13,22241,244.13
20200131,241.99,242.89,236.88,237.75,22632,237.75
20200203,238.36,242.39,238.05,239.01,19116,239.01
20200204,242.88,243.74,241.55,241.94,22067,241.94
20200205,244.99,245.13,243.0,244.3,22794,244.3
20200206,245.35,245.77,241.18,241.82,14668,241.82
20200207,239.75,240.52,236.55,238.0,19820,238.0
20200210,237.4,237.87,235.45,237.36,18452,237.36
20200211,239.0,239.55,236.22,236.46,13333,236.46
20200212,238.01,241.18,237.72,238.65,12634,238.65
20200213,237.85,238.97,236.57,238.35,8321,238.35
