Date,Open,High,Low,Close,Volume,Adj Close
20190214,152.58,154.37,152.4,153.77,158430,153.77
20190215,154.78,156.24,154.27,156.22,206732,156.22
20190219,155.55,157.1,155.55,156.65,116544,156.65
20190220,156.65,157.58,156.53,157.39,143719,157.39
20190221,157.13,157.37,156.06,156.79,140365,156.79
20190222,157.27,158.27,157.1,158.15,126963,158.15
20190225,159.08,159.5,158.09,158.19,138080,158.19
20190226,158.01,158.19,156.89,157.1,164253,157.1
20190227,156.47,157.44,156.12,157.32,151039,157.32
20190228,157.09,157.48,156.37,156.78,143511,156.78
20190301,157.95,158.34,156.75,158.24,159418,158.24
20190304,158.54,158.78,155.59,156.81,196736,156.81
20190305,156.92,156.95,155.96,156.08,143566,156.08
20190306,156.02,156.08,152.88,153.02,251417,153.02
20190307,153.02,153.14,151.37,151.68,219590,151.68
20190308,150.84,151.76,150.61,151.64,172393,151.64
20190311,152.12,154.31,151.9,154.29,164808,154.29
20190312,154.43,154.98,153.8,154.37,128742,154.37
20190313,154.92,155.73,154.75,154.98,141738,154.98
20190314,154.9,155.02,154.2,154.35,107563,154.35
20190315,154.53,155.87,154.33,154.76,150612,154.76
20190318,155.06,156.45,154.48,155.75,143714,155.75
20190319,156.48,156.53,154.57,154.96,150335,154.96
20190320,154.54,155.42,152.41,153.26,237252,153.26
20190321,152.73,156.06,152.73,155.27,266159,155.27
20190322,154.2,154.55,149.57,149.62,342791,149.62
20190325,149.48,151.32,148.4,150.28,227250,150.28
20190326,151.47,152.82,150.79,151.86,179585,151.86
20190327,151.71,152.21,149.48,151.27,195199,151.27
20190328,151.79,152.93,150.93,152.62,158076,152.62
20190329,153.68,153.97,152.1,153.09,190172,153.09
20190401,154.3,154.92,153.72,154.76,169207,154.76
20190402,154.87,154.88,153.5,154.36,139558,154.36
20190403,155.74,156.15,154.73,155.16,167243,155.16
20190404,155.27,156.01,154.84,155.92,130536,155.92
20190405,156.3,157.47,156.19,157.38,157624,157.38
20190408,156.85,157.5,156.07,157.12,121478,157.12
20190409,156.45,156.7,154.91,155.2,154740,155.2
20190410,155.48,157.36,155.33,157.31,141331,157.31
20190411,157.52,157.68,156.81,157.11,103037,157.11
20190412,158.13,158.16,157.11,157.68,115020,157.68
20190415,157.95,158.1,156.5,157.17,90566,157.17
20190416,157.71,157.9,156.98,157.54,93298,157.54
20190417,158.09,158.11,155.2,156.1,142486,156.1
20190418,156.11,156.28,154.66,155.64,141707,155.64
20190422,155.33,155.81,154.52,155.23,97068,155.23
20190423,155.37,158.05,155.36,157.57,186561,157.57
20190424,157.64,158.69,157.37,158.06,135879,158.06
20190425,157.33,157.48,155.47,156.75,154245,156.75
20190426,156.96,158.49,156.39,158.27,143471,158.27
20190429,158.62,159.61,158.49,159.03,115131,159.03
20190430,159.15,159.19,156.96,158.29,137039,158.29
20190501,158.67,158.74,156.71,156.79,157254,156.79
20190502,156.64,158.15,155.67,157.52,191379,157.52
20190503,158.31,160.64,158.19,160.53,166883,160.53
20190506,158.17,161.11,158.01,160.71,181011,160.71
20190507,159.31,159.87,156.25,157.53,200918,157.53
20190508,157.26,158.09,156.65,156.76,136557,156.76
20190509,155.53,156.65,153.74,156.19,221305,156.19
20190510,155.59,156.83,153.67,156.62,217635,156.62
20190513,153.69,154.02,151.16,151.63,224515,151.63
20190514,151.96,154.17,151.7,153.54,127356,153.54
20190515,152.4,154.41,152.06,154.04,139933,154.04
20190516,154.51,156.18,154.44,155.0,113928,155.0
20190517,153.82,155.27,152.66,152.84,163471,152.84
20190520,151.93,152.82,151.41,151.78,151204,151.78
20190521,152.63,154.04,152.58,153.82,95633,153.82
20190522,153.22,153.59,152.0,152.53,114796,152.53
20190523,151.06,151.06,148.58,149.39,185587,149.39
20190524,150.38,151.09,149.79,150.79,104603,150.79
20190528,151.01,151.65,149.59,149.59,116992,149.59
20190529,148.84,148.93,147.36,148.34,182186,148.34
20190530,148.75,149.58,147.04,147.93,147001,147.93
20190531,146.17,146.84,145.32,145.86,175842,145.86
