Date,Open,High,Low,Close,Volume,Adj Close
20190214,134.3,134.82,133.35,134.31,25706,134.31
20190215,135.19,136.41,135.01,136.38,39883,136.38
20190219,136.14,136.38,135.63,135.69,37572,135.69
20190220,135.97,136.73,135.72,136.35,29379,136.35
20190221,134.98,135.79,134.26,135.42,47408,135.42
20190222,135.29,136.64,134.82,136.6,36367,136.6
20190225,136.35,137.49,135.86,136.2,49485,136.2
20190226,136.44,136.96,136.05,136.11,29230,136.11
20190227,135.52,136.25,135.39,135.87,28034,135.87
20190228,135.95,137.96,135.69,136.64,49352,136.64
20190301,137.22,138.61,137.01,138.35,38316,138.35
20190304,138.85,139.41,137.51,138.48,65686,138.48
20190305,138.81,139.14,138.36,138.77,46891,138.77
20190306,139.47,139.65,138.6,139.09,45604,139.09
20190307,138.53,139.12,137.7,138.24,37251,138.24
20190308,138.09,139.3,136.42,138.06,52275,138.06
20190311,138.11,139.03,137.52,138.56,35250,138.56
20190312,138.65,140.0,138.5,139.18,37083,139.18
20190313,139.59,139.84,139.02,139.41,42883,139.41
20190314,138.35,138.8,137.94,138.02,55553,138.02
20190315,138.0,138.26,136.83,137.6,79968,137.6
20190318,137.65,137.78,136.72,137.17,40167,137.17
20190319,137.61,138.82,137.47,138.44,33126,138.44
20190320,138.2,138.51,136.65,137.29,35277,137.29
20190321,137.0,138.78,136.95,138.1,33658,138.1
20190322,137.75,138.39,136.86,136.91,43655,136.91
20190325,136.91,137.01,135.74,136.61,30882,136.61
20190326,136.93,139.27,136.93,138.57,33123,138.57
20190327,138.59,139.48,138.07,138.7,48451,138.7
20190328,139.06,139.46,138.71,138.88,32984,138.88
20190329,139.28,139.88,138.88,139.79,41118,139.79
20190401,139.99,140.29,138.73,138.98,36241,138.98
20190402,138.92,139.01,136.91,137.71,36758,137.71
20190403,138.2,138.24,136.87,137.17,43507,137.17
20190404,136.87,137.01,135.13,135.57,42906,135.57
20190405,136.04,136.58,135.7,136.18,29058,136.18
20190408,136.4,136.51,135.7,136.14,30154,136.14
20190409,136.0,136.26,134.56,135.57,37860,135.57
20190410,135.89,136.13,135.33,135.58,26424,135.58
20190411,135.96,136.18,134.42,135.21,30948,135.21
20190412,135.22,136.35,134.75,135.98,36644,135.98
20190415,136.0,136.79,135.8,136.52,32279,136.52
20190416,138.3,140.7,137.56,138.02,83846,138.02
20190417,139.0,140.15,137.67,138.52,74799,138.52
20190418,139.35,140.24,135.75,137.52,76131,137.52
20190422,136.98,138.49,136.45,137.83,28686,137.83
20190423,137.42,140.85,137.25,139.9,36496,139.9
20190424,139.65,140.14,138.86,139.2,35000,139.2
20190425,138.52,139.77,137.96,139.65,36639,139.65
20190426,139.88,140.53,139.31,140.39,28802,140.39
20190429,140.35,140.43,139.58,139.84,26308,139.84
20190430,140.19,141.45,138.95,141.2,34173,141.2
20190501,140.95,142.35,139.75,141.95,42163,141.95
20190502,141.91,142.15,140.12,141.28,66106,141.28
20190503,141.29,142.09,141.08,142.01,33061,142.01
20190506,140.25,142.24,139.93,142.09,28327,142.09
20190507,140.82,141.38,139.06,139.97,43994,139.97
20190508,140.2,140.92,139.7,139.79,25438,139.79
20190509,138.78,139.32,137.64,138.73,36870,138.73
20190510,138.43,139.25,136.41,139.05,28223,139.05
20190513,137.85,138.06,136.53,137.2,28943,137.2
20190514,137.04,137.84,136.73,136.82,35584,136.82
20190515,136.9,137.49,135.34,136.91,41492,136.91
20190516,137.39,139.2,136.97,138.21,43498,138.21
20190517,137.0,139.03,136.86,138.61,48599,138.61
20190520,138.61,138.96,137.68,138.42,29600,138.42
20190521,139.12,139.57,138.08,138.12,32496,138.12
20190522,138.35,138.95,137.48,138.76,28826,138.76
20190523,138.5,139.85,137.67,139.79,48262,139.79
20190524,139.45,139.5,138.56,138.85,38572,138.85
20190528,139.0,140.49,137.0,137.07,44457,137.07
20190529,135.71,135.89,128.52,131.33,171667,131.33
20190530,131.44,132.82,131.17,132.11,53064,132.11
20190531,131.52,132.0,129.61,131.15,52902,131.15
20190603,131.5,132.4,131.04,131.44,54448,131.44
20190604,132.6,134.3,132.58,133.73,42448,133.73
20190605,134.7,135.13,133.86,134.38,41636,134.38
20190606,134.9,137.66,134.59,136.68,55993,136.68
20190607,137.59,139.59,137.14,138.55,46525,138.55
20190610,138.6,139.15,137.6,139.02,34569,139.02
20190611,139.68,140.66,139.5,139.78,50403,139.78
20190612,140.3,142.91,140.3,141.68,68187,141.68
20190613,141.72,141.95,140.21,140.71,56664,140.71
20190614,141.23,141.49,140.04,140.09,43724,140.09
20190617,140.0,140.24,139.21,139.44,39063,139.44
20190618,140.56,140.93,139.79,140.23,50066,140.23
20190619,140.01,140.97,139.91,140.45,40119,140.45
20190620,141.25,142.4,141.0,142.21,43397,142.21
20190621,141.46,142.43,141.01,142.09,66415,142.09
20190624,142.42,143.7,142.09,143.06,35778,143.06
20190625,143.27,144.98,143.19,144.24,51402,144.24
20190626,143.85,143.85,140.76,141.85,44737,141.85
20190627,142.23,142.5,140.6,140.69,31636,140.69
20190628,140.74,141.1,138.5,139.28,48563,139.28
20190701,140.2,140.26,138.72,139.36,36876,139.36
20190702,139.22,140.03,138.69,140.03,30507,140.03
20190703,141.0,142.18,140.79,142.14,21262,142.14
20190705,141.74,141.82,140.37,140.57,24719,140.57
20190708,140.12,141.08,139.63,140.97,24715,140.97
20190709,141.46,142.47,140.91,141.41,24935,141.41
20190710,141.78,141.99,140.67,141.21,34325,141.21
20190711,140.94,141.21,139.02,140.11,40893,140.11
20190712,140.12,140.12,132.32,134.3,143791,134.3
20190715,135.39,136.36,134.45,134.71,63186,134.71
20190716,132.93,133.83,131.75,132.5,75398,132.5
20190717,132.49,133.58,131.41,131.86,67673,131.86
20190718,132.13,132.51,131.17,132.07,39144,132.07
20190719,132.25,132.39,130.19,130.31,56199,130.31
20190722,130.0,130.15,127.84,128.64,94848,128.64
20190723,128.61,129.45,128.15,128.84,42733,128.84
20190724,128.88,129.79,128.57,129.78,43373,129.78
20190725,130.06,131.53,129.67,131.12,60390,131.12
20190726,131.3,131.3,130.49,130.73,31211,130.73
20190729,131.0,133.31,130.21,133.02,53575,133.02
20190730,132.47,132.49,131.27,132.08,38078,132.08
20190731,131.64,132.0,130.18,130.22,50414,130.22
20190801,130.26,130.74,129.02,130.29,51521,130.29
20190802,130.86,131.44,129.77,131.07,41258,131.07
20190805,130.91,131.46,129.01,130.16,58544,130.16
20190806,130.34,131.22,129.59,130.77,45957,130.77
20190807,129.36,130.91,128.19,130.21,40884,130.21
20190808,130.98,131.95,130.23,131.68,30873,131.68
20190809,131.8,132.76,131.23,132.04,28151,132.04
20190812,131.5,132.7,131.29,131.9,45744,131.9
20190813,132.3,134.1,132.0,133.42,34422,133.42
20190814,132.53,132.54,130.13,130.26,51254,130.26
20190815,130.17,131.07,129.25,130.54,42849,130.54
20190816,131.53,131.67,130.59,131.36,34029,131.36
20190819,132.5,132.57,131.82,132.25,22924,132.25
20190820,131.96,132.66,130.46,130.6,38916,130.6
20190821,131.7,132.41,130.85,131.53,48602,131.53
20190822,131.6,132.13,130.8,131.27,39767,131.27
20190823,131.07,131.26,127.13,127.73,114504,127.73
20190826,127.42,128.08,126.63,127.8,57716,127.8
20190827,129.88,132.4,129.1,129.64,143661,129.64
20190828,127.86,128.87,127.01,128.68,74402,128.68
20190829,128.84,129.2,126.83,128.24,49924,128.24
20190830,128.27,129.1,127.62,128.36,34193,128.36
20190903,127.99,128.98,127.51,128.74,35428,128.74
20190904,129.49,129.59,128.08,128.86,33761,128.86
20190905,129.9,129.9,128.31,128.58,31463,128.58
20190906,128.88,129.23,128.07,128.21,47358,128.21
20190909,128.0,128.16,126.59,126.95,56386,126.95
20190910,127.21,129.55,126.34,129.55,58129,129.55
20190911,129.86,131.28,129.08,131.17,42479,131.17
20190912,131.36,131.77,130.06,130.43,36421,130.43
20190913,131.33,131.57,129.96,130.78,30470,130.78
20190916,130.11,130.75,129.33,129.54,29811,129.54
20190917,129.6,130.5,129.11,129.67,27003,129.67
20190918,129.9,130.56,128.78,130.41,28528,130.41
20190919,129.63,131.19,129.36,130.11,28317,130.11
20190920,131.0,132.0,130.29,131.65,72179,131.65
20190923,131.02,132.05,130.49,131.74,29511,131.74
20190924,132.1,132.78,131.34,131.55,39610,131.55
20190925,131.5,131.58,130.23,130.99,25129,130.99
20190926,131.09,131.31,128.03,128.85,45062,128.85
20190927,128.61,129.4,126.7,128.6,41131,128.6
20190930,129.07,130.28,129.0,129.38,41301,129.38
20191001,130.02,130.8,129.77,129.99,34361,129.99
20191002,132.76,134.7,131.22,132.0,92247,132.0
20191003,131.64,132.38,130.01,131.19,41596,131.19
20191004,131.34,133.72,131.25,133.66,48889,133.66
20191007,133.09,133.83,132.14,133.16,34192,133.16
20191008,132.45,133.27,131.49,131.84,48486,131.84
20191009,131.14,131.25,128.52,129.22,58738,129.22
20191010,128.95,130.12,128.63,129.06,34517,129.06
20191011,131.14,132.62,130.82,131.33,53413,131.33
20191014,131.36,131.36,130.42,130.72,34744,130.72
20191015,133.0,134.25,132.1,132.84,77902,132.84
20191016,134.9,136.59,133.8,135.17,93132,135.17
20191017,135.96,137.49,135.65,136.17,60470,136.17
20191018,133.31,134.39,127.7,127.7,203744,127.7
20191021,128.67,129.67,127.06,128.02,106584,128.02
20191022,128.76,130.54,128.09,129.2,61407,129.2
20191023,129.66,130.48,129.07,129.9,41295,129.9
20191024,130.42,130.58,126.1,127.5,90954,127.5
20191025,127.83,129.1,127.31,128.35,51218,128.35
20191028,128.62,130.0,128.51,129.18,46082,129.18
20191029,129.7,129.97,128.56,129.125,28406,129.125
20191030,133.3,133.53,131.73,132.84,74913,132.84
20191031,132.38,132.74,130.89,132.04,39528,132.04
20191101,132.05,133.0,131.14,131.2,29081,131.2
20191104,131.8,131.95,130.09,130.23,41012,130.23
20191105,130.53,131.47,129.68,130.42,38749,130.42
20191106,130.42,131.48,129.7,130.96,27064,130.96
20191107,131.73,132.38,131.01,131.43,40405,131.43
20191108,131.3,133.04,130.97,133.0,31326,133.0
20191111,132.27,132.53,131.33,131.98,24784,131.98
20191112,132.0,132.09,131.02,131.35,32998,131.35
20191113,131.04,131.49,130.72,131.27,35300,131.27
20191114,131.03,131.36,130.14,130.96,28304,130.96
20191115,131.25,134.97,130.78,134.94,60602,134.94
20191118,134.22,135.69,132.66,134.83,60637,134.83
20191119,135.0,135.19,134.21,134.82,27031,134.82
20191120,135.11,136.34,134.07,135.94,43346,135.94
20191121,135.94,136.85,135.0,136.44,38365,136.44
20191122,136.65,138.63,136.5,138.07,61165,138.07
20191125,137.06,137.65,136.24,137.18,35428,137.18
20191126,136.47,137.34,135.15,137.17,49318,137.17
20191127,137.16,138.25,136.9,137.75,25372,137.75
20191129,137.6,138.27,136.94,137.49,19610,137.49
20191202,137.72,137.85,136.85,137.36,27459,137.36
20191203,136.91,137.45,136.16,137.16,31069,137.16
20191204,138.5,139.74,138.04,139.38,49721,139.38
20191205,139.35,139.75,137.95,139.56,30076,139.56
20191206,139.46,141.58,139.46,140.38,43875,140.38
20191209,140.39,140.81,140.06,140.5,21895,140.5
20191210,140.8,141.0,139.91,139.99,33293,139.99
20191211,140.93,141.98,140.63,140.98,40947,140.98
20191212,141.32,142.06,140.73,141.34,31097,141.34
20191213,141.1,141.8,140.31,141.38,25221,141.38
20191216,141.73,142.85,141.49,141.79,27029,141.79
20191217,143.0,144.05,142.52,143.56,52832,143.56
20191218,143.72,143.88,142.74,143.19,30196,143.19
20191219,144.0,145.88,143.61,145.35,48805,145.35
20191220,147.0,147.84,144.8,146.06,68379,146.06
20191223,145.74,146.76,145.34,146.44,27098,146.44
20191224,146.0,146.01,145.26,145.93,12745,145.93
20191226,145.97,146.19,145.16,145.83,18148,145.83
20191227,146.2,146.55,145.54,145.75,13616,145.75
20191230,145.78,146.2,145.03,145.3,14978,145.3
20191231,145.1,146.01,144.78,145.87,20613,145.87
20200102,145.87,146.02,145.08,145.97,36806,145.97
20200103,143.4,145.38,143.0,144.28,35682,144.28
20200106,143.82,144.2,142.85,144.1,42185,144.1
20200107,144.01,145.45,141.38,144.98,50659,144.98
20200108,144.87,145.98,143.7,144.96,39462,144.96
20200109,145.76,146.03,144.99,145.39,33161,145.39
20200110,145.75,146.18,144.9,145.06,27902,145.06
20200113,145.48,145.79,144.72,145.7,23172,145.7
20200114,145.05,146.61,144.73,146.52,38170,146.52
20200115,146.4,147.4,146.24,147.01,29696,147.01
20200116,147.42,148.84,146.2,148.2,37836,148.2
20200117,148.41,149.41,147.93,149.17,52510,149.17
20200121,148.58,150.17,148.5,149.27,58915,149.27
20200122,146.7,149.18,146.0,148.25,62060,148.25
20200123,148.04,148.77,146.75,148.53,43542,148.53
20200124,148.58,148.95,147.93,148.32,49900,148.32
20200127,147.52,149.46,147.0,148.75,41594,148.75
20200128,148.46,150.57,148.15,149.5,38468,149.5
20200129,149.45,151.19,149.13,150.54,37449,150.54
20200130,150.03,150.51,149.05,150.36,42310,150.36
20200131,149.81,150.0,148.64,148.87,49242,148.87
20200203,149.42,150.49,149.24,150.17,35686,150.17
20200204,151.49,152.75,151.2,151.6,39896,151.6
20200205,152.09,154.02,151.31,153.99,38859,153.99
20200206,154.25,154.5,152.74,153.53,36643,153.53
20200207,153.34,153.46,151.55,151.89,33154,151.89
20200210,151.68,151.91,150.89,151.86,22362,151.86
20200211,152.29,152.38,151.54,151.99,23058,151.99
20200212,152.31,152.31,150.92,151.09,31733,151.09
20200213,150.16,151.05,149.88,150.09,33252,150.09
