Date,Open,High,Low,Close,Volume,Adj Close
20190214,102.47,103.1,101.35,102.42,86597,102.42
20190215,103.88,105.7,103.66,105.55,114628,105.55
20190219,104.91,105.37,103.81,105.18,95929,105.18
20190220,105.21,105.8,104.87,105.69,71131,105.69
20190221,105.61,105.99,104.96,105.47,64161,105.47
20190222,105.7,106.09,104.77,105.0,80946,105.0
20190225,105.75,107.27,105.69,106.1,82726,106.1
20190226,104.5,105.47,103.94,105.29,123318,105.29
20190227,105.18,105.38,104.5,105.16,81504,105.16
20190228,105.01,105.21,104.18,104.36,108515,104.36
20190301,105.1,105.91,104.2,104.43,108380,104.43
20190304,104.92,105.92,103.26,104.19,91019,104.19
20190305,104.13,104.55,103.26,104.11,75074,104.11
20190306,103.86,104.57,103.55,103.72,69774,103.72
20190307,103.25,103.47,102.16,102.97,88565,102.97
20190308,101.99,103.23,101.99,103.01,81516,103.01
20190311,103.98,104.55,103.66,104.35,70525,104.35
20190312,104.59,104.79,103.75,104.04,76404,104.04
20190313,104.19,104.98,103.95,104.39,99325,104.39
20190314,104.5,105.87,104.46,105.34,77670,105.34
20190315,105.41,106.8,105.23,106.55,119923,106.55
20190318,106.55,107.79,106.5,107.19,89534,107.19
20190319,108.2,108.4,106.55,106.8,87836,106.8
20190320,106.43,106.65,104.41,104.52,107381,104.52
20190321,103.49,103.49,102.28,102.87,159764,102.87
20190322,101.87,102.32,99.52,99.76,265751,99.76
20190325,99.59,100.57,98.09,98.93,176063,98.93
20190326,99.82,100.4,98.82,99.92,126568,99.92
20190327,99.88,100.45,99.08,99.58,99335,99.58
20190328,100.0,100.8,99.74,100.71,101362,100.71
20190329,101.54,101.99,100.58,101.23,86350,101.23
20190401,102.15,104.68,102.12,104.64,131054,104.64
20190402,104.6,105.44,104.33,105.14,80845,105.14
20190403,105.81,106.36,104.78,105.35,89546,105.35
20190404,104.55,105.73,104.45,105.56,94953,105.56
20190405,105.9,106.11,104.99,105.31,69210,105.31
20190408,105.11,105.65,104.91,105.65,58525,105.65
