Date,Open,High,Low,Close,Volume,Adj Close
20190214,206.59,207.12,204.05,204.93,14312,204.93
20190215,206.99,208.97,206.0,208.86,11581,208.86
20190219,207.91,209.15,207.39,208.41,8572,208.41
20190220,208.93,208.97,207.32,208.53,10599,208.53
20190221,208.16,209.11,207.25,207.77,9441,207.77
20190222,207.77,209.66,207.15,209.35,9754,209.35
20190225,210.28,211.35,210.28,210.58,14830,210.58
20190226,210.58,211.59,209.37,209.38,10440,209.38
20190227,209.6,209.69,208.16,209.03,9010,209.03
20190228,209.05,209.05,206.96,207.39,10120,207.39
20190301,208.81,209.76,206.9,207.49,9463,207.49
20190304,208.99,209.98,205.73,206.86,10124,206.86
20190305,205.58,207.25,203.84,203.84,14556,203.84
20190306,204.73,204.79,202.76,202.8,10898,202.8
20190307,202.56,202.56,198.5,199.86,20910,199.86
20190308,198.38,201.17,198.0,200.89,10441,200.89
20190311,201.88,207.16,201.66,207.1,14333,207.1
20190312,207.84,208.39,205.37,205.8,13358,205.8
20190313,206.83,207.3,205.63,206.66,13298,206.66
20190314,206.7,207.45,205.73,207.38,10255,207.38
20190315,208.4,208.66,206.79,208.08,19738,208.08
20190318,208.44,208.6,205.61,208.49,9866,208.49
20190319,209.1,210.54,208.31,209.02,14951,209.02
20190320,209.0,210.51,207.29,208.3,11042,208.3
20190321,206.8,210.16,205.97,209.61,14653,209.61
20190322,208.29,208.49,204.47,204.66,18148,204.66
20190325,203.46,205.47,202.25,203.21,13643,203.21
20190326,205.0,207.64,204.77,207.24,12973,207.24
20190327,207.4,207.95,205.12,207.16,13609,207.16
20190328,208.0,208.74,206.64,208.53,10988,208.53
20190329,209.29,209.5,206.2,207.78,16193,207.78
20190401,209.89,212.4,209.25,211.94,15907,211.94
20190402,212.61,212.7,211.0,212.13,8595,212.13
20190403,212.95,213.93,212.44,213.13,9610,213.13
20190404,213.5,215.27,212.32,215.03,10706,215.03
20190405,215.88,216.49,214.8,215.41,7790,215.41
20190408,214.71,215.07,213.47,215.02,5799,215.02
20190409,214.42,214.57,211.82,211.96,9182,211.96
20190410,212.42,212.71,210.72,212.11,7755,212.11
20190411,211.71,213.71,211.44,213.53,7708,213.53
20190412,215.1,217.49,214.35,217.42,12175,217.42
20190415,216.84,217.36,214.9,215.83,9637,215.83
20190416,216.59,217.67,215.48,216.9,10371,216.9
20190417,217.63,219.33,217.17,217.64,14260,217.64
20190418,217.98,219.67,217.62,218.88,12048,218.88
20190422,217.3,219.4,217.27,218.54,7939,218.54
20190423,218.01,219.55,217.18,219.5,9739,219.5
20190424,219.0,219.75,218.1,219.08,12950,219.08
20190425,197.54,198.96,189.6,190.72,113961,190.72
20190426,190.53,192.25,189.36,191.67,31814,191.67
20190429,191.52,192.19,189.75,190.21,26771,190.21
20190430,190.86,190.86,186.54,189.51,31704,189.51
20190501,189.7,189.71,185.92,186.07,28239,186.07
20190502,184.5,186.5,183.38,184.75,43739,184.75
20190503,185.81,186.69,184.08,185.22,34822,185.22
20190506,182.04,183.11,180.13,183.04,51836,183.04
20190507,181.81,181.9,177.81,179.12,39695,179.12
20190508,179.51,180.53,178.5,178.59,19760,178.59
20190509,177.3,177.4,174.18,175.28,36919,175.28
20190510,175.02,176.33,173.01,175.86,33508,175.86
20190513,173.94,174.58,172.79,174.07,37856,174.07
20190514,174.79,176.97,174.51,175.21,30453,175.21
20190515,174.02,175.65,173.65,174.12,21544,174.12
20190516,174.39,174.39,171.36,171.81,28751,171.81
20190517,170.0,170.26,168.43,169.09,33857,169.09
20190520,167.96,167.96,165.61,166.25,30233,166.25
20190521,167.0,167.42,166.18,167.3,29807,167.3
20190522,167.43,170.76,166.46,169.74,31534,169.74
20190523,167.58,168.3,164.59,165.87,26450,165.87
20190524,166.34,167.42,165.32,166.09,16433,166.09
20190528,166.82,166.99,163.35,163.35,17149,163.35
20190529,163.01,163.8,160.5,161.4,25464,161.4
20190530,161.4,162.27,160.0,160.58,18129,160.58
20190531,159.83,160.74,159.63,159.75,22563,159.75
20190603,159.75,161.5,159.32,160.04,25772,160.04
20190604,161.73,165.09,161.58,164.29,26066,164.29
20190605,165.22,165.83,162.88,163.85,23097,163.85
20190606,164.0,166.35,162.46,164.72,26717,164.72
20190607,165.08,167.09,164.64,166.61,13900,166.61
20190610,168.11,170.22,167.87,168.29,16058,168.29
20190611,170.11,170.36,168.5,168.91,12201,168.91
20190612,169.87,170.15,168.59,169.01,11976,169.01
20190613,169.36,169.9,167.87,168.85,13281,168.85
20190614,168.24,168.25,166.05,166.69,19161,166.69
20190617,167.1,167.43,166.45,166.78,12122,166.78
20190618,167.85,172.27,167.57,171.86,26994,171.86
20190619,171.88,172.81,170.54,170.75,15354,170.75
20190620,172.87,174.28,171.7,173.94,17432,173.94
20190621,173.75,174.56,172.63,173.35,21790,173.35
20190624,173.35,174.34,173.34,173.38,14012,173.38
20190625,173.25,173.39,171.27,172.03,14543,172.03
20190626,172.35,173.24,171.71,171.88,9049,171.88
20190627,172.51,172.79,170.65,171.5,10413,171.5
20190628,171.85,174.37,171.77,173.34,16013,173.34
20190701,175.46,175.78,173.52,174.51,12831,174.51
20190702,175.1,175.1,173.07,174.02,10401,174.02
20190703,174.17,175.04,172.93,174.98,7168,174.98
20190705,173.0,173.28,169.72,172.0,11026,172.0
20190708,169.92,170.48,168.77,169.19,14898,169.19
20190709,166.82,167.45,164.29,165.7,31267,165.7
20190710,166.19,167.32,165.56,165.7,18742,165.7
20190711,166.3,169.09,165.87,169.04,18934,169.04
20190712,170.1,173.36,169.24,173.34,22443,173.34
20190715,173.38,174.25,171.21,172.84,13684,172.84
20190716,172.75,177.25,172.72,176.49,27808,176.49
20190717,176.35,176.49,174.1,174.67,20722,174.67
20190718,174.42,175.14,172.4,173.06,13898,173.06
20190719,173.01,173.99,172.21,172.61,13217,172.61
20190722,172.81,175.21,172.13,174.64,12795,174.64
20190723,176.0,178.02,175.65,177.52,15664,177.52
20190724,176.93,180.29,176.26,179.42,25546,179.42
20190725,187.01,187.72,176.66,178.13,57311,178.13
20190726,177.63,178.39,170.57,173.98,29780,173.98
20190729,173.83,177.62,173.66,176.76,18679,176.76
20190730,175.66,177.81,173.8,177.63,13330,177.63
20190731,177.65,178.03,173.4,174.72,13637,174.72
20190801,174.79,177.67,173.03,173.36,15677,173.36
20190802,172.86,172.92,169.81,170.55,14561,170.55
20190805,169.15,169.15,164.42,164.71,18096,164.71
20190806,164.82,165.48,162.9,163.71,23306,163.71
20190807,162.0,163.95,158.04,163.64,44872,163.64
20190808,164.37,165.49,163.55,164.22,22324,164.22
20190809,164.54,164.75,162.03,163.47,9479,163.47
20190812,163.02,164.78,161.55,162.12,10965,162.12
20190813,162.56,167.88,162.15,164.88,24920,164.88
20190814,162.3,162.87,158.67,158.81,27994,158.81
20190815,158.06,159.7,155.63,156.84,33047,156.84
20190816,158.17,161.91,157.45,161.5,24504,161.5
20190819,163.71,163.96,161.78,162.95,22609,162.95
20190820,163.11,163.11,160.96,161.01,13433,161.01
20190821,162.69,163.65,161.05,161.15,11670,161.15
20190822,162.0,162.93,160.15,160.88,8845,160.88
20190823,160.08,160.35,155.27,155.85,29778,155.85
20190826,157.01,157.47,155.08,156.12,15007,156.12
20190827,157.33,157.48,155.4,155.75,14948,155.75
20190828,155.1,157.78,154.0,157.55,16943,157.55
20190829,159.3,161.03,159.05,160.36,24475,160.36
20190830,161.57,162.15,160.41,161.72,10024,161.72
20190903,161.4,161.63,157.26,158.64,11071,158.64
20190904,159.83,160.63,158.99,160.07,8980,160.07
20190905,162.46,166.42,162.39,164.23,14673,164.23
20190906,164.64,164.88,162.95,163.94,10739,163.94
20190909,165.0,167.85,164.69,165.94,17722,165.94
20190910,166.16,169.1,166.01,168.86,24151,168.86
20190911,169.79,169.89,165.37,168.08,23241,168.08
20190912,169.62,171.85,168.61,170.58,20063,170.58
20190913,170.59,172.48,169.86,171.44,16809,171.44
20190916,171.21,171.21,167.91,169.67,14783,169.67
20190917,167.76,168.57,166.5,168.07,17215,168.07
20190918,167.61,168.05,165.25,167.44,14702,167.44
20190919,167.39,168.81,166.91,167.07,8748,167.07
20190920,167.43,169.17,166.48,166.76,23407,166.76
20190923,165.49,167.43,164.5,166.76,10704,166.76
20190924,167.05,167.55,164.16,164.74,20209,164.74
20190925,164.76,164.98,163.68,164.0,19660,164.0
