Date,Open,High,Low,Close,Volume,Adj Close
20190214,79.13,79.55,78.68,78.94,55261,78.94
20190215,79.66,80.13,79.27,79.81,81679,79.81
20190219,79.79,80.13,79.08,79.24,72701,79.24
20190220,79.0,79.54,78.81,79.43,52712,79.43
20190221,79.18,80.03,79.15,79.83,58276,79.83
20190222,79.77,80.86,79.77,80.77,56973,80.77
20190225,80.86,80.99,79.99,80.38,70770,80.38
20190226,80.52,81.1,80.0,80.74,58731,80.74
20190227,80.54,81.29,80.43,80.62,61435,80.62
20190228,80.53,81.76,80.53,81.29,64802,81.29
20190301,81.76,81.93,81.17,81.65,66439,81.65
20190304,82.03,82.12,80.53,81.37,61414,81.37
20190305,81.48,82.03,81.22,81.7,59955,81.7
20190306,81.6,81.76,80.29,80.76,60207,80.76
20190307,81.03,81.11,80.03,80.45,74347,80.45
20190308,80.17,80.6,79.05,79.8,80078,79.8
20190311,80.36,81.03,80.07,80.87,57351,80.87
20190312,81.17,81.56,80.78,81.23,62725,81.23
20190313,81.61,82.01,81.19,81.6,50364,81.6
20190314,81.31,81.76,80.93,81.49,56254,81.49
20190315,81.5,81.91,80.8,81.57,80534,81.57
20190318,81.27,81.83,80.92,81.35,63126,81.35
20190319,81.54,82.0,80.96,81.91,58544,81.91
20190320,81.85,82.72,81.38,82.08,67020,82.08
20190321,82.1,83.17,81.85,82.95,68072,82.95
20190322,82.91,83.45,82.01,82.29,76560,82.29
20190325,82.07,82.75,81.92,82.35,57157,82.35
20190326,82.76,83.47,82.57,82.92,56921,82.92
20190327,82.92,83.06,81.81,82.29,49433,82.29
20190328,82.79,82.9,82.17,82.63,47899,82.63
20190329,83.0,83.3,82.71,83.17,54661,83.17
20190401,83.73,83.85,82.94,83.3,54390,83.3
20190402,83.45,83.72,82.9,83.21,40289,83.21
20190403,83.27,83.66,82.75,83.18,45997,83.18
20190404,83.01,83.2,81.21,81.85,78893,81.85
20190405,81.97,82.16,81.11,81.15,77579,81.15
20190408,80.96,81.26,80.35,80.95,61020,80.95
20190409,80.57,80.98,80.26,80.8,69889,80.8
20190410,80.86,81.32,80.65,80.82,48521,80.82
20190411,80.93,80.93,79.39,79.84,73723,79.84
20190412,80.01,80.44,79.3,79.43,74564,79.43
20190415,79.31,79.49,78.47,78.53,97006,78.53
20190416,79.23,79.29,77.42,77.56,85694,77.56
20190417,77.61,77.62,73.75,73.92,232060,73.92
20190418,73.48,74.05,72.23,73.19,263005,73.19
20190422,73.16,73.81,72.74,73.46,92256,73.46
20190423,73.7,75.25,73.4,74.6,124426,74.6
20190424,74.73,75.11,73.98,74.73,89561,74.73
20190425,74.58,76.82,74.46,76.34,109339,76.34
20190426,76.64,76.99,76.09,76.63,62580,76.63
20190429,76.59,77.18,76.48,76.78,54008,76.78
20190430,77.56,78.9,76.0,78.71,76449,78.71
20190501,78.69,79.73,78.43,78.72,86886,78.72
20190502,78.61,79.83,78.61,79.52,78148,79.52
20190503,79.54,80.15,79.25,80.0,52384,80.0
20190506,78.53,79.79,78.29,79.48,61893,79.48
20190507,78.89,79.29,77.41,77.9,69601,77.9
20190508,78.33,78.71,77.9,78.18,69813,78.18
20190509,77.68,78.51,77.24,78.33,55467,78.33
20190510,78.08,78.33,76.81,78.19,57077,78.19
20190513,76.82,77.53,76.82,77.17,69922,77.17
20190514,77.62,78.08,77.36,77.42,58764,77.42
20190515,76.87,77.88,76.8,77.55,52316,77.55
20190516,77.77,79.89,77.73,79.13,68539,79.13
20190517,78.41,79.07,77.85,78.72,60156,78.72
20190520,78.48,79.27,78.25,78.88,50868,78.88
20190521,79.08,79.73,78.52,79.5,83797,79.5
20190522,79.35,81.15,79.31,80.98,93440,80.98
20190523,80.64,81.19,80.41,81.02,69246,81.02
20190524,81.3,81.94,81.11,81.17,43906,81.17
20190528,81.38,81.94,80.23,80.26,64133,80.26
20190529,80.12,80.37,78.75,79.36,77934,79.36
20190530,79.56,79.82,79.19,79.68,50348,79.68
20190531,79.33,79.92,78.8,79.21,44130,79.21
20190603,79.65,80.92,79.52,80.26,59987,80.26
20190604,80.75,81.33,80.11,81.08,55327,81.08
20190605,81.38,82.27,81.08,81.69,55478,81.69
20190606,82.16,82.44,81.43,81.44,58850,81.44
20190607,81.82,82.88,81.82,82.46,52076,82.46
20190610,82.68,82.68,81.65,82.48,48861,82.48
20190611,82.89,83.41,82.44,82.98,52549,82.98
20190612,83.14,84.27,83.14,83.71,70261,83.71
20190613,84.06,84.18,82.53,82.9,56452,82.9
20190614,82.71,83.37,82.46,82.78,43077,82.78
20190617,82.7,83.33,82.53,83.3,39158,83.3
20190618,83.23,84.67,83.23,84.49,74650,84.49
20190619,84.25,85.56,84.21,85.36,63650,85.36
20190620,85.95,86.5,84.32,84.6,85444,84.6
20190621,84.44,84.77,83.64,84.57,82544,84.57
20190624,84.97,86.03,84.74,85.51,56972,85.51
20190625,85.55,86.26,84.81,85.24,62164,85.24
20190626,85.18,85.2,83.09,83.54,69996,83.54
20190627,83.67,84.69,83.4,83.83,78167,83.83
20190628,83.97,84.46,82.98,83.85,121203,83.85
20190701,84.33,84.93,83.88,84.75,69298,84.75
20190702,84.46,85.51,84.09,85.51,71170,85.51
20190703,86.06,87.07,85.99,86.9,44742,86.9
20190705,86.68,86.8,85.49,85.6,55377,85.6
20190708,85.01,85.5,83.5,84.04,97338,84.04
20190709,84.24,85.21,84.09,84.86,59470,84.86
20190710,84.8,85.11,84.35,84.82,43657,84.82
20190711,83.5,83.67,79.78,81.0,176837,81.0
20190712,80.85,80.9,78.63,79.73,145022,79.73
20190715,80.6,81.27,80.12,80.96,73203,80.96
20190716,81.38,81.78,80.89,81.59,57214,81.59
20190717,81.96,82.34,81.57,81.92,62323,81.92
20190718,82.41,82.96,81.6,82.69,58190,82.69
20190719,82.7,82.82,81.15,81.39,61841,81.39
20190722,81.68,81.82,81.05,81.21,43890,81.21
20190723,81.48,82.43,80.89,82.03,50323,82.03
20190724,82.0,82.31,81.12,81.75,49703,81.75
20190725,81.45,83.06,81.05,81.75,72828,81.75
20190726,81.58,81.63,80.91,81.43,57904,81.43
20190729,82.09,82.8,81.61,82.49,77904,82.49
20190730,83.99,85.18,82.82,83.27,116020,83.27
20190731,82.9,84.65,82.84,82.99,90566,82.99
20190801,83.06,84.5,82.64,83.69,72112,83.69
20190802,83.88,84.77,83.55,84.47,82779,84.47
20190805,83.85,84.34,82.15,83.12,72777,83.12
20190806,83.12,84.49,83.1,84.35,71569,84.35
20190807,84.21,84.69,82.8,84.25,82430,84.25
20190808,84.75,85.05,84.32,84.73,59688,84.73
20190809,85.1,86.11,84.71,85.52,61629,85.52
20190812,85.23,85.93,84.52,85.71,53987,85.71
20190813,85.46,86.79,85.46,86.08,57605,86.08
20190814,85.37,85.84,83.35,83.4,72169,83.4
20190815,83.52,83.85,82.89,83.46,61299,83.46
20190816,84.45,85.36,84.15,85.06,60577,85.06
20190819,85.59,86.54,85.45,86.19,46709,86.19
20190820,86.01,86.73,85.58,85.65,42167,85.65
20190821,86.29,87.25,86.13,86.91,47489,86.91
20190822,86.75,87.2,86.25,86.72,40435,86.72
20190823,86.22,86.94,84.48,84.94,61182,84.94
20190826,85.38,85.9,85.08,85.88,38595,85.88
20190827,86.42,86.92,85.45,85.52,36991,85.52
20190828,85.26,86.57,85.04,86.48,41749,86.48
20190829,87.07,87.35,86.18,86.72,45677,86.72
20190830,87.12,87.22,86.17,86.47,36737,86.47
20190903,86.24,87.01,86.04,86.65,41395,86.65
20190904,87.14,87.17,85.42,86.05,53921,86.05
20190905,86.64,86.66,85.5,86.1,52517,86.1
20190906,86.54,86.93,86.31,86.57,43101,86.57
20190909,86.5,86.52,82.92,83.47,80754,83.47
20190910,82.39,82.39,78.85,81.69,127708,81.69
20190911,81.86,83.11,81.62,82.92,57543,82.92
20190912,83.48,84.08,82.79,83.31,52422,83.31
20190913,82.97,83.57,82.12,82.61,46818,82.61
20190916,82.45,82.45,81.69,82.03,36735,82.03
20190917,82.13,83.5,82.13,82.51,45560,82.51
20190918,82.67,83.28,82.38,83.02,43628,83.02
20190919,83.02,84.3,82.88,83.97,45637,83.97
20190920,84.74,85.87,84.32,85.16,110917,85.16
20190923,84.91,85.22,84.34,84.36,51455,84.36
20190924,84.55,84.88,83.38,83.6,59446,83.6
20190925,83.47,84.03,82.95,83.1,44015,83.1
20190926,83.62,84.09,83.03,83.88,57381,83.88
20190927,83.88,83.99,82.58,82.91,54816,82.91
20190930,83.21,85.1,83.21,84.18,65498,84.18
20191001,84.18,84.6,83.54,83.61,44652,83.61
20191002,83.07,83.21,80.54,81.62,58701,81.62
20191003,81.93,82.88,81.63,82.74,39477,82.74
20191004,83.42,85.12,83.16,85.0,52619,85.0
20191007,85.03,85.11,83.95,84.39,35198,84.39
20191008,83.79,84.41,83.08,83.29,43346,83.29
20191009,84.17,84.49,83.53,84.18,30100,84.18
20191010,84.14,84.85,83.58,83.76,52040,83.76
20191011,84.3,85.44,84.26,84.34,43337,84.34
20191014,84.37,85.11,84.28,84.69,24915,84.69
20191015,84.9,85.1,84.59,85.04,33499,85.04
20191016,85.06,85.09,84.42,84.45,36491,84.45
20191017,84.42,84.65,83.73,83.8,47412,83.8
20191018,83.71,84.91,83.66,84.68,51665,84.68
20191021,84.97,85.06,84.08,84.52,28222,84.52
20191022,82.0,82.68,80.25,81.3,135520,81.3
20191023,81.29,82.87,81.16,82.87,59170,82.87
20191024,83.11,83.64,82.04,82.58,37693,82.58
20191025,82.27,82.85,82.03,82.26,53598,82.26
20191028,82.73,83.47,80.34,82.2,124245,82.2
20191029,84.05,85.77,82.7,85.1,133046,85.1
20191030,85.0,86.49,84.32,86.22,71731,86.22
20191031,86.1,86.99,85.51,86.66,61988,86.66
20191101,87.07,87.24,84.79,84.94,63759,84.94
20191104,85.59,85.7,83.88,83.9,56519,83.9
20191105,83.67,83.75,82.73,82.92,59266,82.92
20191106,83.56,83.96,83.13,83.25,52220,83.25
20191107,83.23,83.99,82.67,82.88,62451,82.88
20191108,82.91,83.71,82.71,83.59,43608,83.59
20191111,83.16,83.64,82.96,83.28,24737,83.28
20191112,83.58,84.82,83.58,84.12,51446,84.12
20191113,84.55,85.11,84.11,84.82,43886,84.82
20191114,84.92,85.18,83.7,84.55,58799,84.55
20191115,84.69,85.6,84.64,84.9,58686,84.9
20191118,84.66,84.76,83.85,84.13,56711,84.13
20191119,84.4,84.95,83.97,84.65,65687,84.65
20191120,84.53,85.48,84.45,85.27,46959,85.27
20191121,85.7,85.77,84.27,85.46,47430,85.46
20191122,85.65,86.36,85.32,85.45,51588,85.45
20191125,86.04,86.59,85.34,85.7,56094,85.7
20191126,86.0,87.44,85.91,87.34,61242,87.34
20191127,87.4,87.87,86.99,87.61,40633,87.61
20191129,87.17,87.77,87.03,87.18,25288,87.18
20191202,87.54,87.99,86.55,87.04,31025,87.04
