Date,Open,High,Low,Close,Volume,Adj Close
20190214,41.39,43.16,41.31,42.23,362966,42.23
20190215,42.26,42.4,41.42,41.99,253267,41.99
20190219,41.69,42.49,41.5,41.96,217713,41.96
20190220,42.31,43.26,42.13,42.21,234832,42.21
20190221,42.47,42.87,41.42,41.53,208860,41.53
20190222,42.08,42.57,41.83,42.57,198225,42.57
20190225,43.8,43.99,42.7,42.75,216680,42.75
20190226,42.35,43.15,42.29,42.96,157338,42.96
20190227,42.62,42.76,41.01,41.32,249372,41.32
20190228,40.2,41.15,39.8,40.88,212460,40.88
20190301,41.64,42.56,41.11,41.58,226369,41.58
20190304,41.93,42.15,40.64,41.06,238625,41.06
20190305,40.25,40.67,39.51,39.99,252786,39.99
20190306,39.39,39.45,37.52,37.93,407979,37.93
20190307,37.54,38.31,37.13,37.83,280625,37.83
20190308,36.89,38.82,36.57,38.65,300980,38.65
20190311,38.91,39.55,38.83,39.03,209954,39.03
20190312,39.17,39.4,38.83,39.25,160264,39.25
20190313,39.4,39.72,38.64,38.83,196758,38.83
20190314,38.77,39.63,38.34,38.41,174205,38.41
20190315,38.49,39.84,38.43,39.54,239257,39.54
20190318,39.6,40.41,39.15,39.61,190671,39.61
20190319,39.93,41.05,39.89,40.37,287545,40.37
20190320,40.52,40.75,39.62,40.13,302898,40.13
20190321,41.7,44.21,41.6,43.99,753050,43.99
20190322,43.47,43.48,41.55,41.62,425523,41.62
20190325,41.34,41.98,40.06,40.55,312767,40.55
20190326,41.21,41.65,40.1,40.32,220508,40.32
20190327,40.42,40.85,39.01,39.23,240965,39.23
20190328,39.4,39.94,39.02,39.34,223336,39.34
20190329,40.25,41.52,40.2,41.33,319125,41.33
20190401,42.18,42.76,41.71,42.25,249951,42.25
20190402,42.08,42.79,41.75,42.44,191128,42.44
20190403,43.67,44.85,43.55,43.9,349488,43.9
20190404,42.36,43.33,42.25,42.89,301687,42.89
20190405,43.32,43.54,42.72,43.32,189054,43.32
20190408,42.19,43.14,42.12,42.9,201877,42.9
20190409,42.54,42.6,41.27,41.72,254729,41.72
20190410,41.69,42.44,41.51,42.17,205664,42.17
20190411,42.2,42.73,42.13,42.28,162847,42.28
20190412,42.78,43.2,41.8,42.01,179054,42.01
20190415,42.17,42.23,41.2,41.82,141864,41.82
20190416,42.35,42.93,42.08,42.76,165618,42.76
20190417,43.21,44.05,42.76,43.15,196998,43.15
20190418,43.13,43.53,42.79,43.4,124372,43.4
20190422,43.14,43.57,42.53,43.4,140522,43.4
20190423,43.46,43.47,42.72,42.77,150196,42.77
20190424,42.82,43.4,42.38,43.03,164815,43.03
20190425,43.62,44.65,42.69,42.75,248164,42.75
20190426,41.46,42.28,40.76,42.1,236924,42.1
20190429,42.11,42.61,41.73,42.11,117835,42.11
20190430,41.96,42.36,41.58,42.06,139580,42.06
20190501,42.42,42.93,41.89,41.9,154410,41.9
20190502,42.0,43.2,41.63,42.56,150331,42.56
20190503,42.49,43.38,42.41,43.33,144725,43.33
20190506,41.4,42.3,41.0,42.13,226209,42.13
20190507,41.68,41.93,39.73,40.26,278828,40.26
20190508,39.93,40.5,39.58,39.75,232187,39.75
20190509,39.02,39.63,38.2,39.27,244083,39.27
20190510,38.97,39.29,37.64,38.94,266042,38.94
20190513,37.4,37.98,37.05,37.38,261759,37.38
20190514,37.91,38.61,37.4,38.51,204266,38.51
20190515,37.92,38.7,37.76,38.41,150100,38.41
20190516,37.74,37.99,37.1,37.31,255128,37.31
20190517,36.61,37.28,35.8,36.06,261754,36.06
20190520,34.82,35.2,34.32,34.62,298330,34.62
20190521,35.29,35.88,35.15,35.64,255124,35.64
20190522,35.2,35.45,34.63,34.73,180022,34.73
20190523,33.94,33.94,32.96,33.82,272896,33.82
20190524,34.16,34.36,33.59,34.0,175156,34.0
20190528,34.15,34.31,32.88,32.94,212880,32.94
20190529,32.3,33.42,32.17,33.29,251565,33.29
20190530,33.43,34.32,33.03,33.32,186132,33.32
20190531,32.59,33.33,32.52,32.61,157637,32.61
20190603,32.94,33.22,32.47,32.69,183642,32.69
20190604,33.36,34.56,33.1,34.49,217668,34.49
20190605,35.2,35.4,33.04,33.34,227702,33.34
20190606,33.31,33.82,32.94,33.47,190120,33.47
20190607,33.55,34.03,33.22,33.99,180615,33.99
20190610,34.6,35.54,34.52,34.94,186323,34.94
20190611,35.8,35.99,34.75,34.84,164940,34.84
20190612,34.01,34.1,32.73,32.96,252380,32.96
20190613,33.08,33.64,33.0,33.38,141437,33.38
20190614,32.5,32.84,32.24,32.66,169168,32.66
20190617,32.54,32.85,32.14,32.43,163847,32.43
20190618,32.93,34.89,32.9,34.29,289373,34.29
20190619,34.69,34.69,33.7,33.94,173411,33.94
20190620,34.84,35.26,34.02,34.15,180958,34.15
20190621,33.66,33.89,32.73,33.25,299340,33.25
20190624,33.17,34.08,33.02,33.19,236051,33.19
20190625,33.35,33.88,32.61,32.68,262971,32.68
20190626,35.87,37.62,35.7,37.04,883107,37.04
20190627,36.86,38.33,36.51,38.07,436218,38.07
20190628,39.36,39.4,38.05,38.59,403373,38.59
20190701,41.11,41.71,39.74,40.11,513345,40.11
20190702,39.62,40.04,39.02,39.6,266472,39.6
20190703,39.6,39.77,39.17,39.59,117135,39.59
20190705,39.04,39.56,38.79,39.42,160057,39.42
20190708,39.03,40.61,38.94,40.41,242385,40.41
20190709,40.18,41.41,40.08,41.35,237521,41.35
