Date,Open,High,Low,Close,Volume,Adj Close
20190214,152.84,155.67,151.1,154.53,131757,154.53
20190215,162.71,163.87,156.42,157.34,321635,157.34
20190219,156.91,159.89,156.14,156.64,108737,156.64
20190220,157.81,161.26,157.37,158.55,107267,158.55
20190221,159.06,160.05,155.18,155.77,84549,155.77
20190222,157.83,159.95,157.31,159.19,78560,159.19
20190225,162.57,165.28,158.34,158.69,127447,158.69
20190226,158.53,160.76,155.75,157.1,101260,157.1
20190227,156.52,157.59,153.11,155.41,99673,155.41
20190228,155.0,155.9,153.36,154.26,60341,154.26
20190301,156.27,158.15,153.92,156.45,67889,156.45
20190304,158.07,158.92,154.5,156.78,82747,156.78
20190305,156.15,158.06,153.96,156.52,69572,156.52
20190306,156.16,156.5,151.94,152.05,78461,152.05
20190307,151.1,151.49,147.4,149.26,94149,149.26
20190308,145.66,151.07,144.8,150.64,78409,150.64
20190311,151.6,162.06,149.69,161.14,177309,161.14
20190312,162.2,164.39,159.19,162.52,120075,162.52
20190313,164.03,169.8,163.73,168.62,160351,168.62
20190314,168.94,169.47,165.25,165.56,101396,165.56
20190315,167.61,171.53,167.16,169.81,124167,169.81
20190318,171.08,173.25,167.85,168.95,100147,168.95
20190319,172.89,177.5,172.08,175.71,178642,175.71
20190320,176.88,179.03,173.0,174.4,146914,174.4
20190321,175.33,185.0,175.13,183.94,164694,183.94
20190322,182.84,184.8,176.94,177.5,160060,177.5
20190325,175.86,178.45,171.11,173.78,106067,173.78
20190326,179.34,181.75,174.59,176.87,147269,176.87
20190327,177.91,179.77,173.7,176.5,99220,176.5
20190328,177.52,179.9,175.11,177.25,97607,177.25
20190329,179.92,180.54,177.91,179.56,90558,179.56
20190401,183.26,183.5,180.37,182.28,99924,182.28
20190402,183.21,184.79,181.52,183.0,93295,183.0
20190403,185.0,191.0,184.8,188.62,160527,188.62
20190404,188.0,189.97,185.73,188.26,89233,188.26
20190405,190.0,191.65,188.53,190.95,93421,190.95
20190408,189.72,192.8,188.75,191.79,87425,191.79
20190409,190.43,190.89,187.56,189.26,88576,189.26
20190410,189.23,193.14,189.05,192.1,90590,192.1
20190411,192.1,193.47,189.55,191.54,77137,191.54
20190412,193.15,193.26,189.66,190.01,70272,190.01
20190415,189.7,189.9,183.1,184.7,82760,184.7
20190416,186.28,188.97,184.96,188.21,71311,188.21
20190417,189.51,190.46,186.39,187.29,61185,187.29
20190418,187.38,188.93,185.18,186.3,67894,186.3
20190422,185.35,189.1,184.08,188.47,50740,188.47
20190423,189.0,191.93,188.61,190.67,61050,190.67
20190424,191.18,192.81,188.64,191.17,59217,191.17
20190425,189.52,190.45,183.7,186.91,90138,186.91
20190426,180.8,180.89,173.3,178.09,177568,178.09
20190429,178.39,180.45,175.5,179.33,77553,179.33
20190430,178.04,182.03,177.26,181.0,73259,181.0
20190501,183.2,184.81,180.46,180.47,71148,180.47
20190502,180.86,184.87,179.11,183.19,79601,183.19
