Date,Open,High,Low,Close,Volume,Adj Close
20190214,273.78,275.64,272.87,274.38,634239,274.38
20190215,276.34,277.41,276.13,277.37,614337,277.37
20190219,276.49,278.58,276.47,277.85,426948,277.85
20190220,277.81,278.92,277.25,278.41,573108,278.41
20190221,277.73,278.1,276.34,277.42,483219,277.42
20190222,278.11,279.36,277.82,279.14,543635,279.14
20190225,280.73,281.31,279.43,279.52,481430,279.52
20190226,279.13,280.3,278.9,279.32,450471,279.32
20190227,278.55,279.59,277.48,279.2,440163,279.2
20190228,278.96,279.45,278.32,278.68,472772,278.68
20190301,280.44,280.88,278.82,280.42,559211,280.42
20190304,281.6,281.87,276.84,279.4,758016,279.4
20190305,279.55,279.76,278.41,279.02,392135,279.02
20190306,279.15,279.16,276.97,277.33,528101,277.33
20190307,276.83,276.99,274.07,275.01,758387,275.01
20190308,272.93,274.65,272.42,274.46,632848,274.46
20190311,275.26,278.62,275.23,278.44,473217,278.44
20190312,279.04,280.07,278.85,279.49,502103,279.49
20190313,280.48,282.38,280.3,281.34,522774,281.34
20190314,281.37,281.84,280.66,281.16,389601,281.16
20190315,280.54,282.21,280.33,281.31,505982,281.31
20190318,281.55,282.66,281.3,282.33,440667,282.33
20190319,283.51,284.36,281.41,282.4,630406,282.4
20190320,282.17,283.5,280.32,281.55,681930,281.55
20190321,280.63,285.18,280.59,284.73,630442,284.73
20190322,283.22,283.81,279.18,279.25,983079,279.25
20190325,278.88,280.19,277.64,279.04,606098,279.04
20190326,280.99,282.18,279.56,281.12,481973,281.12
20190327,281.11,281.76,277.93,279.65,584729,279.65
20190328,280.35,281.21,279.07,280.71,465766,280.71
20190329,282.39,282.84,281.14,282.48,495922,282.48
20190401,284.71,286.16,284.4,285.83,512226,285.83
20190402,286.04,286.23,285.09,285.97,332628,285.97
20190403,287.32,287.76,285.75,286.42,482163,286.42
20190404,286.78,287.46,286.01,287.18,392922,287.18
20190405,287.92,288.63,287.6,288.57,384365,288.57
20190408,288.1,288.91,287.37,288.79,357945,288.79
20190409,287.72,288.08,286.7,287.31,476663,287.31
20190410,287.77,288.39,287.31,288.29,355091,288.29
20190411,288.83,288.84,287.57,288.21,366718,288.21
20190412,290.0,290.47,289.26,290.16,406997,290.16
20190415,290.24,290.35,289.07,289.97,324954,289.97
20190416,290.95,291.01,289.5,290.16,343059,290.16
20190417,291.4,291.43,288.99,289.45,407543,289.45
20190418,290.1,290.32,288.66,290.02,382917,290.02
20190422,289.17,290.44,289.07,290.27,277097,290.27
20190423,290.68,293.14,290.42,292.88,374555,292.88
20190424,292.77,293.16,292.07,292.23,317250,292.23
20190425,292.13,292.78,290.73,292.05,365245,292.05
20190426,292.1,293.49,291.24,293.41,351186,293.41
20190429,293.51,294.45,293.41,293.87,273649,293.87
20190430,293.49,294.34,291.92,294.02,438173,294.02
20190501,294.72,294.95,291.8,291.81,543978,291.81
20190502,291.68,292.7,289.52,291.18,533750,291.18
20190503,292.82,294.34,292.56,294.03,379522,294.03
20190506,289.25,293.31,288.9,292.82,599448,292.82
20190507,290.15,290.81,285.81,287.93,1002690,287.93
20190508,287.54,289.43,286.87,287.53,644375,287.53
20190509,285.24,287.33,283.3,286.66,820745,286.66
20190510,285.62,288.94,282.3,288.1,913275,288.1
20190513,282.42,283.49,279.93,280.86,975457,280.86
20190514,282.02,285.1,281.85,283.4,606640,283.4
20190515,281.59,285.77,281.36,285.06,536333,285.06
20190516,285.84,289.21,285.76,287.7,543132,287.7
20190517,285.14,288.6,285.13,285.84,619691,285.84
20190520,284.06,285.43,283.12,283.95,491418,283.95
20190521,285.83,286.93,285.55,286.51,356213,286.51
20190522,285.45,286.67,285.1,285.63,366584,285.63
20190523,283.16,283.21,280.57,282.14,743490,282.14
20190524,283.74,284.2,282.09,282.78,375265,282.78
20190528,283.09,284.15,280.15,280.15,518418,280.15
20190529,278.91,279.36,276.71,278.27,789145,278.27
20190530,279.11,280.04,277.8,279.03,455039,279.03
20190531,276.2,277.12,275.24,275.27,619928,275.27
20190603,275.31,276.56,273.09,274.57,779408,274.57
20190604,277.12,280.68,276.62,280.53,593301,280.53
20190605,282.33,282.99,280.32,282.96,541003,282.96
20190606,283.29,285.55,282.57,284.8,482136,284.8
20190607,285.93,288.85,285.74,287.65,541011,287.65
20190610,289.36,290.82,288.87,288.97,463538,288.97
20190611,290.99,291.4,288.18,288.9,424660,288.9
20190612,288.64,289.26,287.81,288.39,340598,288.39
20190613,289.4,289.98,288.62,289.58,353185,289.58
20190614,289.26,289.93,288.41,289.26,347450,289.26
20190617,289.52,290.22,289.18,289.37,290937,289.37
20190618,291.39,293.57,290.99,292.4,608313,292.4
20190619,292.55,293.65,291.47,293.06,534101,293.06
20190620,296.04,296.31,293.12,295.86,624754,295.86
20190621,294.14,295.52,293.76,294.0,485754,294.0
20190624,294.23,294.58,293.47,293.64,310274,293.64
20190625,293.69,293.73,290.64,290.76,504551,290.76
20190626,291.75,292.31,290.34,290.47,328842,290.47
20190627,291.31,292.06,290.89,291.5,291478,291.5
20190628,292.58,293.55,292.01,293.0,415107,293.0
20190701,296.68,296.92,294.33,295.66,526067,295.66
20190702,295.61,296.49,294.68,296.43,428849,296.43
20190703,297.18,298.82,297.02,298.8,264039,298.8
20190705,297.45,298.64,296.01,298.46,356905,298.46
20190708,297.01,297.35,296.22,296.82,301872,296.82
20190709,295.54,297.52,295.48,297.19,278692,297.19
20190710,298.37,299.66,297.78,298.61,405490,298.61
20190711,299.32,299.58,298.2,299.31,381213,299.31
20190712,299.85,300.73,299.51,300.65,308629,300.65
20190715,301.13,301.13,300.19,300.75,222948,300.75
20190716,300.65,300.88,299.44,299.71,290187,299.71
20190717,299.75,299.93,297.74,297.74,302471,297.74
20190718,297.19,299.25,296.7,298.83,395463,298.83
20190719,300.02,300.07,296.96,297.17,435051,297.17
20190722,297.61,298.5,297.04,297.9,267982,297.9
20190723,299.14,300.03,298.22,300.03,324046,300.03
20190724,299.18,301.44,299.09,301.44,297443,301.44
20190725,300.95,301.0,299.11,300.0,377094,300.0
20190726,300.76,302.23,300.62,302.01,274336,302.01
20190729,301.88,301.93,300.85,301.46,271525,301.46
20190730,299.9,301.17,299.49,300.72,310261,300.72
20190731,300.99,301.2,295.2,297.43,822384,297.43
20190801,297.6,300.87,293.96,294.84,1121765,294.84
20190802,293.85,294.12,290.9,292.62,831326,292.62
20190805,288.09,288.21,281.72,283.82,1321027,283.82
20190806,285.91,288.04,284.28,287.8,810061,287.8
20190807,284.41,288.82,282.04,287.97,945716,287.97
20190808,289.61,293.62,289.01,293.62,578410,293.62
20190809,292.56,293.24,289.65,291.62,672396,291.62
20190812,289.96,290.57,287.02,288.07,479428,288.07
20190813,287.74,294.15,287.36,292.55,746197,292.55
20190814,288.07,288.74,283.76,283.9,1019894,283.9
20190815,284.9,285.64,282.39,284.65,721593,284.65
20190816,286.48,289.33,284.71,288.85,521448,288.85
20190819,292.18,293.08,291.44,292.33,371246,292.33
20190820,291.77,292.36,289.95,290.09,365192,290.09
20190821,292.47,292.86,291.72,292.45,324678,292.45
20190822,293.23,293.93,290.4,292.36,410944,292.36
20190823,290.92,292.76,283.47,284.85,1033518,284.85
20190826,287.27,288.0,285.58,288.0,479907,288.0
20190827,289.54,289.95,286.03,286.87,461373,286.87
20190828,286.14,289.07,285.25,288.89,442688,288.89
20190829,291.72,293.16,290.61,292.58,435825,292.58
20190830,294.22,294.24,291.42,292.45,440021,292.45
20190903,290.57,291.58,289.27,290.74,471912,290.74
20190904,293.14,294.06,292.31,294.04,353988,294.04
20190905,296.79,298.83,296.64,297.82,590075,297.82
20190906,298.17,298.76,297.42,298.05,362325,298.05
20190909,299.15,299.24,297.16,298.2,356150,298.2
20190910,297.36,298.2,295.97,298.13,410651,298.13
20190911,298.47,300.34,297.75,300.25,418608,300.25
20190912,301.25,302.46,300.41,301.29,524566,301.29
20190913,301.78,302.17,300.68,301.09,367954,301.09
20190916,299.84,300.65,299.45,300.16,376057,300.16
20190917,299.93,301.02,299.75,300.92,282747,300.92
20190918,300.49,301.22,298.24,301.1,537472,301.1
20190919,301.53,302.63,300.71,301.08,409007,301.08
20190920,300.36,300.67,297.41,298.28,542464,298.28
20190923,297.55,299.0,297.27,298.21,283262,298.21
20190924,299.41,299.84,294.81,295.87,756165,295.87
20190925,295.95,298.11,294.33,297.62,486578,297.62
20190926,297.63,297.86,295.45,297.0,436000,297.0
20190927,297.83,297.95,293.69,295.4,609031,295.4
20190930,295.96,297.55,295.92,296.77,364900,296.77
20191001,297.74,298.46,293.0,293.24,611291,293.24
20191002,291.51,291.51,286.64,288.06,889297,288.06
20191003,287.82,290.42,284.82,290.42,717637,290.42
20191004,291.14,294.63,291.08,294.35,443918,294.35
20191007,293.47,295.26,292.77,293.08,444497,293.08
20191008,291.04,291.85,288.49,288.53,706644,288.53
20191009,290.75,292.3,290.06,291.27,413392,291.27
20191010,291.18,294.21,291.0,293.24,451920,293.24
20191011,296.25,298.74,296.14,296.28,696656,296.28
20191014,295.92,296.67,295.57,295.95,270476,295.95
20191015,297.09,299.7,296.97,298.88,358183,298.88
20191016,298.35,299.16,297.92,298.4,316475,298.4
20191017,299.67,300.24,298.51,299.28,348969,299.28
20191018,298.68,299.4,296.99,297.97,409435,297.97
20191021,299.42,300.21,298.93,299.99,262764,299.99
20191022,300.58,300.9,298.91,299.01,301328,299.01
20191023,298.73,299.94,298.49,299.88,245332,299.88
20191024,300.91,301.07,299.46,300.37,276755,300.37
20191025,299.74,302.2,299.69,301.6,318285,301.6
20191028,302.94,303.85,302.91,303.3,282243,303.3
20191029,303.0,304.23,302.86,303.21,312178,303.21
20191030,303.43,304.55,301.99,304.14,372573,304.14
20191031,304.11,304.13,301.73,303.33,507420,303.33
20191101,304.91,306.19,304.74,306.14,474934,306.14
20191104,307.85,308.0,306.96,307.37,306971,307.37
20191105,307.59,307.92,306.71,307.03,305255,307.03
20191106,307.03,307.4,306.06,307.1,330204,307.1
20191107,308.58,309.46,307.66,308.18,368520,308.18
20191108,307.8,308.97,307.03,308.94,313710,308.94
20191111,307.42,308.54,307.27,308.35,212321,308.35
20191112,308.74,309.99,308.15,309.0,327235,309.0
20191113,307.91,309.54,307.66,309.1,383137,309.1
20191114,308.79,309.64,308.09,309.55,336108,309.55
20191115,311.01,311.83,310.26,311.79,320105,311.79
20191118,311.53,312.28,311.03,312.02,279715,312.02
20191119,312.67,312.69,311.22,311.93,415153,311.93
20191120,311.28,311.85,309.06,310.77,539746,310.77
20191121,310.88,311.01,309.39,310.27,359061,310.27
20191122,311.09,311.24,309.85,310.96,267848,310.96
20191125,311.98,313.37,311.98,313.37,293477,313.37
20191126,313.41,314.28,313.06,314.08,265202,314.08
20191127,314.61,315.48,314.37,315.48,232193,315.48
