Date,Open,High,Low,Close,Volume,Adj Close
20190214,142.98,143.48,142.4,143.16,41042,143.16
20190215,144.55,144.91,143.81,144.91,42242,144.91
20190219,144.44,144.88,144.02,144.44,39068,144.44
20190220,144.35,144.84,143.52,144.73,36532,144.73
20190221,144.35,145.03,143.18,144.0,38477,144.0
20190222,144.42,146.29,144.42,145.87,45555,145.87
20190225,146.91,147.2,145.81,146.06,41024,146.06
20190226,145.2,147.4,145.02,147.04,48472,147.04
20190227,146.5,147.49,145.92,147.22,40683,147.22
20190228,147.26,148.82,147.23,148.12,38473,148.12
20190301,149.46,149.93,148.38,149.47,55273,149.47
20190304,150.07,150.19,146.95,147.96,51023,147.96
20190305,148.0,149.29,147.83,147.95,38913,147.95
20190306,148.0,148.52,147.42,147.81,31926,147.81
20190307,147.26,147.81,146.04,146.83,37240,146.83
20190308,145.44,147.48,144.5,147.35,36490,147.35
20190311,148.11,150.97,148.02,150.67,50734,150.67
20190312,151.0,153.14,150.87,151.73,67478,151.73
20190313,152.3,154.04,152.04,152.47,57755,152.47
20190314,152.6,154.69,152.3,154.2,64630,154.2
20190315,153.83,156.82,153.36,155.46,98492,155.46
20190318,155.92,156.41,154.42,154.96,43754,154.96
20190319,155.95,155.97,154.14,154.59,40849,154.59
20190320,154.34,154.87,152.71,153.75,39805,153.75
20190321,153.32,156.68,153.31,155.8,51824,155.8
20190322,154.99,155.68,152.85,153.07,52450,153.07
20190325,152.36,154.07,151.54,153.03,53651,153.03
20190326,153.77,155.6,153.77,155.3,43655,155.3
20190327,155.36,155.86,153.36,154.22,45493,154.22
20190328,154.93,155.08,153.61,154.67,62164,154.67
20190329,155.73,156.29,154.93,156.19,68571,156.19
20190401,157.53,157.73,156.55,157.26,42646,157.26
20190402,157.6,158.15,156.75,157.78,35751,157.78
20190403,158.55,159.11,157.85,158.46,42522,158.46
20190404,158.53,158.69,156.53,157.64,38234,157.64
20190405,158.0,158.63,157.23,157.65,31269,157.65
20190408,157.55,157.86,156.32,157.75,33488,157.75
20190409,156.56,157.99,156.47,157.49,28255,157.49
20190410,157.99,158.78,157.52,158.56,27415,158.56
20190411,159.11,159.3,157.44,157.86,30655,157.86
20190412,158.71,159.64,157.86,159.64,39791,159.64
20190415,159.83,160.48,159.19,160.44,34923,160.44
20190416,161.04,161.1,159.55,160.23,36645,160.23
20190417,161.0,161.07,160.31,160.44,33911,160.44
20190418,160.93,161.11,159.0,160.16,42005,160.16
20190422,159.2,160.48,159.06,160.4,30352,160.4
20190423,161.0,161.88,159.87,161.66,47272,161.66
20190424,161.75,162.03,160.65,161.49,53190,161.49
20190425,160.52,161.6,158.55,161.02,70498,161.02
20190426,161.3,163.03,160.4,162.93,40508,162.93
20190429,163.21,164.5,163.1,164.15,44543,164.15
20190430,164.98,165.7,163.92,164.43,45115,164.43
20190501,165.54,165.74,162.75,162.79,37707,162.79
20190502,162.1,163.08,160.43,161.12,41807,161.12
20190503,162.3,162.74,161.18,162.04,30330,162.04
20190506,158.21,162.65,158.2,162.28,38463,162.28
20190507,160.95,161.78,158.68,160.21,42122,160.21
20190508,159.77,161.7,159.52,160.76,34636,160.76
20190509,158.86,159.85,157.17,159.81,48583,159.81
20190510,158.86,161.4,157.27,160.71,37588,160.71
20190513,157.19,158.72,156.42,157.33,46685,157.33
20190514,158.02,161.52,157.94,160.21,39469,160.21
20190515,159.32,163.16,159.1,162.79,41470,162.79
20190516,163.45,165.61,162.86,164.87,50571,164.87
20190517,163.29,165.2,163.2,164.09,31519,164.09
20190520,163.35,164.74,162.33,163.47,30517,163.47
20190521,164.58,164.86,163.19,163.86,35009,163.86
20190522,163.6,165.62,163.45,164.24,32686,164.24
20190523,163.5,164.25,160.82,161.51,40802,161.51
20190524,162.75,163.41,161.72,162.64,27056,162.64
20190528,163.4,165.77,163.33,163.71,39024,163.71
20190529,163.3,163.5,161.48,162.73,37407,162.73
20190530,162.8,163.5,161.94,162.76,33045,162.76
20190531,160.91,162.13,160.56,161.33,31654,161.33
20190603,161.54,162.83,156.75,158.6,53162,158.6
20190604,160.29,162.37,158.65,162.33,43644,162.33
20190605,163.5,165.4,162.69,165.39,38305,165.39
20190606,165.88,167.4,164.94,166.92,40052,166.92
20190607,168.0,171.61,167.8,170.05,53778,170.05
20190610,171.84,172.02,170.51,170.82,49734,170.82
20190611,171.95,172.18,168.42,170.31,42868,170.31
20190612,170.38,171.62,169.7,171.59,33113,171.59
20190613,172.14,172.2,168.72,169.35,48993,169.35
20190614,169.77,170.64,168.84,169.66,30551,169.66
20190617,169.73,170.42,169.03,169.56,29517,169.56
20190618,170.65,170.67,167.55,169.28,47856,169.28
20190619,169.39,171.2,169.21,170.69,42446,170.69
20190620,172.51,173.94,171.75,173.74,64051,173.74
20190621,173.27,174.81,173.16,173.44,57129,173.44
20190624,174.6,174.73,172.72,173.85,33400,173.85
20190625,174.81,174.94,170.59,171.28,43838,171.28
20190626,171.39,172.39,170.81,171.06,30976,171.06
20190627,172.12,172.4,170.32,171.23,29309,171.23
20190628,171.96,173.55,170.52,173.55,35955,173.55
20190701,175.33,175.54,172.74,173.94,40852,173.94
20190702,174.1,175.32,173.3,175.28,33910,175.28
20190703,176.0,176.99,175.72,176.87,26858,176.87
20190705,175.86,177.04,174.51,176.66,28503,176.66
20190708,176.3,176.61,175.4,176.19,23471,176.19
20190709,175.43,177.89,175.3,177.73,33663,177.73
20190710,178.58,180.26,178.58,179.31,30948,179.31
20190711,180.15,180.94,179.46,180.74,34171,180.74
20190712,181.35,181.35,178.92,180.33,38003,180.33
20190715,180.64,181.07,179.94,180.57,28737,180.57
20190716,180.37,180.88,178.73,179.31,37104,179.31
20190717,179.77,180.21,179.01,179.15,26283,179.15
20190718,178.63,180.62,178.58,180.53,31471,180.53
20190719,181.84,181.84,179.14,179.24,34371,179.24
20190722,179.64,180.98,179.14,180.57,34804,180.57
20190723,180.89,181.27,179.06,180.9,50534,180.9
20190724,180.79,183.43,179.25,183.33,59982,183.33
20190725,183.87,183.99,181.3,181.59,39066,181.59
20190726,182.41,183.82,182.21,183.69,33347,183.69
20190729,183.89,184.07,182.73,183.21,27377,183.21
20190730,182.6,183.38,181.27,181.53,33351,181.53
20190731,181.79,182.05,176.06,178.0,51316,178.0
20190801,179.19,182.4,178.17,179.17,59073,179.17
20190802,178.0,178.27,174.69,177.42,52379,177.42
20190805,172.0,173.5,166.97,168.86,99486,168.86
20190806,171.79,172.95,170.13,172.48,67871,172.48
20190807,171.42,175.73,170.34,175.32,49004,175.32
20190808,177.43,179.95,176.57,179.9,51085,179.9
20190809,179.67,180.1,177.85,179.05,36703,179.05
20190812,177.44,178.65,175.6,176.34,35125,176.34
20190813,174.39,178.92,174.21,178.61,48704,178.61
20190814,176.24,177.25,173.16,173.51,45746,173.51
20190815,174.26,177.02,173.52,176.27,39368,176.27
20190816,178.0,178.75,177.2,178.23,27599,178.23
20190819,180.42,180.42,178.12,179.74,36305,179.74
20190820,179.43,180.63,178.49,179.24,23316,179.24
20190821,180.69,181.69,180.24,180.94,24788,180.94
20190822,181.95,182.33,178.61,180.09,34615,180.09
20190823,179.55,180.5,174.23,175.23,42076,175.23
20190826,176.41,177.67,175.35,177.59,28300,177.59
20190827,178.32,179.19,176.94,178.38,22855,178.38
20190828,176.99,178.99,176.14,178.67,21168,178.67
20190829,180.4,181.39,179.31,181.17,23103,181.17
20190830,181.99,182.18,179.66,180.82,20932,180.82
20190903,180.52,181.25,179.1,179.2,28585,179.2
20190904,180.9,182.2,180.05,181.77,27678,181.77
20190905,183.73,185.68,183.38,184.73,35111,184.73
20190906,184.74,186.71,184.55,185.74,41351,185.74
20190909,186.92,187.05,179.5,181.55,50103,181.55
20190910,179.41,179.7,173.81,176.35,103714,176.35
20190911,177.4,177.93,174.45,174.98,61089,174.98
20190912,176.85,179.41,176.68,177.98,54851,177.98
20190913,178.65,178.77,176.02,177.27,40414,177.27
20190916,176.17,177.2,175.51,176.11,25107,176.11
20190917,176.83,178.26,175.04,176.45,40847,176.45
20190918,177.09,177.18,172.82,175.29,47932,175.29
20190919,176.2,177.41,175.61,175.96,39116,175.96
20190920,177.4,177.63,173.94,174.06,71518,174.06
20190923,172.92,175.25,172.79,174.91,28765,174.91
20190924,176.11,177.2,173.4,174.48,51817,174.48
20190925,173.9,175.67,172.39,175.28,42528,175.28
20190926,175.65,176.45,174.61,175.65,39062,175.65
20190927,176.7,176.83,172.36,174.0,34542,174.0
