Date,Open,High,Low,Close,Volume,Adj Close
20190214,97.68,99.2,97.02,98.52,55747,98.52
20190215,98.98,100.0,98.85,99.99,71309,99.99
20190219,102.38,104.18,102.07,102.2,170280,102.2
20190220,101.81,102.34,98.65,99.88,147790,99.88
20190221,99.66,99.93,98.91,99.39,52032,99.39
20190222,99.82,100.16,99.14,99.55,64334,99.55
20190225,100.1,100.13,99.05,99.12,58591,99.12
20190226,99.02,99.06,97.87,98.69,68376,98.69
20190227,98.12,98.39,97.59,98.11,57839,98.11
20190228,98.11,99.47,97.77,98.99,80274,98.99
20190301,99.47,99.56,97.12,97.93,75488,97.93
20190304,98.12,98.59,97.37,97.85,57898,97.85
20190305,98.13,99.19,98.09,98.34,43111,98.34
20190306,98.27,99.0,97.86,98.26,31535,98.26
20190307,97.71,98.2,97.23,97.45,40785,97.45
20190308,97.55,98.42,97.0,97.59,43593,97.59
20190311,98.04,98.58,97.82,98.48,39437,98.48
20190312,98.53,98.74,98.05,98.37,33782,98.37
20190313,98.7,99.35,98.39,99.03,40422,99.03
20190314,98.41,98.43,97.59,98.22,36111,98.22
20190315,98.28,98.52,97.6,98.42,58922,98.42
20190318,98.3,99.77,98.26,99.66,37161,99.66
20190319,99.99,100.49,99.57,99.85,36113,99.85
20190320,99.2,99.55,98.54,98.64,45755,98.64
20190321,98.25,99.13,98.1,99.06,46120,99.06
20190322,98.58,99.53,97.94,98.28,50088,98.28
20190325,97.8,98.62,97.63,98.17,39746,98.17
20190326,98.36,98.85,98.03,98.32,39689,98.32
20190327,98.14,98.86,96.96,97.21,68744,97.21
20190328,97.59,97.87,96.53,97.13,52891,97.13
20190329,97.59,97.67,97.04,97.53,47002,97.53
20190401,97.97,98.36,97.56,97.82,64055,97.82
20190402,97.76,98.31,96.9,96.94,49201,96.94
20190403,97.12,97.4,96.79,97.19,43124,97.19
20190404,97.25,98.28,97.24,98.11,29613,98.11
20190405,98.25,99.2,98.16,98.83,33845,98.83
20190408,98.45,99.25,98.26,99.23,40930,99.23
20190409,98.89,99.23,98.15,98.69,34422,98.69
20190410,98.51,99.72,98.5,99.6,28583,99.6
20190411,99.7,100.83,99.47,100.8,39918,100.8
20190412,101.0,102.02,101.0,101.56,40422,101.56
20190415,101.3,102.91,101.26,102.43,36149,102.43
20190416,102.89,103.39,102.54,102.93,37525,102.93
20190417,103.0,103.4,102.4,103.16,27461,103.16
20190418,103.11,103.8,102.89,103.18,25122,103.18
20190422,102.8,103.54,102.17,102.37,33946,102.37
20190423,102.53,103.29,101.94,103.07,34550,103.07
20190424,103.14,103.85,103.09,103.53,30620,103.53
20190425,103.24,104.15,102.83,103.52,29210,103.52
20190426,100.45,102.34,99.66,101.53,63565,101.53
20190429,101.88,102.0,100.78,101.56,41441,101.56
20190430,101.77,102.92,101.45,102.84,31434,102.84
20190501,102.77,102.81,101.28,101.36,31879,101.36
20190502,101.43,102.06,100.23,101.15,29038,101.15
20190503,102.6,102.75,101.8,102.08,40086,102.08
20190506,100.75,102.55,100.54,102.46,32579,102.46
20190507,101.8,102.17,100.75,101.3,30647,101.3
20190508,100.25,101.04,99.86,100.3,42767,100.3
20190509,99.27,99.94,98.85,99.54,42752,99.54
20190510,99.76,102.11,99.7,101.91,62471,101.91
20190513,100.45,101.15,99.01,99.89,57153,99.89
20190514,100.25,100.87,99.89,100.29,40205,100.29
20190515,100.15,100.36,99.13,99.88,49916,99.88
20190516,102.83,103.96,100.84,101.31,129132,101.31
20190517,100.24,101.95,99.91,100.86,80785,100.86
20190520,100.39,101.98,100.25,101.52,48012,101.52
20190521,101.56,101.65,100.4,101.12,51927,101.12
20190522,101.68,102.43,101.06,102.23,55521,102.23
20190523,101.82,101.93,100.92,101.86,45080,101.86
20190524,102.18,102.89,102.08,102.67,31351,102.67
20190528,102.56,103.57,102.4,102.42,46423,102.42
20190529,102.11,102.88,101.47,102.12,48133,102.12
20190530,102.49,103.49,101.91,102.19,39794,102.19
20190531,101.35,102.02,100.6,101.44,38934,101.44
20190603,101.63,102.68,101.4,101.96,47553,101.96
20190604,102.61,102.65,101.44,102.56,35575,102.56
20190605,102.75,104.78,102.6,104.42,48663,104.42
20190606,104.49,105.66,104.2,105.11,51382,105.11
20190607,105.23,106.36,105.05,106.06,46121,106.06
20190610,106.48,107.78,106.37,107.52,46323,107.52
20190611,108.0,108.97,107.75,107.94,47963,107.94
20190612,107.92,108.91,107.92,108.82,32191,108.82
20190613,109.0,109.58,108.17,108.65,38155,108.65
20190614,108.78,109.59,108.46,109.07,28210,109.07
20190617,109.12,109.55,108.26,109.16,29537,109.16
20190618,109.8,109.96,108.91,109.65,30777,109.65
20190619,109.8,109.84,108.87,109.62,25300,109.62
20190620,109.82,110.49,109.28,110.32,33081,110.32
20190621,110.34,112.19,110.26,111.13,74001,111.13
20190624,111.36,112.22,111.03,111.24,42526,111.24
20190625,110.88,111.43,110.4,110.72,41526,110.72
20190626,110.85,111.08,110.1,110.16,25723,110.16
20190627,110.06,110.51,108.86,110.1,35177,110.1
20190628,110.55,111.51,110.24,110.49,33458,110.49
20190701,111.28,111.97,110.02,110.62,37681,110.62
20190702,110.83,111.61,110.34,111.6,28057,111.6
20190703,111.18,112.4,111.0,112.32,22421,112.32
20190705,112.0,112.24,111.21,111.98,23543,111.98
20190708,111.92,112.93,111.7,112.72,27572,112.72
20190709,112.89,113.38,112.6,112.88,32338,112.88
20190710,113.12,113.61,112.38,112.98,31526,112.98
20190711,113.34,113.94,113.02,113.92,28595,113.92
20190712,114.09,114.77,113.62,114.6,27200,114.6
20190715,114.75,115.08,114.45,114.98,20817,114.98
20190716,115.3,115.49,114.04,114.76,25064,114.76
20190717,114.81,115.17,114.2,114.6,18414,114.6
20190718,114.35,114.78,113.74,114.72,21327,114.72
20190719,115.0,115.31,113.86,113.9,25122,113.9
20190722,114.1,114.34,112.32,112.82,33700,112.82
20190723,113.12,113.2,111.56,112.09,40768,112.09
20190724,112.03,112.79,111.57,112.0,26555,112.0
20190725,112.18,112.39,111.66,112.22,24582,112.22
20190726,112.12,113.34,111.82,113.02,24240,113.02
20190729,112.84,112.98,111.76,112.27,24869,112.27
20190730,112.06,112.4,111.67,112.06,20556,112.06
20190731,111.91,112.34,109.63,110.38,34643,110.38
20190801,110.32,112.17,109.32,109.38,51627,109.38
20190802,109.74,110.14,108.15,109.4,37159,109.4
20190805,107.6,108.0,105.59,105.82,46425,105.82
20190806,106.19,107.84,105.59,107.27,46292,107.27
20190807,107.02,108.64,105.92,108.2,33816,108.2
20190808,108.01,108.84,107.77,108.52,26907,108.52
20190809,108.06,108.46,106.71,107.28,28578,107.28
20190812,106.72,106.84,104.84,105.19,42772,105.19
20190813,105.25,108.11,104.85,107.41,44859,107.41
20190814,105.37,108.06,105.14,106.2,63600,106.2
20190815,112.53,113.64,110.16,112.69,154146,112.69
20190816,114.08,114.93,112.06,112.99,86648,112.99
20190819,114.35,114.78,113.6,113.81,53890,113.81
20190820,113.86,114.04,112.01,112.05,42486,112.05
20190821,113.98,114.07,111.88,112.02,51729,112.02
20190822,112.2,112.79,111.35,111.91,46062,111.91
20190823,111.62,111.91,110.13,110.83,40233,110.83
20190826,111.55,112.27,111.22,111.99,39387,111.99
20190827,112.42,112.81,111.51,112.42,37399,112.42
