symbol,sectype,exchange,priexg,currency,info
AAPL,STK,SMART,,USD,
AMZN,STK,SMART,,USD,
MSFT,STK,SMART,NASDAQ,USD,
GOOGL,STK,SMART,,USD,
FB,STK,SMART,,USD,
ADBE,STK,SMART,,USD,
CRM,STK,SMART,,USD,
NFLX,STK,SMART,,USD,internet
TSLA,STK,SMART,,USD,
BABA,STK,SMART,,USD,
NTES,STK,SMART,,USD,
BIDU,STK,SMART,,USD,china
PDD,STK,SMART,,USD,china
KWEB,STK,SMART,,USD,china
SE,STK,SMART,,USD,china
NVDA,STK,SMART,,USD,
AVGO,STK,SMART,,USD,
INTC,STK,SMART,,USD,
MU,STK,SMART,,USD,
SMH,STK,SMART,,USD,smh
SPY,STK,SMART,,USD,
IWM,STK,SMART,,USD,
QQQ,STK,SMART,,USD,etf
JPM,STK,SMART,,USD,
BLK,STK,SMART,,USD,
WFC,STK,SMART,,USD,
MA,STK,SMART,,USD,
MS,STK,SMART,,USD,
V,STK,SMART,,USD,
GS,STK,SMART,,USD,bank
JNJ,STK,SMART,,USD,
MRK,STK,SMART,,USD,
PG,STK,SMART,,USD,
HD,STK,SMART,,USD,
MMM,STK,SMART,,USD,
WMT,STK,SMART,,USD,
BA,STK,SMART,,USD,
DIS,STK,SMART,,USD,




